paper_id,material_base,pa6_pct,glass_fiber_pct,graphite_pct,mos2_pct,pa66_pct,other_ingredients,other_ingredients_wt_pct,load_N,speed_ms,distance_m,PV_factor,counterface,test_type,environment,humidity_pct,temperature_C,fabrication,COF,wear_rate_mm3Nm,wear_volume_mm3,mass_loss_mg,contact_temp_C,source_doi,extraction_method,confidence,notes
ABRASIVECFPA6,PA66,0,0,0,0,100,,,8,0.05,1.72,,other,PoD,dry,,23,,,0.127,0.175,,,,line_graph,medium,Abrasive wear against SiC paper mesh 220; Fig 2 & 4; V=17.5e-10 m3; Kv=1.27e-10 m3/Nm; COF not measured on abrasive rig
ABRASIVECFPA6,PA66,0,0,0,0,80,CF,20,8,0.05,1.72,,other,PoD,dry,,23,,,0.134,0.185,,,,line_graph,medium,Abrasive wear against SiC paper mesh 220; Fig 2 & 4; V=18.5e-10 m3; Kv=1.34e-10 m3/Nm; COF not measured on abrasive rig
ABRASIVECFPA6,PA66,0,0,0,0,70,CF,30,8,0.05,1.72,,other,PoD,dry,,23,,,0.149,0.205,,,,line_graph,medium,Abrasive wear against SiC paper mesh 220; Fig 2 & 4; V=20.5e-10 m3; Kv=1.49e-10 m3/Nm; COF not measured on abrasive rig
ABRASIVECFPA6,PA66,0,0,0,0,60,CF,40,8,0.05,1.72,,other,PoD,dry,,23,,,0.166,0.228,,,,line_graph,medium,Abrasive wear against SiC paper mesh 220; Fig 2 & 4; V=22.8e-10 m3; Kv=1.66e-10 m3/Nm; COF not measured on abrasive rig
ABRASIVECFPA6,PA66,0,0,0,0,55,CF; PTFE,30; 15,8,0.05,1.72,,other,PoD,dry,,23,,,0.234,0.322,,,,line_graph,medium,Abrasive wear against SiC paper mesh 220; Fig 2 & 4; V=32.2e-10 m3; Kv=2.34e-10 m3/Nm; COF not measured on abrasive rig
ABRASIVECFPA6,PA66,0,0,0,0,100,,,,,,,steel,other,dry,,23,,0.28,,,,,,table,high,"Table 1 supplier baseline adhesive wear mode against steel (Hysol Grafil, UK); dynamic COF"
ABRASIVECFPA6,PA66,0,0,0,0,80,CF,20,,,,,steel,other,dry,,23,,0.20,,,,,,table,high,"Table 1 supplier baseline adhesive wear mode against steel (Hysol Grafil, UK); dynamic COF"
ABRASIVECFPA6,PA66,0,0,0,0,70,CF,30,,,,,steel,other,dry,,23,,0.20,,,,,,table,high,"Table 1 supplier baseline adhesive wear mode against steel (Hysol Grafil, UK); dynamic COF"
ABRASIVECFPA6,PA66,0,0,0,0,60,CF,40,,,,,steel,other,dry,,23,,0.18,,,,,,table,high,"Table 1 supplier baseline adhesive wear mode against steel (Hysol Grafil, UK); dynamic COF"
ABRASIVECFPA6,PA66,0,0,0,0,55,CF; PTFE,30; 15,,,,,steel,other,dry,,23,,0.15,,,,,,table,high,"Table 1 supplier baseline adhesive wear mode against steel (Hysol Grafil, UK); dynamic COF"
