paper_id,material_base,pa6_pct,glass_fiber_pct,graphite_pct,mos2_pct,pa66_pct,other_ingredients,other_ingredients_wt_pct,load_N,speed_ms,distance_m,PV_factor,counterface,test_type,environment,humidity_pct,temperature_C,fabrication,COF,wear_rate_mm3Nm,wear_volume_mm3,mass_loss_mg,contact_temp_C,source_doi,extraction_method,confidence,notes
AVALLE2018,PA66,0,0,0,0,100,,,20,0.628,300,,other,PoD,dry,,,injection,0.375,6.3000e-05,0.378,,,10.1016/j.prostr.2017.12.026,table,high,Radipol A 45 D PA66 vs WC pin; wear volume from Table 4 at 300 m; COF from Table 6 at 300 m
AVALLE2018,PA66,0,0,2,0,96,LDPE,2,20,0.628,300,,other,PoD,dry,,,injection,0.284,1.8750e-04,1.125,,,10.1016/j.prostr.2017.12.026,table,high,Formulated with 4 wt% FerroLube GR4009 (50% GR / 50% LDPE); wear volume from Table 4; COF from Table 6
AVALLE2018,PA66,0,0,4,0,92,LDPE,4,20,0.628,300,,other,PoD,dry,,,injection,0.302,1.0283e-04,0.617,,,10.1016/j.prostr.2017.12.026,table,high,Formulated with 8 wt% FerroLube GR4009 (50% GR / 50% LDPE); wear volume from Table 4; COF from Table 6
AVALLE2018,PA66,0,0,8,0,84,LDPE,8,20,0.628,300,,other,PoD,dry,,,injection,0.272,3.0000e-06,0.018,,,10.1016/j.prostr.2017.12.026,table,high,Formulated with 16 wt% FerroLube GR4009 (50% GR / 50% LDPE); wear volume from Table 4; COF from Table 6
AVALLE2018,PA66,0,0,0,0,96,silicone; EVA,2; 2,20,0.628,300,,other,PoD,dry,,,injection,0.213,1.9833e-05,0.119,,,10.1016/j.prostr.2017.12.026,table,high,Formulated with 4 wt% SiliconLube EV-504 (50% siloxane / 50% EVA); wear volume from Table 4; COF from Table 6
AVALLE2018,PA66,0,0,0,0,92,silicone; EVA,4; 4,20,0.628,300,,other,PoD,dry,,,injection,0.216,2.8500e-05,0.171,,,10.1016/j.prostr.2017.12.026,table,high,Formulated with 8 wt% SiliconLube EV-504 (50% siloxane / 50% EVA); wear volume from Table 4; COF from Table 6
AVALLE2018,PA66,0,0,0,0,84,silicone; EVA,8; 8,20,0.628,300,,other,PoD,dry,,,injection,0.205,5.1000e-05,0.306,,,10.1016/j.prostr.2017.12.026,table,high,Formulated with 16 wt% SiliconLube EV-504 (50% siloxane / 50% EVA); wear volume from Table 4; COF from Table 6
AVALLE2018,PA66,0,0,0,2,96,EVA,2,20,0.628,300,,other,PoD,dry,,,injection,0.355,5.6000e-05,0.336,,,10.1016/j.prostr.2017.12.026,table,high,Formulated with 4 wt% MoS2 MB (50% MoS2 / 50% EVA); wear volume from Table 4; COF from Table 6
AVALLE2018,PA66,0,0,0,4,92,EVA,4,20,0.628,300,,other,PoD,dry,,,injection,0.308,4.8833e-05,0.293,,,10.1016/j.prostr.2017.12.026,table,high,Formulated with 8 wt% MoS2 MB (50% MoS2 / 50% EVA); wear volume from Table 4; COF from Table 6
AVALLE2018,PA66,0,0,0,8,84,EVA,8,20,0.628,300,,other,PoD,dry,,,injection,0.298,4.8167e-05,0.289,,,10.1016/j.prostr.2017.12.026,table,high,Formulated with 16 wt% MoS2 MB (50% MoS2 / 50% EVA); wear volume from Table 4; COF from Table 6
AVALLE2018,PA66,0,0,0,0,98.5,CNT,1.5,20,0.628,300,,other,PoD,dry,,,injection,0.388,4.8333e-06,0.029,,,10.1016/j.prostr.2017.12.026,table,high,Formulated with 10 wt% PLASTICYL PA1501 (15% CNT / 85% PA66); wear volume from Table 4; COF from Table 6
AVALLE2018,PA66,0,0,0,0,97,CNT,3,20,0.628,300,,other,PoD,dry,,,injection,0.390,8.1667e-06,0.049,,,10.1016/j.prostr.2017.12.026,table,high,Formulated with 20 wt% PLASTICYL PA1501 (15% CNT / 85% PA66); wear volume from Table 4; COF from Table 6
