paper_id,material_base,pa6_pct,glass_fiber_pct,graphite_pct,mos2_pct,pa66_pct,other_ingredients,other_ingredients_wt_pct,load_N,speed_ms,distance_m,PV_factor,counterface,test_type,environment,humidity_pct,temperature_C,fabrication,COF,wear_rate_mm3Nm,wear_volume_mm3,mass_loss_mg,contact_temp_C,source_doi,extraction_method,confidence,notes
BASAVARAJ2013,PA6,99,0,0,0,0,Carbon Black,1.0,50,5,1000,,steel,PoD,dry,50,23,injection,0.165,,,,,10.1016/j.matchemphys.2012.12.035,table,high,"Table 1; tested at 5 m/s on Ducom LR20E pin-on-disc against AISI 314 stainless steel disc (62 HRC); MoS2 0 wt%, CB 1.0 wt%"
BASAVARAJ2013,PA6,98.5,0,0,0.5,0,Carbon Black,1.0,50,5,1000,,steel,PoD,dry,50,23,injection,0.158,,,,,10.1016/j.matchemphys.2012.12.035,table,high,"Table 1; tested at 5 m/s on Ducom LR20E pin-on-disc against AISI 314 stainless steel disc (62 HRC); MoS2 0.5 wt%, CB 1.0 wt%"
BASAVARAJ2013,PA6,98,0,0,1,0,Carbon Black,1.0,50,5,1000,,steel,PoD,dry,50,23,injection,0.152,,,,,10.1016/j.matchemphys.2012.12.035,table,high,"Table 1; tested at 5 m/s on Ducom LR20E pin-on-disc against AISI 314 stainless steel disc (62 HRC); MoS2 1.0 wt%, CB 1.0 wt%"
BASAVARAJ2013,PA6,97,0,0,2,0,Carbon Black,1.0,50,5,1000,,steel,PoD,dry,50,23,injection,0.141,,,,,10.1016/j.matchemphys.2012.12.035,table,high,"Table 1; tested at 5 m/s on Ducom LR20E pin-on-disc against AISI 314 stainless steel disc (62 HRC); MoS2 2.0 wt%, CB 1.0 wt%"
BASAVARAJ2013,PA6,96,0,0,3,0,Carbon Black,1.0,50,5,1000,,steel,PoD,dry,50,23,injection,0.13,,,,,10.1016/j.matchemphys.2012.12.035,table,high,"Table 1; tested at 5 m/s on Ducom LR20E pin-on-disc against AISI 314 stainless steel disc (62 HRC); MoS2 3.0 wt%, CB 1.0 wt%"
BASAVARAJ2013,PA6,99,0,0,0,0,Carbon Black,1.0,50,5,1500,,steel,PoD,dry,50,23,injection,0.195,,,,,10.1016/j.matchemphys.2012.12.035,table,high,"Table 1; tested at 5 m/s on Ducom LR20E pin-on-disc against AISI 314 stainless steel disc (62 HRC); MoS2 0 wt%, CB 1.0 wt%"
BASAVARAJ2013,PA6,98.5,0,0,0.5,0,Carbon Black,1.0,50,5,1500,,steel,PoD,dry,50,23,injection,0.186,,,,,10.1016/j.matchemphys.2012.12.035,table,high,"Table 1; tested at 5 m/s on Ducom LR20E pin-on-disc against AISI 314 stainless steel disc (62 HRC); MoS2 0.5 wt%, CB 1.0 wt%"
BASAVARAJ2013,PA6,98,0,0,1,0,Carbon Black,1.0,50,5,1500,,steel,PoD,dry,50,23,injection,0.181,,,,,10.1016/j.matchemphys.2012.12.035,table,high,"Table 1; tested at 5 m/s on Ducom LR20E pin-on-disc against AISI 314 stainless steel disc (62 HRC); MoS2 1.0 wt%, CB 1.0 wt%"
BASAVARAJ2013,PA6,97,0,0,2,0,Carbon Black,1.0,50,5,1500,,steel,PoD,dry,50,23,injection,0.175,,,,,10.1016/j.matchemphys.2012.12.035,table,high,"Table 1; tested at 5 m/s on Ducom LR20E pin-on-disc against AISI 314 stainless steel disc (62 HRC); MoS2 2.0 wt%, CB 1.0 wt%"
BASAVARAJ2013,PA6,96,0,0,3,0,Carbon Black,1.0,50,5,1500,,steel,PoD,dry,50,23,injection,0.168,,,,,10.1016/j.matchemphys.2012.12.035,table,high,"Table 1; tested at 5 m/s on Ducom LR20E pin-on-disc against AISI 314 stainless steel disc (62 HRC); MoS2 3.0 wt%, CB 1.0 wt%"
BASAVARAJ2013,PA6,99,0,0,0,0,Carbon Black,1.0,50,5,2000,,steel,PoD,dry,50,23,injection,0.214,,,,,10.1016/j.matchemphys.2012.12.035,table,high,"Table 1; tested at 5 m/s on Ducom LR20E pin-on-disc against AISI 314 stainless steel disc (62 HRC); MoS2 0 wt%, CB 1.0 wt%"
BASAVARAJ2013,PA6,98.5,0,0,0.5,0,Carbon Black,1.0,50,5,2000,,steel,PoD,dry,50,23,injection,0.202,,,,,10.1016/j.matchemphys.2012.12.035,table,high,"Table 1; tested at 5 m/s on Ducom LR20E pin-on-disc against AISI 314 stainless steel disc (62 HRC); MoS2 0.5 wt%, CB 1.0 wt%"
BASAVARAJ2013,PA6,98,0,0,1,0,Carbon Black,1.0,50,5,2000,,steel,PoD,dry,50,23,injection,0.196,,,,,10.1016/j.matchemphys.2012.12.035,table,high,"Table 1; tested at 5 m/s on Ducom LR20E pin-on-disc against AISI 314 stainless steel disc (62 HRC); MoS2 1.0 wt%, CB 1.0 wt%"
BASAVARAJ2013,PA6,97,0,0,2,0,Carbon Black,1.0,50,5,2000,,steel,PoD,dry,50,23,injection,0.183,,,,,10.1016/j.matchemphys.2012.12.035,table,high,"Table 1; tested at 5 m/s on Ducom LR20E pin-on-disc against AISI 314 stainless steel disc (62 HRC); MoS2 2.0 wt%, CB 1.0 wt%"
BASAVARAJ2013,PA6,96,0,0,3,0,Carbon Black,1.0,50,5,2000,,steel,PoD,dry,50,23,injection,0.179,,,,,10.1016/j.matchemphys.2012.12.035,table,high,"Table 1; tested at 5 m/s on Ducom LR20E pin-on-disc against AISI 314 stainless steel disc (62 HRC); MoS2 3.0 wt%, CB 1.0 wt%"
BASAVARAJ2013,PA6,99,0,0,0,0,Carbon Black,1.0,100,5,1000,,steel,PoD,dry,50,23,injection,0.181,,,,,10.1016/j.matchemphys.2012.12.035,table,high,"Table 1; tested at 5 m/s on Ducom LR20E pin-on-disc against AISI 314 stainless steel disc (62 HRC); MoS2 0 wt%, CB 1.0 wt%"
BASAVARAJ2013,PA6,98.5,0,0,0.5,0,Carbon Black,1.0,100,5,1000,,steel,PoD,dry,50,23,injection,0.175,,,,,10.1016/j.matchemphys.2012.12.035,table,high,"Table 1; tested at 5 m/s on Ducom LR20E pin-on-disc against AISI 314 stainless steel disc (62 HRC); MoS2 0.5 wt%, CB 1.0 wt%"
BASAVARAJ2013,PA6,98,0,0,1,0,Carbon Black,1.0,100,5,1000,,steel,PoD,dry,50,23,injection,0.164,,,,,10.1016/j.matchemphys.2012.12.035,table,high,"Table 1; tested at 5 m/s on Ducom LR20E pin-on-disc against AISI 314 stainless steel disc (62 HRC); MoS2 1.0 wt%, CB 1.0 wt%"
BASAVARAJ2013,PA6,97,0,0,2,0,Carbon Black,1.0,100,5,1000,,steel,PoD,dry,50,23,injection,0.153,,,,,10.1016/j.matchemphys.2012.12.035,table,high,"Table 1; tested at 5 m/s on Ducom LR20E pin-on-disc against AISI 314 stainless steel disc (62 HRC); MoS2 2.0 wt%, CB 1.0 wt%"
BASAVARAJ2013,PA6,96,0,0,3,0,Carbon Black,1.0,100,5,1000,,steel,PoD,dry,50,23,injection,0.142,,,,,10.1016/j.matchemphys.2012.12.035,table,high,"Table 1; tested at 5 m/s on Ducom LR20E pin-on-disc against AISI 314 stainless steel disc (62 HRC); MoS2 3.0 wt%, CB 1.0 wt%"
BASAVARAJ2013,PA6,99,0,0,0,0,Carbon Black,1.0,100,5,1500,,steel,PoD,dry,50,23,injection,0.227,,,,,10.1016/j.matchemphys.2012.12.035,table,high,"Table 1; tested at 5 m/s on Ducom LR20E pin-on-disc against AISI 314 stainless steel disc (62 HRC); MoS2 0 wt%, CB 1.0 wt%"
BASAVARAJ2013,PA6,98.5,0,0,0.5,0,Carbon Black,1.0,100,5,1500,,steel,PoD,dry,50,23,injection,0.213,,,,,10.1016/j.matchemphys.2012.12.035,table,high,"Table 1; tested at 5 m/s on Ducom LR20E pin-on-disc against AISI 314 stainless steel disc (62 HRC); MoS2 0.5 wt%, CB 1.0 wt%"
BASAVARAJ2013,PA6,98,0,0,1,0,Carbon Black,1.0,100,5,1500,,steel,PoD,dry,50,23,injection,0.204,,,,,10.1016/j.matchemphys.2012.12.035,table,high,"Table 1; tested at 5 m/s on Ducom LR20E pin-on-disc against AISI 314 stainless steel disc (62 HRC); MoS2 1.0 wt%, CB 1.0 wt%"
BASAVARAJ2013,PA6,97,0,0,2,0,Carbon Black,1.0,100,5,1500,,steel,PoD,dry,50,23,injection,0.192,,,,,10.1016/j.matchemphys.2012.12.035,table,high,"Table 1; tested at 5 m/s on Ducom LR20E pin-on-disc against AISI 314 stainless steel disc (62 HRC); MoS2 2.0 wt%, CB 1.0 wt%"
