paper_id,material_base,pa6_pct,glass_fiber_pct,graphite_pct,mos2_pct,pa66_pct,other_ingredients,other_ingredients_wt_pct,load_N,speed_ms,distance_m,PV_factor,counterface,test_type,environment,humidity_pct,temperature_C,fabrication,COF,wear_rate_mm3Nm,wear_volume_mm3,mass_loss_mg,contact_temp_C,source_doi,extraction_method,confidence,notes
GFRPA6PV2023,PA6,100,0,0,0,0,,,10,0.613,55.13,0.078,other,PoD,dry,50,25,injection,0.878,0.012371,6.814,7.7,,10.1016/j.triboint.2023.109059,table,high,Module 1 load sweep; pure PA6 pin vs SiC grit 200 sandpaper; 300 rpm (0.613 m/s); Table 5 & Table 7
GFRPA6PV2023,PA6,100,0,0,0,0,,,20,0.613,55.13,0.156,other,PoD,dry,50,25,injection,0.857,0.011327,12.478,14.1,,10.1016/j.triboint.2023.109059,table,high,Module 1 load sweep; pure PA6 pin vs SiC grit 200 sandpaper; 300 rpm (0.613 m/s); Table 5 & Table 7
GFRPA6PV2023,PA6,100,0,0,0,0,,,35,0.613,55.13,0.273,other,PoD,dry,50,25,injection,0.832,0.009951,19.204,21.7,,10.1016/j.triboint.2023.109059,table,high,Module 1 load sweep; pure PA6 pin vs SiC grit 200 sandpaper; 300 rpm (0.613 m/s); Table 5 & Table 7
GFRPA6PV2023,PA6,100,0,0,0,0,,,50,0.613,55.13,0.390,other,PoD,dry,50,25,injection,0.819,0.007551,20.796,23.5,,10.1016/j.triboint.2023.109059,table,high,Module 1 load sweep; pure PA6 pin vs SiC grit 200 sandpaper; 300 rpm (0.613 m/s); Table 5 & Table 7
GFRPA6PV2023,PA6,57,43,0,0,0,,,10,0.613,55.13,0.078,other,PoD,dry,50,25,injection,0.858,0.010117,5.573,7.3,,10.1016/j.triboint.2023.109059,table,high,Module 1 load sweep; PA6 + 25 vol% (~43 wt%) GF pin vs SiC grit 200 sandpaper; 300 rpm (0.613 m/s); Table 5 & Table 7
GFRPA6PV2023,PA6,57,43,0,0,0,,,20,0.613,55.13,0.156,other,PoD,dry,50,25,injection,0.821,0.009563,10.534,13.8,,10.1016/j.triboint.2023.109059,table,high,Module 1 load sweep; PA6 + 25 vol% (~43 wt%) GF pin vs SiC grit 200 sandpaper; 300 rpm (0.613 m/s); Table 5 & Table 7
GFRPA6PV2023,PA6,57,43,0,0,0,,,35,0.613,55.13,0.273,other,PoD,dry,50,25,injection,0.813,0.007161,13.817,18.1,,10.1016/j.triboint.2023.109059,table,high,Module 1 load sweep; PA6 + 25 vol% (~43 wt%) GF pin vs SiC grit 200 sandpaper; 300 rpm (0.613 m/s); Table 5 & Table 7
GFRPA6PV2023,PA6,57,43,0,0,0,,,50,0.613,55.13,0.390,other,PoD,dry,50,25,injection,0.795,0.006569,18.092,23.7,,10.1016/j.triboint.2023.109059,table,high,Module 1 load sweep; PA6 + 25 vol% (~43 wt%) GF pin vs SiC grit 200 sandpaper; 300 rpm (0.613 m/s); Table 5 & Table 7
GFRPA6PV2023,PA6,100,0,0,0,0,,,50,0.817,73.51,0.520,other,PoD,dry,50,25,injection,0.794,0.007391,27.168,30.7,,10.1016/j.triboint.2023.109059,table,high,Module 2 speed sweep; pure PA6 pin vs SiC grit 200 sandpaper; 400 rpm (0.817 m/s); 50 N; Table 6 & Table 7
GFRPA6PV2023,PA6,100,0,0,0,0,,,50,1.225,110.27,0.780,other,PoD,dry,50,25,injection,0.771,0.012728,70.177,79.3,,10.1016/j.triboint.2023.109059,table,high,Module 2 speed sweep; pure PA6 pin vs SiC grit 200 sandpaper; 600 rpm (1.225 m/s); 50 N; Table 6 & Table 7
GFRPA6PV2023,PA6,100,0,0,0,0,,,50,1.634,147.03,1.041,other,PoD,dry,50,25,injection,0.764,0.022234,163.451,184.7,,10.1016/j.triboint.2023.109059,table,high,Module 2 speed sweep; pure PA6 pin vs SiC grit 200 sandpaper; 800 rpm (1.634 m/s); 50 N; Table 6 & Table 7
GFRPA6PV2023,PA6,100,0,0,0,0,,,50,2.042,183.78,1.301,other,PoD,dry,50,25,injection,0.741,0.026859,246.814,278.9,,10.1016/j.triboint.2023.109059,table,high,Module 2 speed sweep; pure PA6 pin vs SiC grit 200 sandpaper; 1000 rpm (2.042 m/s); 50 N; Table 6 & Table 7
GFRPA6PV2023,PA6,57,43,0,0,0,,,50,0.817,73.51,0.520,other,PoD,dry,50,25,injection,0.776,0.005877,21.603,28.3,,10.1016/j.triboint.2023.109059,table,high,Module 2 speed sweep; PA6 + 25 vol% (~43 wt%) GF pin vs SiC grit 200 sandpaper; 400 rpm (0.817 m/s); 50 N; Table 6 & Table 7
GFRPA6PV2023,PA6,57,43,0,0,0,,,50,1.225,110.27,0.780,other,PoD,dry,50,25,injection,0.735,0.006521,35.954,47.1,,10.1016/j.triboint.2023.109059,table,high,Module 2 speed sweep; PA6 + 25 vol% (~43 wt%) GF pin vs SiC grit 200 sandpaper; 600 rpm (1.225 m/s); 50 N; Table 6 & Table 7
GFRPA6PV2023,PA6,57,43,0,0,0,,,50,1.634,147.03,1.041,other,PoD,dry,50,25,injection,0.727,0.008484,62.366,81.7,,10.1016/j.triboint.2023.109059,table,high,Module 2 speed sweep; PA6 + 25 vol% (~43 wt%) GF pin vs SiC grit 200 sandpaper; 800 rpm (1.634 m/s); 50 N; Table 6 & Table 7
GFRPA6PV2023,PA6,57,43,0,0,0,,,50,2.042,183.78,1.301,other,PoD,dry,50,25,injection,0.714,0.018376,168.854,221.2,,10.1016/j.triboint.2023.109059,table,high,Module 2 speed sweep; PA6 + 25 vol% (~43 wt%) GF pin vs SiC grit 200 sandpaper; 1000 rpm (2.042 m/s); 50 N; Table 6 & Table 7
