paper_id,material_base,pa6_pct,glass_fiber_pct,graphite_pct,mos2_pct,pa66_pct,other_ingredients,other_ingredients_wt_pct,load_N,speed_ms,distance_m,PV_factor,counterface,test_type,environment,humidity_pct,temperature_C,fabrication,COF,wear_rate_mm3Nm,wear_volume_mm3,mass_loss_mg,contact_temp_C,source_doi,extraction_method,confidence,notes
IJEMS2018,PA6,100,0,0,0,0,,,5,0.5,1000,,steel,PoD,dry,67,23,injection,0.363,0.0000176,,,,nopr.niscpr.res.in/handle/123456789/41434,table,high,Taguchi L16 run 1; neat PA6 pin vs AISI D2 steel disc; Table 4
IJEMS2018,PA6,100,0,0,0,0,,,10,1.0,1000,,steel,PoD,dry,67,23,injection,0.266,0.0000176,,,,nopr.niscpr.res.in/handle/123456789/41434,table,high,Taguchi L16 run 2; neat PA6 pin vs AISI D2 steel disc; Table 4
IJEMS2018,PA6,100,0,0,0,0,,,15,1.5,1000,,steel,PoD,dry,67,23,injection,0.260,0.0000294,,,,nopr.niscpr.res.in/handle/123456789/41434,table,high,Taguchi L16 run 3; neat PA6 pin vs AISI D2 steel disc; Table 4
IJEMS2018,PA6,100,0,0,0,0,,,20,2.0,1000,,steel,PoD,dry,67,23,injection,0.231,0.0000442,,,,nopr.niscpr.res.in/handle/123456789/41434,table,high,Taguchi L16 run 4; neat PA6 pin vs AISI D2 steel disc; Table 4
IJEMS2018,PA6,90,10,0,0,0,,,5,1.0,1000,,steel,PoD,dry,67,23,injection,0.255,0.0000166,,,,nopr.niscpr.res.in/handle/123456789/41434,table,high,Taguchi L16 run 5; PA6 + 10 wt% GF pin vs AISI D2 steel disc; Table 4
IJEMS2018,PA6,90,10,0,0,0,,,10,0.5,1000,,steel,PoD,dry,67,23,injection,0.248,0.0000166,,,,nopr.niscpr.res.in/handle/123456789/41434,table,high,Taguchi L16 run 6; PA6 + 10 wt% GF pin vs AISI D2 steel disc; Table 4
IJEMS2018,PA6,90,10,0,0,0,,,15,2.0,1000,,steel,PoD,dry,67,23,injection,0.213,0.0000389,,,,nopr.niscpr.res.in/handle/123456789/41434,table,high,Taguchi L16 run 7; PA6 + 10 wt% GF pin vs AISI D2 steel disc; Table 4
IJEMS2018,PA6,90,10,0,0,0,,,20,1.5,1000,,steel,PoD,dry,67,23,injection,0.195,0.0000333,,,,nopr.niscpr.res.in/handle/123456789/41434,table,high,Taguchi L16 run 8; PA6 + 10 wt% GF pin vs AISI D2 steel disc; Table 4
IJEMS2018,PA6,80,20,0,0,0,,,5,1.5,1000,,steel,PoD,dry,67,23,injection,0.185,0.0000314,,,,nopr.niscpr.res.in/handle/123456789/41434,table,high,Taguchi L16 run 9; PA6 + 20 wt% GF pin vs AISI D2 steel disc; Table 4
IJEMS2018,PA6,80,20,0,0,0,,,10,2.0,1000,,steel,PoD,dry,67,23,injection,0.191,0.0000315,,,,nopr.niscpr.res.in/handle/123456789/41434,table,high,Taguchi L16 run 10; PA6 + 20 wt% GF pin vs AISI D2 steel disc; Table 4
IJEMS2018,PA6,80,20,0,0,0,,,15,0.5,1000,,steel,PoD,dry,67,23,injection,0.169,0.0000104,,,,nopr.niscpr.res.in/handle/123456789/41434,table,high,Taguchi L16 run 11; PA6 + 20 wt% GF pin vs AISI D2 steel disc; Table 4
IJEMS2018,PA6,80,20,0,0,0,,,20,1.0,1000,,steel,PoD,dry,67,23,injection,0.165,0.0000157,,,,nopr.niscpr.res.in/handle/123456789/41434,table,high,Taguchi L16 run 12; PA6 + 20 wt% GF pin vs AISI D2 steel disc; Table 4
IJEMS2018,PA6,70,30,0,0,0,,,5,2.0,1000,,steel,PoD,dry,67,23,injection,0.184,0.0000296,,,,nopr.niscpr.res.in/handle/123456789/41434,table,high,Taguchi L16 run 13; PA6 + 30 wt% GF pin vs AISI D2 steel disc; Table 4
IJEMS2018,PA6,70,30,0,0,0,,,10,1.5,1000,,steel,PoD,dry,67,23,injection,0.151,0.0000222,,,,nopr.niscpr.res.in/handle/123456789/41434,table,high,Taguchi L16 run 14; PA6 + 30 wt% GF pin vs AISI D2 steel disc; Table 4
IJEMS2018,PA6,70,30,0,0,0,,,15,1.0,1000,,steel,PoD,dry,67,23,injection,0.163,0.0000197,,,,nopr.niscpr.res.in/handle/123456789/41434,table,high,Taguchi L16 run 15; PA6 + 30 wt% GF pin vs AISI D2 steel disc; Table 4
IJEMS2018,PA6,70,30,0,0,0,,,20,0.5,1000,,steel,PoD,dry,67,23,injection,0.146,0.0000111,,,,nopr.niscpr.res.in/handle/123456789/41434,table,high,Taguchi L16 run 16; PA6 + 30 wt% GF pin vs AISI D2 steel disc; Table 4
IJEMS2018,PA6,70,30,0,0,0,,,20,1.5,1000,,steel,PoD,dry,67,23,injection,0.142,0.0000150,,,,nopr.niscpr.res.in/handle/123456789/41434,table,high,Confirmation test A4B4C3 (optimal COF); PA6 + 30 wt% GF pin vs AISI D2 steel disc; Table 9
IJEMS2018,PA6,70,30,0,0,0,,,10,0.5,1000,,steel,PoD,dry,67,23,injection,0.155,0.0000105,,,,nopr.niscpr.res.in/handle/123456789/41434,table,high,Confirmation test A4B2C1 (optimal wear rate); PA6 + 30 wt% GF pin vs AISI D2 steel disc; Table 9
