paper_id,material_base,pa6_pct,glass_fiber_pct,graphite_pct,mos2_pct,pa66_pct,other_ingredients,other_ingredients_wt_pct,load_N,speed_ms,distance_m,PV_factor,counterface,test_type,environment,humidity_pct,temperature_C,fabrication,COF,wear_rate_mm3Nm,wear_volume_mm3,mass_loss_mg,contact_temp_C,source_doi,extraction_method,confidence,notes
KHAKBAZ2024,PA6,100,0,0,0,0,,,15,0.367,220,,other,PoD,dry,,25,injection,0.76,0.00322,,12.0,,10.1016/j.polymdegradstab.2024.110870,bar_chart,high,Neat PA6; unconditioned as-received; dry medium at 25 °C; Struers #320 SiC sandpaper; 15 N; 250 rpm (0.367 m/s); 220 m; Fig. 5
KHAKBAZ2024,PA6,85,15,0,0,0,,,15,0.367,220,,other,PoD,dry,,25,injection,0.50,0.00788,,32.0,,10.1016/j.polymdegradstab.2024.110870,bar_chart,high,PA6 + 15 wt% GF; unconditioned as-received; dry medium at 25 °C; Struers #320 SiC sandpaper; 15 N; 250 rpm (0.367 m/s); 220 m; Fig. 5
KHAKBAZ2024,PA6,75,25,0,0,0,,,15,0.367,220,,other,PoD,dry,,25,injection,0.45,0.00757,,33.0,,10.1016/j.polymdegradstab.2024.110870,bar_chart,high,PA6 + 25 wt% GF; unconditioned as-received; dry medium at 25 °C; Struers #320 SiC sandpaper; 15 N; 250 rpm (0.367 m/s); 220 m; Fig. 5
KHAKBAZ2024,PA6,100,0,0,0,0,,,15,0.367,220,,other,PoD,water,,60,injection,0.64,0.0204,,76.0,,10.1016/j.polymdegradstab.2024.110870,bar_chart,high,Neat PA6; unconditioned as-received; tested in demineralized water at 60 °C; Struers #320 SiC sandpaper; 15 N; 250 rpm (0.367 m/s); 220 m; Fig. 5
KHAKBAZ2024,PA6,85,15,0,0,0,,,15,0.367,220,,other,PoD,water,,60,injection,0.56,0.0628,,255.0,,10.1016/j.polymdegradstab.2024.110870,bar_chart,high,PA6 + 15 wt% GF; unconditioned as-received; tested in demineralized water at 60 °C; Struers #320 SiC sandpaper; 15 N; 250 rpm (0.367 m/s); 220 m; Fig. 5
KHAKBAZ2024,PA6,75,25,0,0,0,,,15,0.367,220,,other,PoD,water,,60,injection,0.55,0.0585,,255.0,,10.1016/j.polymdegradstab.2024.110870,bar_chart,high,PA6 + 25 wt% GF; unconditioned as-received; tested in demineralized water at 60 °C; Struers #320 SiC sandpaper; 15 N; 250 rpm (0.367 m/s); 220 m; Fig. 5
KHAKBAZ2024,PA6,100,0,0,0,0,,,15,0.367,220,,other,PoD,water,,60,injection,0.70,0.0174,,65.0,,10.1016/j.polymdegradstab.2024.110870,bar_chart,high,Neat PA6; conditioned in water at RT to saturation; tested in water at 60 °C; Struers #320 SiC sandpaper; 15 N; 250 rpm (0.367 m/s); 220 m; Fig. 5
KHAKBAZ2024,PA6,85,15,0,0,0,,,15,0.367,220,,other,PoD,water,,60,injection,0.63,0.0370,,150.0,,10.1016/j.polymdegradstab.2024.110870,bar_chart,high,PA6 + 15 wt% GF; conditioned in water at RT to saturation; tested in water at 60 °C; Struers #320 SiC sandpaper; 15 N; 250 rpm (0.367 m/s); 220 m; Fig. 5
KHAKBAZ2024,PA6,75,25,0,0,0,,,15,0.367,220,,other,PoD,water,,60,injection,0.60,0.0425,,185.0,,10.1016/j.polymdegradstab.2024.110870,bar_chart,high,PA6 + 25 wt% GF; conditioned in water at RT to saturation; tested in water at 60 °C; Struers #320 SiC sandpaper; 15 N; 250 rpm (0.367 m/s); 220 m; Fig. 5
KHAKBAZ2024,PA6,100,0,0,0,0,,,15,0.367,220,,other,PoD,water,,60,injection,0.67,0.0174,,65.0,,10.1016/j.polymdegradstab.2024.110870,bar_chart,high,Neat PA6; conditioned in water at 40 °C to saturation; tested in water at 60 °C; Struers #320 SiC sandpaper; 15 N; 250 rpm (0.367 m/s); 220 m; Fig. 5
KHAKBAZ2024,PA6,85,15,0,0,0,,,15,0.367,220,,other,PoD,water,,60,injection,0.61,0.0370,,150.0,,10.1016/j.polymdegradstab.2024.110870,bar_chart,high,PA6 + 15 wt% GF; conditioned in water at 40 °C to saturation; tested in water at 60 °C; Struers #320 SiC sandpaper; 15 N; 250 rpm (0.367 m/s); 220 m; Fig. 5
KHAKBAZ2024,PA6,75,25,0,0,0,,,15,0.367,220,,other,PoD,water,,60,injection,0.58,0.0413,,180.0,,10.1016/j.polymdegradstab.2024.110870,bar_chart,high,PA6 + 25 wt% GF; conditioned in water at 40 °C to saturation; tested in water at 60 °C; Struers #320 SiC sandpaper; 15 N; 250 rpm (0.367 m/s); 220 m; Fig. 5
KHAKBAZ2024,PA6,100,0,0,0,0,,,15,0.367,220,,other,PoD,water,,60,injection,0.67,0.0201,,75.0,,10.1016/j.polymdegradstab.2024.110870,bar_chart,high,Neat PA6; conditioned in water at 60 °C to saturation; tested in water at 60 °C; Struers #320 SiC sandpaper; 15 N; 250 rpm (0.367 m/s); 220 m; Fig. 5
KHAKBAZ2024,PA6,85,15,0,0,0,,,15,0.367,220,,other,PoD,water,,60,injection,0.62,0.0493,,200.0,,10.1016/j.polymdegradstab.2024.110870,bar_chart,high,PA6 + 15 wt% GF; conditioned in water at 60 °C to saturation; tested in water at 60 °C; Struers #320 SiC sandpaper; 15 N; 250 rpm (0.367 m/s); 220 m; Fig. 5
KHAKBAZ2024,PA6,75,25,0,0,0,,,15,0.367,220,,other,PoD,water,,60,injection,0.57,0.0562,,245.0,,10.1016/j.polymdegradstab.2024.110870,bar_chart,high,PA6 + 25 wt% GF; conditioned in water at 60 °C to saturation; tested in water at 60 °C; Struers #320 SiC sandpaper; 15 N; 250 rpm (0.367 m/s); 220 m; Fig. 5
