paper_id,material_base,pa6_pct,glass_fiber_pct,graphite_pct,mos2_pct,pa66_pct,other_ingredients,other_ingredients_wt_pct,load_N,speed_ms,distance_m,PV_factor,counterface,test_type,environment,humidity_pct,temperature_C,fabrication,COF,wear_rate_mm3Nm,wear_volume_mm3,mass_loss_mg,contact_temp_C,source_doi,extraction_method,confidence,notes
KUMAR2024,PA66,0,0,0,0,100,,,10,0.05,90,,steel,BoP,dry,,25,injection,0.396,0.00000257,,,,10.1002/pc.29270,bar_chart,high,"Pure PA-6,6; reciprocating BoP vs 100Cr6 steel ball; stroke 5 mm; abrading freq 5 Hz (0.05 m/s); load 10 N; test duration 30 min (90 m); Fig. 11"
KUMAR2024,PA66,0,0,0,0,100,,,30,0.05,90,,steel,BoP,dry,,25,injection,0.422,0.00000308,,,,10.1002/pc.29270,bar_chart,high,"Pure PA-6,6; reciprocating BoP vs 100Cr6 steel ball; stroke 5 mm; abrading freq 5 Hz (0.05 m/s); load 30 N; test duration 30 min (90 m); Fig. 11"
KUMAR2024,PA66,0,0,0,0,100,,,50,0.05,90,,steel,BoP,dry,,25,injection,0.455,0.00000389,,,,10.1002/pc.29270,bar_chart,high,"Pure PA-6,6; reciprocating BoP vs 100Cr6 steel ball; stroke 5 mm; abrading freq 5 Hz (0.05 m/s); load 50 N; test duration 30 min (90 m); Fig. 11"
KUMAR2024,PA66,0,0,0,0.5,99,GnPs,0.5,10,0.05,90,,steel,BoP,dry,,25,injection,0.278,0.00000144,,,,10.1002/pc.29270,bar_chart,high,PGM-1%; reciprocating BoP vs 100Cr6 steel ball; stroke 5 mm; abrading freq 5 Hz (0.05 m/s); load 10 N; test duration 30 min (90 m); Fig. 11
KUMAR2024,PA66,0,0,0,0.5,99,GnPs,0.5,30,0.05,90,,steel,BoP,dry,,25,injection,0.321,0.00000228,,,,10.1002/pc.29270,bar_chart,high,PGM-1%; reciprocating BoP vs 100Cr6 steel ball; stroke 5 mm; abrading freq 5 Hz (0.05 m/s); load 30 N; test duration 30 min (90 m); Fig. 11
KUMAR2024,PA66,0,0,0,0.5,99,GnPs,0.5,50,0.05,90,,steel,BoP,dry,,25,injection,0.374,0.00000240,,,,10.1002/pc.29270,bar_chart,high,PGM-1%; reciprocating BoP vs 100Cr6 steel ball; stroke 5 mm; abrading freq 5 Hz (0.05 m/s); load 50 N; test duration 30 min (90 m); Fig. 11
KUMAR2024,PA66,0,0,0,1.5,97,GnPs,1.5,10,0.05,90,,steel,BoP,dry,,25,injection,0.144,0.00000088,,,,10.1002/pc.29270,bar_chart,high,PGM-3%; reciprocating BoP vs 100Cr6 steel ball; stroke 5 mm; abrading freq 5 Hz (0.05 m/s); load 10 N; test duration 30 min (90 m); Fig. 11
KUMAR2024,PA66,0,0,0,1.5,97,GnPs,1.5,30,0.05,90,,steel,BoP,dry,,25,injection,0.264,0.00000126,,,,10.1002/pc.29270,bar_chart,high,PGM-3%; reciprocating BoP vs 100Cr6 steel ball; stroke 5 mm; abrading freq 5 Hz (0.05 m/s); load 30 N; test duration 30 min (90 m); Fig. 11
KUMAR2024,PA66,0,0,0,1.5,97,GnPs,1.5,50,0.05,90,,steel,BoP,dry,,25,injection,0.358,0.00000145,,,,10.1002/pc.29270,bar_chart,high,PGM-3%; reciprocating BoP vs 100Cr6 steel ball; stroke 5 mm; abrading freq 5 Hz (0.05 m/s); load 50 N; test duration 30 min (90 m); Fig. 11
KUMAR2024,PA66,0,0,0,2.5,95,GnPs,2.5,10,0.05,90,,steel,BoP,dry,,25,injection,0.110,0.00000033,,,,10.1002/pc.29270,bar_chart,high,PGM-5%; reciprocating BoP vs 100Cr6 steel ball; stroke 5 mm; abrading freq 5 Hz (0.05 m/s); load 10 N; test duration 30 min (90 m); Fig. 11
