paper_id,material_base,pa6_pct,glass_fiber_pct,graphite_pct,mos2_pct,pa66_pct,other_ingredients,other_ingredients_wt_pct,load_N,speed_ms,distance_m,PV_factor,counterface,test_type,environment,humidity_pct,temperature_C,fabrication,COF,wear_rate_mm3Nm,wear_volume_mm3,mass_loss_mg,contact_temp_C,source_doi,extraction_method,confidence,notes
LI2010,PA6,90,0,0,0,,polyurethane,10,78.5,1000,,,steel,BoP,dry,50,20,cast,0.102,0.0000354,,,,10.1016/j.wear.2010.04.004,table,high,speed reported in r/min; wear rate reported as 3.54e-5 mm3/Nm
LI2010,PA6,90,0,0,0,,polyurethane,10,157,1000,,,steel,BoP,dry,50,20,cast,0.171,0.000177,,,,10.1016/j.wear.2010.04.004,table,high,speed reported in r/min; wear rate reported as 17.7e-5 mm3/Nm
LI2010,PA6,89.1,1,0,0,,polyurethane,9.9,78.5,1000,,,steel,BoP,dry,50,20,cast,0.096,0.0000324,,,,10.1016/j.wear.2010.04.004,table,high,speed reported in r/min; wear rate reported as 3.24e-5 mm3/Nm
LI2010,PA6,89.1,1,0,0,,polyurethane,9.9,157,1000,,,steel,BoP,dry,50,20,cast,0.109,0.0000702,,,,10.1016/j.wear.2010.04.004,table,high,speed reported in r/min; wear rate reported as 7.02e-5 mm3/Nm
LI2010,PA6,88.2,2,0,0,,polyurethane,9.8,78.5,1000,,,steel,BoP,dry,50,20,cast,0.094,0.0000148,,,,10.1016/j.wear.2010.04.004,table,high,speed reported in r/min; wear rate reported as 1.48e-5 mm3/Nm
LI2010,PA6,88.2,2,0,0,,polyurethane,9.8,157,1000,,,steel,BoP,dry,50,20,cast,0.108,0.0000754,,,,10.1016/j.wear.2010.04.004,table,high,speed reported in r/min; wear rate reported as 7.54e-5 mm3/Nm
LI2010,PA6,87.3,3,0,0,,polyurethane,9.7,78.5,1000,,,steel,BoP,dry,50,20,cast,0.090,0.0000147,,,,10.1016/j.wear.2010.04.004,table,high,speed reported in r/min; wear rate reported as 1.47e-5 mm3/Nm
LI2010,PA6,87.3,3,0,0,,polyurethane,9.7,157,1000,,,steel,BoP,dry,50,20,cast,0.089,0.0000487,,,,10.1016/j.wear.2010.04.004,table,high,speed reported in r/min; wear rate reported as 4.87e-5 mm3/Nm
LI2010,PA6,85.5,5,0,0,,polyurethane,9.5,78.5,1000,,,steel,BoP,dry,50,20,cast,0.071,0.0000110,,,,10.1016/j.wear.2010.04.004,table,high,speed reported in r/min; wear rate reported as 1.10e-5 mm3/Nm
LI2010,PA6,85.5,5,0,0,,polyurethane,9.5,157,1000,,,steel,BoP,dry,50,20,cast,0.077,0.0000408,,,,10.1016/j.wear.2010.04.004,table,high,speed reported in r/min; wear rate reported as 4.08e-5 mm3/Nm
LI2010,PA6,90,0,0,0,,polyurethane,10,78.5,500,,,steel,BoP,dry,50,20,cast,0.175,0.000026,,,,10.1016/j.wear.2010.04.004,line_graph,low,speed reported in r/min; digitized from Fig 7 and Fig 8
LI2010,PA6,89.1,1,0,0,,polyurethane,9.9,78.5,500,,,steel,BoP,dry,50,20,cast,0.173,0.000018,,,,10.1016/j.wear.2010.04.004,line_graph,low,speed reported in r/min; digitized from Fig 7 and Fig 8
LI2010,PA6,88.2,2,0,0,,polyurethane,9.8,78.5,500,,,steel,BoP,dry,50,20,cast,0.158,0.000009,,,,10.1016/j.wear.2010.04.004,line_graph,low,speed reported in r/min; digitized from Fig 7 and Fig 8
LI2010,PA6,87.3,3,0,0,,poly,,,,,,,,,,,,,,,,,,,,
