paper_id,material_base,pa6_pct,glass_fiber_pct,graphite_pct,mos2_pct,pa66_pct,other_ingredients,other_ingredients_wt_pct,load_N,speed_ms,distance_m,PV_factor,counterface,test_type,environment,humidity_pct,temperature_C,fabrication,COF,wear_rate_mm3Nm,wear_volume_mm3,mass_loss_mg,contact_temp_C,source_doi,extraction_method,confidence,notes
NIE2010,PA6,100,0,0,0,,,6,,,steel,,dry,,injection,0.281,,0.191,,,10.1179/174328910X12608851832056,line_graph,medium,reciprocating frequency 4 Hz; stroke 5 mm; CGr15 ball counterface; RH 30-45%,,,
NIE2010,PA6,90,0,0,0,,carbon fiber,10 vol-%,6,,,steel,,dry,,injection,0.332,,0.152,,,10.1179/174328910X12608851832056,line_graph,medium,reciprocating frequency 4 Hz; stroke 5 mm; CGr15 ball counterface; RH 30-45%,,
NIE2010,PA6,80,0,0,0,,carbon fiber,20 vol-%,6,,,steel,,dry,,injection,0.261,,0.133,,,10.1179/174328910X12608851832056,line_graph,medium,reciprocating frequency 4 Hz; stroke 5 mm; CGr15 ball counterface; RH 30-45%,,
NIE2010,PA6,70,0,0,0,,carbon fiber,30 vol-%,6,,,steel,,dry,,injection,0.271,,0.124,,,10.1179/174328910X12608851832056,line_graph,medium,reciprocating frequency 4 Hz; stroke 5 mm; CGr15 ball counterface; RH 30-45%,,
NIE2010,PA6,100,0,0,0,,,9,,,steel,,dry,,injection,0.297,,0.211,,,10.1179/174328910X12608851832056,line_graph,medium,reciprocating frequency 4 Hz; stroke 5 mm; CGr15 ball counterface; RH 30-45%,,,
NIE2010,PA6,90,0,0,0,,carbon fiber,10 vol-%,9,,,steel,,dry,,injection,0.338,,0.164,,,10.1179/174328910X12608851832056,line_graph,medium,reciprocating frequency 4 Hz; stroke 5 mm; CGr15 ball counterface; RH 30-45%,,
NIE2010,PA6,80,0,0,0,,carbon fiber,20 vol-%,9,,,steel,,dry,,injection,0.268,,0.140,,,10.1179/174328910X12608851832056,line_graph,medium,reciprocating frequency 4 Hz; stroke 5 mm; CGr15 ball counterface; RH 30-45%,,
NIE2010,PA6,70,0,0,0,,carbon fiber,30 vol-%,9,,,steel,,dry,,injection,0.273,,0.131,,,10.1179/174328910X12608851832056,line_graph,medium,reciprocating frequency 4 Hz; stroke 5 mm; CGr15 ball counterface; RH 30-45%,,
NIE2010,PA6,100,0,0,0,,,12,,,steel,,dry,,injection,0.310,,0.222,,,10.1179/174328910X12608851832056,line_graph,medium,reciprocating frequency 4 Hz; stroke 5 mm; CGr15 ball counterface; RH 30-45%,,,
NIE2010,PA6,90,0,0,0,,carbon fiber,10 vol-%,12,,,steel,,dry,,injection,0.345,,0.174,,,10.1179/174328910X12608851832056,line_graph,medium,reciprocating frequency 4 Hz; stroke 5 mm; CGr15 ball counterface; RH 30-45%,,
NIE2010,PA6,80,0,0,0,,carbon fiber,20 vol-%,12,,,steel,,dry,,injection,0.270,,0.154,,,10.1179/174328910X12608851832056,line_graph,medium,reciprocating frequency 4 Hz; stroke 5 mm; CGr15 ball counterface; RH 30-45%,,
NIE2010,PA6,70,0,0,0,,carbon fiber,30 vol-%,12,,,steel,,dry,,injection,0.280,,0.148,,,10.1179/174328910X12608851832056,line_graph,medium,reciprocating frequency 4 Hz; stroke 5 mm; CGr15 ball counterface; RH 30-45%,,
NIE2010,PA6,100,0,0,0,,,15,,,steel,,dry,,injection,0.325,,0.234,,,10.1179/174328910X12608851832056,line_graph,medium,reciprocating frequency 4 Hz; stroke 5 mm; CGr15 ball counterface; RH 30-45%,,,
NIE2010,PA6,90,0,0,0,,carbon fiber,10 vol-%,15,,,steel,,dry,,injection,0.358,,0.191,,,10.1179/174328910X12608851832056,line_graph,medium,reciprocating frequency 4 Hz; stroke 5 mm; CGr15 ball counterface; RH 30-45%,,
NIE2010,PA6,80,0,0,0,,carbon fiber,20 vol-%,15,,,steel,,dry,,injection,0.278,,0.172,,,10.1179/174328910X12608851832056,line_graph,medium,reciprocating frequency 4 Hz; stroke 5 mm; CGr15 ball counterface; RH 30-45%,,
NIE2010,PA6,70,0,0,0,,carbon fiber,30 vol-%,15,,,steel,,dry,,injection,0.292,,0.181,,,10.1179/174328910X12608851832056,line_graph,medium,reciprocating frequency 4 Hz; stroke 5 mm; CGr15 ball counterface; RH 30-45%,,
NIE2010,PA6,100,0,0,0,,,9,,,steel,,dry,,injection,0.342,,0.199,,,10.1179/174328910X12608851832056,line_graph,medium,reciprocating frequency 1 Hz; stroke 5 mm; CGr15 ball counterface; RH 30-45%,,,
NIE2010,PA6,90,0,0,0,,carbon fiber,10 vol-%,9,,,steel,,dry,,injection,0.339,,0.153,,,10.1179/174328910X12608851832056,line_graph,medium,reciprocating frequency 1 Hz; stroke 5 mm; CGr15 ball counterface; RH 30-45%,,
