paper_id,material_base,pa6_pct,glass_fiber_pct,graphite_pct,mos2_pct,pa66_pct,other_ingredients,other_ingredients_wt_pct,load_N,speed_ms,distance_m,PV_factor,counterface,test_type,environment,humidity_pct,temperature_C,fabrication,COF,wear_rate_mm3Nm,wear_volume_mm3,mass_loss_mg,contact_temp_C,source_doi,extraction_method,confidence,notes
PA66GFGREASE2020,PA66,0,15,0,0,85,,,350,1.0,465.6,,steel,PoD,lubricated,,25,injection,0.048,0.00000147,0.24,0.295,,10.1016/j.wear.2020.203500,line_graph,high,"Sample 1: PA66+15%GF (6.5 um dia, Type A agent, VN 193 ml/g); ring-on-4-cylinders vs S45C steel under grease; 350 N; 1.0 m/s; 6500 cycles (465.6 m); Fig 4a, 5"
PA66GFGREASE2020,PA66,0,15,0,0,85,,,350,1.0,1597.4,,steel,PoD,lubricated,,25,injection,0.050,0.00000075,0.42,0.517,,10.1016/j.wear.2020.203500,line_graph,high,"Sample 1: PA66+15%GF (6.5 um dia, Type A agent, VN 193 ml/g); ring-on-4-cylinders vs S45C steel under grease; 350 N; 1.0 m/s; 22300 cycles (1597.4 m); Fig 4a, 5"
PA66GFGREASE2020,PA66,0,15,0,0,85,,,350,1.0,465.6,,steel,PoD,lubricated,,25,injection,0.052,0.00000184,0.30,0.369,,10.1016/j.wear.2020.203500,line_graph,high,"Sample 2: PA66+15%GF (6.5 um dia, Type B agent); ring-on-4-cylinders vs S45C steel under grease; 350 N; 1.0 m/s; 6500 cycles (465.6 m); Fig 4a, 5"
PA66GFGREASE2020,PA66,0,15,0,0,85,,,350,1.0,1597.4,,steel,PoD,lubricated,,25,injection,0.095,0.00000086,0.48,0.590,,10.1016/j.wear.2020.203500,line_graph,high,"Sample 2: PA66+15%GF (6.5 um dia, Type B agent); ring-on-4-cylinders vs S45C steel under grease; 350 N; 1.0 m/s; 22300 cycles (1597.4 m); Fig 4a, 5"
PA66GFGREASE2020,PA66,0,15,0,0,85,,,350,1.0,1597.4,,steel,PoD,lubricated,,25,injection,0.051,0.00000129,0.72,0.886,,10.1016/j.wear.2020.203500,line_graph,high,"Sample 3: PA66+15%GF (6.5 um dia, VN 145 ml/g); ring-on-4-cylinders vs S45C steel under grease; 350 N; 1.0 m/s; 22300 cycles (1597.4 m); Fig 16, 17a"
PA66GFGREASE2020,PA66,0,15,0,0,85,,,350,1.0,4405.2,,steel,PoD,lubricated,,25,injection,0.120,0.00000292,4.50,5.535,,10.1016/j.wear.2020.203500,line_graph,high,"Sample 3: PA66+15%GF (6.5 um dia, VN 145 ml/g); ring-on-4-cylinders vs S45C steel under grease; 350 N; 1.0 m/s; 61500 cycles (4405.2 m); Fig 16, 17a, 19"
PA66GFGREASE2020,PA66,0,15,0,0,85,,,350,1.0,4691.7,,steel,PoD,lubricated,,25,injection,0.052,0.000000585,0.96,1.181,,10.1016/j.wear.2020.203500,line_graph,high,"Sample 1: PA66+15%GF (6.5 um dia, VN 193 ml/g); ring-on-4-cylinders vs S45C steel under grease; 350 N; 1.0 m/s; 65500 cycles (4691.7 m); Fig 16, 17a, 19"
PA66GFGREASE2020,PA66,0,15,0,0,85,,,350,1.0,4691.7,,steel,PoD,lubricated,,25,injection,0.048,0.000000390,0.64,0.787,,10.1016/j.wear.2020.203500,line_graph,high,"Sample 4: PA66+15%GF (6.5 um dia, VN 235 ml/g); ring-on-4-cylinders vs S45C steel under grease; 350 N; 1.0 m/s; 65500 cycles (4691.7 m); Fig 16, 17a, 19"
PA66GFGREASE2020,PA66,0,15,0,0,85,,,350,1.0,4691.7,,steel,PoD,lubricated,,25,injection,0.046,0.000000305,0.50,0.615,,10.1016/j.wear.2020.203500,line_graph,high,"Sample 5: PA66+15%GF (6.5 um dia, VN 356 ml/g); ring-on-4-cylinders vs S45C steel under grease; 350 N; 1.0 m/s; 65500 cycles (4691.7 m); Fig 16, 17a"
PA66GFGREASE2020,PA66,0,15,0,0,85,,,350,1.0,3581.4,,steel,PoD,lubricated,,25,injection,0.050,0.00000062,0.78,0.959,,10.1016/j.wear.2020.203500,line_graph,high,"Sample 1: PA66+15%GF (GF dia 6.5 um, Type A, VN 193 ml/g); ring-on-4-cylinders vs S45C steel under grease; 350 N; 1.0 m/s; 50000 cycles (3581.4 m); Fig 29a, 31a"
