paper_id,material_base,pa6_pct,glass_fiber_pct,graphite_pct,mos2_pct,pa66_pct,other_ingredients,other_ingredients_wt_pct,load_N,speed_ms,distance_m,PV_factor,counterface,test_type,environment,humidity_pct,temperature_C,fabrication,COF,wear_rate_mm3Nm,wear_volume_mm3,mass_loss_mg,contact_temp_C,source_doi,extraction_method,confidence,notes
PA6TPU2015,PA6,100,0,0,0,0,,,,0.006544984694978736,,,steel,PoD,dry,,,injection,0.43,0.00092,,,,10.1177/0892705712439565,mixed,high,Speed 500 rpm; Converted from rpm to m/s using 25.0 mm disc diameter
PA6TPU2015,PA6,95,0,0,0,0,TPU,5,,0.006544984694978736,,,steel,PoD,dry,,,injection,0.39,0.00176,,,,10.1177/0892705712439565,mixed,high,Speed 500 rpm; Converted from rpm to m/s using 25.0 mm disc diameter
PA6TPU2015,PA6,90,0,0,0,0,TPU,10,,0.006544984694978736,,,steel,PoD,dry,,,injection,0.33,0.0021,,,,10.1177/0892705712439565,mixed,high,Speed 500 rpm; Converted from rpm to m/s using 25.0 mm disc diameter
PA6TPU2015,PA6,85,0,0,0,0,TPU,15,,0.006544984694978736,,,steel,PoD,dry,,,injection,0.35,0.00175,,,,10.1177/0892705712439565,mixed,high,Speed 500 rpm; Converted from rpm to m/s using 25.0 mm disc diameter
PA6TPU2015,PA6,100,0,0,0,0,,,,0.013089969389957472,,,steel,PoD,dry,,,injection,0.35,0.00056,,,,10.1177/0892705712439565,bar_chart,medium,Speed 500 rpm; Converted from rpm to m/s using 25.0 mm disc diameter
PA6TPU2015,PA6,95,0,0,0,0,TPU,5,,0.013089969389957472,,,steel,PoD,dry,,,injection,0.59,0.00125,,,,10.1177/0892705712439565,bar_chart,medium,Speed 500 rpm; Converted from rpm to m/s using 25.0 mm disc diameter
PA6TPU2015,PA6,90,0,0,0,0,TPU,10,,0.013089969389957472,,,steel,PoD,dry,,,injection,0.56,0.00165,,,,10.1177/0892705712439565,bar_chart,medium,Speed 500 rpm; Converted from rpm to m/s using 25.0 mm disc diameter
PA6TPU2015,PA6,85,0,0,0,0,TPU,15,,0.013089969389957472,,,steel,PoD,dry,,,injection,0.59,0.00135,,,,10.1177/0892705712439565,bar_chart,medium,Speed 500 rpm; Converted from rpm to m/s using 25.0 mm disc diameter
PA6TPU2015,PA6,100,0,0,0,0,,,,0.006544984694978736,,,steel,PoD,dry,,,injection,0.38,0.00106,,,,10.1177/0892705712439565,bar_chart,medium,Speed 1000 rpm; Converted from rpm to m/s using 25.0 mm disc diameter
PA6TPU2015,PA6,95,0,0,0,0,TPU,5,,0.006544984694978736,,,steel,PoD,dry,,,injection,0.315,0.00138,,,,10.1177/0892705712439565,bar_chart,medium,Speed 1000 rpm; Converted from rpm to m/s using 25.0 mm disc diameter
PA6TPU2015,PA6,90,0,0,0,0,TPU,10,,0.006544984694978736,,,steel,PoD,dry,,,injection,0.326,0.00188,,,,10.1177/0892705712439565,bar_chart,medium,Speed 1000 rpm; Converted from rpm to m/s using 25.0 mm disc diameter
PA6TPU2015,PA6,85,0,0,0,0,TPU,15,,0.006544984694978736,,,steel,PoD,dry,,,injection,0.325,0.0016,,,,10.1177/0892705712439565,bar_chart,medium,Speed 1000 rpm; Converted from rpm to m/s using 25.0 mm disc diameter
