paper_id,material_base,pa6_pct,glass_fiber_pct,graphite_pct,mos2_pct,pa66_pct,other_ingredients,other_ingredients_wt_pct,load_N,speed_ms,distance_m,PV_factor,counterface,test_type,environment,humidity_pct,temperature_C,fabrication,COF,wear_rate_mm3Nm,wear_volume_mm3,mass_loss_mg,contact_temp_C,source_doi,extraction_method,confidence,notes
RAJESH2001,PA6,100,0,0,0,0,,,4,0.05,3.26,,other,PoD,dry,,,injection,,0.115,,,,10.1023/A:1004812109247,line_graph,high,Material A: Pure PA6; Pin on disc vs 80 grit SiC paper; 4 N; 0.05 m/s; 3.26 m; Fig 2
RAJESH2001,PA6,100,0,0,0,0,,,6,0.05,3.26,,other,PoD,dry,,,injection,,0.105,,,,10.1023/A:1004812109247,line_graph,high,Material A: Pure PA6; Pin on disc vs 80 grit SiC paper; 6 N; 0.05 m/s; 3.26 m; Fig 2
RAJESH2001,PA6,100,0,0,0,0,,,8,0.05,3.26,,other,PoD,dry,,,injection,,0.100,,,,10.1023/A:1004812109247,line_graph,high,Material A: Pure PA6; Pin on disc vs 80 grit SiC paper; 8 N; 0.05 m/s; 3.26 m; Fig 2
RAJESH2001,PA6,100,0,0,0,0,,,10,0.05,3.26,,other,PoD,dry,,,injection,,0.100,,,,10.1023/A:1004812109247,line_graph,high,Material A: Pure PA6; Pin on disc vs 80 grit SiC paper; 10 N; 0.05 m/s; 3.26 m; Fig 2
RAJESH2001,PA6,80,20,0,0,0,,,4,0.05,3.26,,other,PoD,dry,,,injection,,0.195,,,,10.1023/A:1004812109247,line_graph,high,Material B: PA6 + 20% GF; Pin on disc vs 80 grit SiC paper; 4 N; 0.05 m/s; 3.26 m; Fig 2
RAJESH2001,PA6,80,20,0,0,0,,,6,0.05,3.26,,other,PoD,dry,,,injection,,0.180,,,,10.1023/A:1004812109247,line_graph,high,Material B: PA6 + 20% GF; Pin on disc vs 80 grit SiC paper; 6 N; 0.05 m/s; 3.26 m; Fig 2
RAJESH2001,PA6,80,20,0,0,0,,,8,0.05,3.26,,other,PoD,dry,,,injection,,0.175,,,,10.1023/A:1004812109247,line_graph,high,Material B: PA6 + 20% GF; Pin on disc vs 80 grit SiC paper; 8 N; 0.05 m/s; 3.26 m; Fig 2
RAJESH2001,PA6,80,20,0,0,0,,,10,0.05,3.26,,other,PoD,dry,,,injection,,0.170,,,,10.1023/A:1004812109247,line_graph,high,Material B: PA6 + 20% GF; Pin on disc vs 80 grit SiC paper; 10 N; 0.05 m/s; 3.26 m; Fig 2
RAJESH2001,PA6,70,30,0,0,0,,,4,0.05,3.26,,other,PoD,dry,,,injection,,0.245,,,,10.1023/A:1004812109247,line_graph,high,Material C: PA6 + 30% GF; Pin on disc vs 80 grit SiC paper; 4 N; 0.05 m/s; 3.26 m; Fig 2
RAJESH2001,PA6,70,30,0,0,0,,,6,0.05,3.26,,other,PoD,dry,,,injection,,0.220,,,,10.1023/A:1004812109247,line_graph,high,Material C: PA6 + 30% GF; Pin on disc vs 80 grit SiC paper; 6 N; 0.05 m/s; 3.26 m; Fig 2
RAJESH2001,PA6,70,30,0,0,0,,,8,0.05,3.26,,other,PoD,dry,,,injection,,0.210,,,,10.1023/A:1004812109247,line_graph,high,Material C: PA6 + 30% GF; Pin on disc vs 80 grit SiC paper; 8 N; 0.05 m/s; 3.26 m; Fig 2
RAJESH2001,PA6,70,30,0,0,0,,,10,0.05,3.26,,other,PoD,dry,,,injection,,0.205,,,,10.1023/A:1004812109247,line_graph,high,Material C: PA6 + 30% GF; Pin on disc vs 80 grit SiC paper; 10 N; 0.05 m/s; 3.26 m; Fig 2
RAJESH2001,PA6,76,15,0,0,0,PTFE; Copper powder,3; 6,4,0.05,3.26,,other,PoD,dry,,,injection,,0.275,,,,10.1023/A:1004812109247,line_graph,high,Material D: PA6 + 15% GF + 3% PTFE + 6% Cu; Pin on disc vs 80 grit SiC paper; 4 N; 0.05 m/s; 3.26 m; Fig 2
RAJESH2001,PA6,76,15,0,0,0,PTFE; Copper powder,3; 6,6,0.05,3.26,,other,PoD,dry,,,injection,,0.245,,,,10.1023/A:1004812109247,line_graph,high,Material D: PA6 + 15% GF + 3% PTFE + 6% Cu; Pin on disc vs 80 grit SiC paper; 6 N; 0.05 m/s; 3.26 m; Fig 2
RAJESH2001,PA6,76,15,0,0,0,PTFE; Copper powder,3; 6,8,0.05,3.26,,other,PoD,dry,,,injection,,0.240,,,,10.1023/A:1004812109247,line_graph,high,Material D: PA6 + 15% GF + 3% PTFE + 6% Cu; Pin on disc vs 80 grit SiC paper; 8 N; 0.05 m/s; 3.26 m; Fig 2
RAJESH2001,PA6,76,15,0,0,0,PTFE; Copper powder,3; 6,10,0.05,3.26,,other,PoD,dry,,,injection,,0.235,,,,10.1023/A:1004812109247,line_graph,high,Material D: PA6 + 15% GF + 3% PTFE + 6% Cu; Pin on disc vs 80 grit SiC paper; 10 N; 0.05 m/s; 3.26 m; Fig 2
RAJESH2001,PA6,76,15,0,0,0,PTFE; Bronze powder,3; 6,4,0.05,3.26,,other,PoD,dry,,,injection,,0.285,,,,10.1023/A:1004812109247,line_graph,high,Material E: PA6 + 15% GF + 3% PTFE + 6% Bronze; Pin on disc vs 80 grit SiC paper; 4 N; 0.05 m/s; 3.26 m; Fig 2
RAJESH2001,PA6,76,15,0,0,0,PTFE; Bronze powder,3; 6,6,0.05,3.26,,other,PoD,dry,,,injection,,0.265,,,,10.1023/A:1004812109247,line_graph,high,Material E: PA6 + 15% GF + 3% PTFE + 6% Bronze; Pin on disc vs 80 grit SiC paper; 6 N; 0.05 m/s; 3.26 m; Fig 2
RAJESH2001,PA6,76,15,0,0,0,PTFE; Bronze powder,3; 6,8,0.05,3.26,,other,PoD,dry,,,injection,,0.255,,,,10.1023/A:1004812109247,line_graph,high,Material E: PA6 + 15% GF + 3% PTFE + 6% Bronze; Pin on disc vs 80 grit SiC paper; 8 N; 0.05 m/s; 3.26 m; Fig 2
RAJESH2001,PA6,76,15,0,0,0,PTFE; Bronze powder,3; 6,10,0.05,3.26,,other,PoD,dry,,,injection,,0.250,,,,10.1023/A:1004812109247,line_graph,high,Material E: PA6 + 15% GF + 3% PTFE + 6% Bronze; Pin on disc vs 80 grit SiC paper; 10 N; 0.05 m/s; 3.26 m; Fig 2
