paper_id,material_base,pa6_pct,glass_fiber_pct,graphite_pct,mos2_pct,pa66_pct,other_ingredients,other_ingredients_wt_pct,load_N,speed_ms,distance_m,PV_factor,counterface,test_type,environment,humidity_pct,temperature_C,fabrication,COF,wear_rate_mm3Nm,wear_volume_mm3,mass_loss_mg,contact_temp_C,source_doi,extraction_method,confidence,notes
RANDHAWA2020,PA6,100,0,0,0,0,,,4.9,1.05,1000,,steel,PoD,dry,,27,injection,0.20,9.0273e-05,0.4423,,,10.1088/1742-6596/1706/1/012124,line_graph,high,wear reported as linear wear = 35.2 µm; pin dia = 4 mm
RANDHAWA2020,PA6,98,0,0,0,0,diboron trioxide,2,4.9,1.05,1000,,steel,PoD,dry,,27,injection,0.19,8.6169e-05,0.4222,,,10.1088/1742-6596/1706/1/012124,line_graph,low,wear reported as linear wear = 33.6 µm; pin dia = 4 mm
RANDHAWA2020,PA6,96,0,0,0,0,diboron trioxide,4,4.9,1.05,1000,,steel,PoD,dry,,27,injection,0.19,8.7452e-05,0.4285,,,10.1088/1742-6596/1706/1/012124,line_graph,low,wear reported as linear wear = 34.1 µm; pin dia = 4 mm
RANDHAWA2020,PA6,92,0,0,0,0,diboron trioxide,8,4.9,1.05,1000,,steel,PoD,dry,,27,injection,0.25,1.0207e-04,0.5001,,,10.1088/1742-6596/1706/1/012124,line_graph,low,wear reported as linear wear = 39.8 µm; pin dia = 4 mm
RANDHAWA2020,PA6,100,0,0,0,0,,,4.9,1.05,2000,,steel,PoD,dry,,27,injection,0.22,4.7316e-05,0.4637,,,10.1088/1742-6596/1706/1/012124,line_graph,high,wear reported as linear wear = 36.9 µm; pin dia = 4 mm
RANDHAWA2020,PA6,98,0,0,0,0,diboron trioxide,2,4.9,1.05,2000,,steel,PoD,dry,,27,injection,0.20,4.4623e-05,0.4373,,,10.1088/1742-6596/1706/1/012124,line_graph,low,wear reported as linear wear = 34.8 µm; pin dia = 4 mm
RANDHAWA2020,PA6,96,0,0,0,0,diboron trioxide,4,4.9,1.05,2000,,steel,PoD,dry,,27,injection,0.21,4.7829e-05,0.4687,,,10.1088/1742-6596/1706/1/012124,line_graph,low,wear reported as linear wear = 37.3 µm; pin dia = 4 mm
RANDHAWA2020,PA6,92,0,0,0,0,diboron trioxide,8,4.9,1.05,2000,,steel,PoD,dry,,27,injection,0.26,4.7188e-05,0.4624,,,10.1088/1742-6596/1706/1/012124,line_graph,low,wear reported as linear wear = 36.8 µm; pin dia = 4 mm
RANDHAWA2020,PA6,100,0,0,0,0,,,4.9,1.05,3000,,steel,PoD,dry,,27,injection,0.25,3.2057e-05,0.4712,,,10.1088/1742-6596/1706/1/012124,line_graph,high,wear reported as linear wear = 37.5 µm; pin dia = 4 mm
RANDHAWA2020,PA6,98,0,0,0,0,diboron trioxide,2,4.9,1.05,3000,,steel,PoD,dry,,27,injection,0.23,3.0433e-05,0.4474,,,10.1088/1742-6596/1706/1/012124,line_graph,low,wear reported as linear wear = 35.6 µm; pin dia = 4 mm
RANDHAWA2020,PA6,96,0,0,0,0,diboron trioxide,4,4.9,1.05,3000,,steel,PoD,dry,,27,injection,0.25,3.2741e-05,0.4813,,,10.1088/1742-6596/1706/1/012124,line_graph,low,wear reported as linear wear = 38.3 µm; pin dia = 4 mm
