paper_id,material_base,pa6_pct,glass_fiber_pct,graphite_pct,mos2_pct,pa66_pct,other_ingredients,other_ingredients_wt_pct,load_N,speed_ms,distance_m,PV_factor,counterface,test_type,environment,humidity_pct,temperature_C,fabrication,COF,wear_rate_mm3Nm,wear_volume_mm3,mass_loss_mg,contact_temp_C,source_doi,extraction_method,confidence,notes
SICPA62020,PA6,100,0,0,0,0,,,5,5.24,1000,,steel,PoD,dry,44,28,injection,0.32,0.0092,,,,10.1016/j.dib.2020.105662,line_graph,high,Pure PA6 (S1); DUCOM pin-on-disc vs EN31 steel disc; 5 N; 1000 rpm (5.24 m/s); 1000 m; Figs. 4 and 5
SICPA62020,PA6,100,0,0,0,0,,,10,5.24,1000,,steel,PoD,dry,44,28,injection,0.35,0.0083,,,,10.1016/j.dib.2020.105662,line_graph,high,Pure PA6 (S1); DUCOM pin-on-disc vs EN31 steel disc; 10 N; 1000 rpm (5.24 m/s); 1000 m; Figs. 4 and 5
SICPA62020,PA6,100,0,0,0,0,,,20,5.24,1000,,steel,PoD,dry,44,28,injection,0.37,0.0074,,,,10.1016/j.dib.2020.105662,line_graph,high,Pure PA6 (S1); DUCOM pin-on-disc vs EN31 steel disc; 20 N; 1000 rpm (5.24 m/s); 1000 m; Figs. 4 and 5
SICPA62020,PA6,100,0,0,0,0,,,30,5.24,1000,,steel,PoD,dry,44,28,injection,0.42,0.0068,,,,10.1016/j.dib.2020.105662,line_graph,high,Pure PA6 (S1); DUCOM pin-on-disc vs EN31 steel disc; 30 N; 1000 rpm (5.24 m/s); 1000 m; Figs. 4 and 5
SICPA62020,PA6,95,0,0,0,0,SiC,5,5,5.24,1000,,steel,PoD,dry,44,28,injection,0.32,0.0086,,,,10.1016/j.dib.2020.105662,line_graph,high,PA6 + 5 wt% SiC (S2); DUCOM pin-on-disc vs EN31 steel disc; 5 N; 1000 rpm (5.24 m/s); 1000 m; Figs. 4 and 5
SICPA62020,PA6,95,0,0,0,0,SiC,5,10,5.24,1000,,steel,PoD,dry,44,28,injection,0.33,0.0078,,,,10.1016/j.dib.2020.105662,line_graph,high,PA6 + 5 wt% SiC (S2); DUCOM pin-on-disc vs EN31 steel disc; 10 N; 1000 rpm (5.24 m/s); 1000 m; Figs. 4 and 5
SICPA62020,PA6,95,0,0,0,0,SiC,5,20,5.24,1000,,steel,PoD,dry,44,28,injection,0.31,0.0069,,,,10.1016/j.dib.2020.105662,line_graph,high,PA6 + 5 wt% SiC (S2); DUCOM pin-on-disc vs EN31 steel disc; 20 N; 1000 rpm (5.24 m/s); 1000 m; Figs. 4 and 5
SICPA62020,PA6,95,0,0,0,0,SiC,5,30,5.24,1000,,steel,PoD,dry,44,28,injection,0.34,0.0062,,,,10.1016/j.dib.2020.105662,line_graph,high,PA6 + 5 wt% SiC (S2); DUCOM pin-on-disc vs EN31 steel disc; 30 N; 1000 rpm (5.24 m/s); 1000 m; Figs. 4 and 5
SICPA62020,PA6,90,0,0,0,0,SiC,10,5,5.24,1000,,steel,PoD,dry,44,28,injection,0.31,0.0082,,,,10.1016/j.dib.2020.105662,line_graph,high,PA6 + 10 wt% SiC (S3); DUCOM pin-on-disc vs EN31 steel disc; 5 N; 1000 rpm (5.24 m/s); 1000 m; Figs. 4 and 5
SICPA62020,PA6,90,0,0,0,0,SiC,10,10,5.24,1000,,steel,PoD,dry,44,28,injection,0.33,0.0074,,,,10.1016/j.dib.2020.105662,line_graph,high,PA6 + 10 wt% SiC (S3); DUCOM pin-on-disc vs EN31 steel disc; 10 N; 1000 rpm (5.24 m/s); 1000 m; Figs. 4 and 5
SICPA62020,PA6,90,0,0,0,0,SiC,10,20,5.24,1000,,steel,PoD,dry,44,28,injection,0.30,0.0065,,,,10.1016/j.dib.2020.105662,line_graph,high,PA6 + 10 wt% SiC (S3); DUCOM pin-on-disc vs EN31 steel disc; 20 N; 1000 rpm (5.24 m/s); 1000 m; Figs. 4 and 5
SICPA62020,PA6,90,0,0,0,0,SiC,10,30,5.24,1000,,steel,PoD,dry,44,28,injection,0.32,0.0057,,,,10.1016/j.dib.2020.105662,line_graph,high,PA6 + 10 wt% SiC (S3); DUCOM pin-on-disc vs EN31 steel disc; 30 N; 1000 rpm (5.24 m/s); 1000 m; Figs. 4 and 5
SICPA62020,PA6,80,0,0,0,0,SiC,20,5,5.24,1000,,steel,PoD,dry,44,28,injection,0.29,0.0077,,,,10.1016/j.dib.2020.105662,line_graph,high,PA6 + 20 wt% SiC (S4); DUCOM pin-on-disc vs EN31 steel disc; 5 N; 1000 rpm (5.24 m/s); 1000 m; Figs. 4 and 5
SICPA62020,PA6,80,0,0,0,0,SiC,20,10,5.24,1000,,steel,PoD,dry,44,28,injection,0.32,0.0068,,,,10.1016/j.dib.2020.105662,line_graph,high,PA6 + 20 wt% SiC (S4); DUCOM pin-on-disc vs EN31 steel disc; 10 N; 1000 rpm (5.24 m/s); 1000 m; Figs. 4 and 5
SICPA62020,PA6,80,0,0,0,0,SiC,20,20,5.24,1000,,steel,PoD,dry,44,28,injection,0.28,0.0060,,,,10.1016/j.dib.2020.105662,line_graph,high,PA6 + 20 wt% SiC (S4); DUCOM pin-on-disc vs EN31 steel disc; 20 N; 1000 rpm (5.24 m/s); 1000 m; Figs. 4 and 5
SICPA62020,PA6,80,0,0,0,0,SiC,20,30,5.24,1000,,steel,PoD,dry,44,28,injection,0.31,0.0052,,,,10.1016/j.dib.2020.105662,line_graph,high,PA6 + 20 wt% SiC (S4); DUCOM pin-on-disc vs EN31 steel disc; 30 N; 1000 rpm (5.24 m/s); 1000 m; Figs. 4 and 5
SICPA62020,PA6,70,0,0,0,0,SiC,30,5,5.24,1000,,steel,PoD,dry,44,28,injection,0.27,0.0071,,,,10.1016/j.dib.2020.105662,line_graph,high,PA6 + 30 wt% SiC (S5); DUCOM pin-on-disc vs EN31 steel disc; 5 N; 1000 rpm (5.24 m/s); 1000 m; Figs. 4 and 5
SICPA62020,PA6,70,0,0,0,0,SiC,30,10,5.24,1000,,steel,PoD,dry,44,28,injection,0.30,0.0063,,,,10.1016/j.dib.2020.105662,line_graph,high,PA6 + 30 wt% SiC (S5); DUCOM pin-on-disc vs EN31 steel disc; 10 N; 1000 rpm (5.24 m/s); 1000 m; Figs. 4 and 5
SICPA62020,PA6,70,0,0,0,0,SiC,30,20,5.24,1000,,steel,PoD,dry,44,28,injection,0.26,0.0056,,,,10.1016/j.dib.2020.105662,line_graph,high,PA6 + 30 wt% SiC (S5); DUCOM pin-on-disc vs EN31 steel disc; 20 N; 1000 rpm (5.24 m/s); 1000 m; Figs. 4 and 5
