paper_id,material_base,pa6_pct,glass_fiber_pct,graphite_pct,mos2_pct,pa66_pct,other_ingredients,other_ingredients_wt_pct,load_N,speed_ms,distance_m,PV_factor,counterface,test_type,environment,humidity_pct,temperature_C,fabrication,COF,wear_rate_mm3Nm,wear_volume_mm3,mass_loss_mg,contact_temp_C,source_doi,extraction_method,confidence,notes
VAIDYA2022,PA66,0,0,0,0,100,,,4.9,1.571,1000,,steel,PoD,dry,,27,injection,0.562,0.0003116,1.527,2,,10.1080/14484846.2022.2073019,table,high,Pure PA66; pin-on-disc vs hardened EN31 steel; 4.9 N; 300 rpm (1.571 m/s); 1000 m; Table 5
VAIDYA2022,PA66,0,0,0,0,100,,,9.81,1.571,1000,,steel,PoD,dry,,27,injection,0.367,0.0002334,2.290,3,,10.1080/14484846.2022.2073019,table,high,Pure PA66; pin-on-disc vs hardened EN31 steel; 9.81 N; 300 rpm (1.571 m/s); 1000 m; Table 5
VAIDYA2022,PA66,0,0,0,0,100,,,14.71,1.571,1000,,steel,PoD,dry,,27,injection,0.390,0.0001557,2.290,3,,10.1080/14484846.2022.2073019,table,high,Pure PA66; pin-on-disc vs hardened EN31 steel; 14.71 N; 300 rpm (1.571 m/s); 1000 m; Table 5
VAIDYA2022,PA66,0,0,0,0,100,,,4.9,3.142,1000,,steel,PoD,dry,,27,injection,0.414,0.0004673,2.290,3,,10.1080/14484846.2022.2073019,table,high,Pure PA66; pin-on-disc vs hardened EN31 steel; 4.9 N; 600 rpm (3.142 m/s); 1000 m; Table 5
VAIDYA2022,PA66,0,0,0,0,100,,,9.81,3.142,1000,,steel,PoD,dry,,27,injection,0.377,0.0002334,2.290,3,,10.1080/14484846.2022.2073019,table,high,Pure PA66; pin-on-disc vs hardened EN31 steel; 9.81 N; 600 rpm (3.142 m/s); 1000 m; Table 5
VAIDYA2022,PA66,0,0,0,0,100,,,14.71,3.142,1000,,steel,PoD,dry,,27,injection,0.400,0.0002076,3.053,4,,10.1080/14484846.2022.2073019,table,high,Pure PA66; pin-on-disc vs hardened EN31 steel; 14.71 N; 600 rpm (3.142 m/s); 1000 m; Table 5
VAIDYA2022,PA66,0,0,0,0,100,,,4.9,4.712,1000,,steel,PoD,dry,,27,injection,0.338,0.0004673,2.290,3,,10.1080/14484846.2022.2073019,table,high,Pure PA66; pin-on-disc vs hardened EN31 steel; 4.9 N; 900 rpm (4.712 m/s); 1000 m; Table 5
VAIDYA2022,PA66,0,0,0,0,100,,,9.81,4.712,1000,,steel,PoD,dry,,27,injection,0.584,0.0004669,4.580,6,,10.1080/14484846.2022.2073019,table,high,Pure PA66; pin-on-disc vs hardened EN31 steel; 9.81 N; 900 rpm (4.712 m/s); 1000 m; Table 5
VAIDYA2022,PA66,0,0,0,0,100,,,14.71,4.712,1000,,steel,PoD,dry,,27,injection,0.548,0.0005190,7.634,10,,10.1080/14484846.2022.2073019,table,high,Pure PA66; pin-on-disc vs hardened EN31 steel; 14.71 N; 900 rpm (4.712 m/s); 1000 m; Table 5
VAIDYA2022,PA66,0,0,0,5,90,h-BN,5,4.9,1.571,1000,,steel,PoD,dry,,27,injection,0.326,0.0002937,1.439,2,,10.1080/14484846.2022.2073019,table,high,PA66 + 5% MoS2 + 5% h-BN; pin-on-disc vs hardened EN31 steel; 4.9 N; 300 rpm (1.571 m/s); 1000 m; Table 6
VAIDYA2022,PA66,0,0,0,5,90,h-BN,5,9.81,1.571,1000,,steel,PoD,dry,,27,injection,0.482,0.0001467,1.439,2,,10.1080/14484846.2022.2073019,table,high,PA66 + 5% MoS2 + 5% h-BN; pin-on-disc vs hardened EN31 steel; 9.81 N; 300 rpm (1.571 m/s); 1000 m; Table 6
VAIDYA2022,PA66,0,0,0,5,90,h-BN,5,14.71,1.571,1000,,steel,PoD,dry,,27,injection,0.490,0.0001467,2.158,3,,10.1080/14484846.2022.2073019,table,high,PA66 + 5% MoS2 + 5% h-BN; pin-on-disc vs hardened EN31 steel; 14.71 N; 300 rpm (1.571 m/s); 1000 m; Table 6
VAIDYA2022,PA66,0,0,0,5,90,h-BN,5,4.9,3.142,1000,,steel,PoD,dry,,27,injection,0.740,0.0002937,1.439,2,,10.1080/14484846.2022.2073019,table,high,PA66 + 5% MoS2 + 5% h-BN; pin-on-disc vs hardened EN31 steel; 4.9 N; 600 rpm (3.142 m/s); 1000 m; Table 6
VAIDYA2022,PA66,0,0,0,5,90,h-BN,5,9.81,3.142,1000,,steel,PoD,dry,,27,injection,0.510,0.0001467,1.439,2,,10.1080/14484846.2022.2073019,table,high,PA66 + 5% MoS2 + 5% h-BN; pin-on-disc vs hardened EN31 steel; 9.81 N; 600 rpm (3.142 m/s); 1000 m; Table 6
VAIDYA2022,PA66,0,0,0,5,90,h-BN,5,14.71,3.142,1000,,steel,PoD,dry,,27,injection,0.630,0.0001467,2.158,3,,10.1080/14484846.2022.2073019,table,high,PA66 + 5% MoS2 + 5% h-BN; pin-on-disc vs hardened EN31 steel; 14.71 N; 600 rpm (3.142 m/s); 1000 m; Table 6
VAIDYA2022,PA66,0,0,0,5,90,h-BN,5,4.9,4.712,1000,,steel,PoD,dry,,27,injection,0.597,0.0002937,1.439,2,,10.1080/14484846.2022.2073019,table,high,PA66 + 5% MoS2 + 5% h-BN; pin-on-disc vs hardened EN31 steel; 4.9 N; 900 rpm (4.712 m/s); 1000 m; Table 6
VAIDYA2022,PA66,0,0,0,5,90,h-BN,5,9.81,4.712,1000,,steel,PoD,dry,,27,injection,0.642,0.0002200,2.158,3,,10.1080/14484846.2022.2073019,table,high,PA66 + 5% MoS2 + 5% h-BN; pin-on-disc vs hardened EN31 steel; 9.81 N; 900 rpm (4.712 m/s); 1000 m; Table 6
VAIDYA2022,PA66,0,0,0,5,90,h-BN,5,14.71,4.712,1000,,steel,PoD,dry,,27,injection,0.580,0.0001467,2.158,3,,10.1080/14484846.2022.2073019,table,high,PA66 + 5% MoS2 + 5% h-BN; pin-on-disc vs hardened EN31 steel; 14.71 N; 900 rpm (4.712 m/s); 1000 m; Table 6
