paper_id,material_base,pa6_pct,glass_fiber_pct,graphite_pct,mos2_pct,pa66_pct,other_ingredients,other_ingredients_wt_pct,load_N,speed_ms,distance_m,PV_factor,counterface,test_type,environment,humidity_pct,temperature_C,fabrication,COF,wear_rate_mm3Nm,wear_volume_mm3,mass_loss_mg,contact_temp_C,source_doi,extraction_method,confidence,notes
WOLLASTONITE2014,PA6,100,0,0,0,0,,,6,1.0,,,steel,PoD,dry,,,injection,0.34,,,0.70,,10.21533/pen.v2i1.35,table,high,Pure PA6; pin-on-disc vs AISI 4140 steel (56 HRC); 6 N; 1.0 m/s; Table 3
WOLLASTONITE2014,PA6,100,0,0,0,0,,,10,1.0,,,steel,PoD,dry,,,injection,0.48,,,0.75,,10.21533/pen.v2i1.35,table,high,Pure PA6; pin-on-disc vs AISI 4140 steel (56 HRC); 10 N; 1.0 m/s; Table 3
WOLLASTONITE2014,PA6,100,0,0,0,0,,,20,1.0,,,steel,PoD,dry,,,injection,0.58,,,1.05,,10.21533/pen.v2i1.35,table,high,Pure PA6; pin-on-disc vs AISI 4140 steel (56 HRC); 20 N; 1.0 m/s; Table 3
WOLLASTONITE2014,PA6,100,0,0,0,0,,,6,1.5,,,steel,PoD,dry,,,injection,0.26,,,0.85,,10.21533/pen.v2i1.35,table,high,Pure PA6; pin-on-disc vs AISI 4140 steel (56 HRC); 6 N; 1.5 m/s; Table 3
WOLLASTONITE2014,PA6,100,0,0,0,0,,,10,1.5,,,steel,PoD,dry,,,injection,0.36,,,1.00,,10.21533/pen.v2i1.35,table,high,Pure PA6; pin-on-disc vs AISI 4140 steel (56 HRC); 10 N; 1.5 m/s; Table 3
WOLLASTONITE2014,PA6,100,0,0,0,0,,,20,1.5,,,steel,PoD,dry,,,injection,0.57,,,1.20,,10.21533/pen.v2i1.35,table,high,Pure PA6; pin-on-disc vs AISI 4140 steel (56 HRC); 20 N; 1.5 m/s; Table 3
WOLLASTONITE2014,PA6,100,0,0,0,0,,,6,2.0,,,steel,PoD,dry,,,injection,0.19,,,0.95,,10.21533/pen.v2i1.35,table,high,Pure PA6; pin-on-disc vs AISI 4140 steel (56 HRC); 6 N; 2.0 m/s; Table 3
WOLLASTONITE2014,PA6,100,0,0,0,0,,,10,2.0,,,steel,PoD,dry,,,injection,0.24,,,1.25,,10.21533/pen.v2i1.35,table,high,Pure PA6; pin-on-disc vs AISI 4140 steel (56 HRC); 10 N; 2.0 m/s; Table 3
WOLLASTONITE2014,PA6,100,0,0,0,0,,,20,2.0,,,steel,PoD,dry,,,injection,0.32,,,1.55,,10.21533/pen.v2i1.35,table,high,Pure PA6; pin-on-disc vs AISI 4140 steel (56 HRC); 20 N; 2.0 m/s; Table 3
WOLLASTONITE2014,PA6,95,0,0,0,0,wollastonite,5,6,1.0,,,steel,PoD,dry,,,injection,0.13,,,0.55,,10.21533/pen.v2i1.35,table,high,PA6 + 5 wt% wollastonite; pin-on-disc vs AISI 4140 steel; 6 N; 1.0 m/s; Table 3
WOLLASTONITE2014,PA6,95,0,0,0,0,wollastonite,5,10,1.0,,,steel,PoD,dry,,,injection,0.29,,,0.65,,10.21533/pen.v2i1.35,table,high,PA6 + 5 wt% wollastonite; pin-on-disc vs AISI 4140 steel; 10 N; 1.0 m/s; Table 3
WOLLASTONITE2014,PA6,95,0,0,0,0,wollastonite,5,20,1.0,,,steel,PoD,dry,,,injection,0.41,,,0.90,,10.21533/pen.v2i1.35,table,high,PA6 + 5 wt% wollastonite; pin-on-disc vs AISI 4140 steel; 20 N; 1.0 m/s; Table 3
WOLLASTONITE2014,PA6,95,0,0,0,0,wollastonite,5,6,1.5,,,steel,PoD,dry,,,injection,0.09,,,0.55,,10.21533/pen.v2i1.35,table,high,PA6 + 5 wt% wollastonite; pin-on-disc vs AISI 4140 steel; 6 N; 1.5 m/s; Table 3
WOLLASTONITE2014,PA6,95,0,0,0,0,wollastonite,5,10,1.5,,,steel,PoD,dry,,,injection,0.15,,,0.85,,10.21533/pen.v2i1.35,table,high,PA6 + 5 wt% wollastonite; pin-on-disc vs AISI 4140 steel; 10 N; 1.5 m/s; Table 3
WOLLASTONITE2014,PA6,95,0,0,0,0,wollastonite,5,20,1.5,,,steel,PoD,dry,,,injection,0.25,,,0.90,,10.21533/pen.v2i1.35,table,high,PA6 + 5 wt% wollastonite; pin-on-disc vs AISI 4140 steel; 20 N; 1.5 m/s; Table 3
WOLLASTONITE2014,PA6,95,0,0,0,0,wollastonite,5,6,2.0,,,steel,PoD,dry,,,injection,0.05,,,0.75,,10.21533/pen.v2i1.35,table,high,PA6 + 5 wt% wollastonite; pin-on-disc vs AISI 4140 steel; 6 N; 2.0 m/s; Table 3
WOLLASTONITE2014,PA6,95,0,0,0,0,wollastonite,5,10,2.0,,,steel,PoD,dry,,,injection,0.09,,,1.00,,10.21533/pen.v2i1.35,table,high,PA6 + 5 wt% wollastonite; pin-on-disc vs AISI 4140 steel; 10 N; 2.0 m/s; Table 3
WOLLASTONITE2014,PA6,95,0,0,0,0,wollastonite,5,20,2.0,,,steel,PoD,dry,,,injection,0.12,,,1.05,,10.21533/pen.v2i1.35,table,high,PA6 + 5 wt% wollastonite; pin-on-disc vs AISI 4140 steel; 20 N; 2.0 m/s; Table 3
WOLLASTONITE2014,PA6,90,0,0,0,0,wollastonite,10,6,1.0,,,steel,PoD,dry,,,injection,0.12,,,0.15,,10.21533/pen.v2i1.35,table,high,PA6 + 10 wt% wollastonite; pin-on-disc vs AISI 4140 steel; 6 N; 1.0 m/s; Table 3
WOLLASTONITE2014,PA6,90,0,0,0,0,wollastonite,10,10,1.0,,,steel,PoD,dry,,,injection,0.18,,,0.50,,10.21533/pen.v2i1.35,table,high,PA6 + 10 wt% wollastonite; pin-on-disc vs AISI 4140 steel; 10 N; 1.0 m/s; Table 3
