paper_id,material_base,pa6_pct,glass_fiber_pct,graphite_pct,mos2_pct,pa66_pct,other_ingredients,other_ingredients_wt_pct,load_N,speed_ms,distance_m,PV_factor,counterface,test_type,environment,humidity_pct,temperature_C,fabrication,COF,wear_rate_mm3Nm,wear_volume_mm3,mass_loss_mg,contact_temp_C,source_doi,extraction_method,confidence,notes,validation_status,validation_notes,validation_warnings
BIRYUKOV2023,other,0,0,0,0,0,nitrile butadiene rubber,100,,,,,steel,PoD,lubricated,,,injection,0.115,,,,,10.1051/e3sconf/202345802018,prose,high,Counterface treated with P180 sandpaper; COF reported as range 0.1-0.13,pass,,material_base='other' is outside the preferred encoding
BIRYUKOV2023,PA6,100,0,0,0,0,,,,,,,steel,PoD,lubricated,,,injection,0.0925,,,,,10.1051/e3sconf/202345802018,prose,high,Counterface treated with P180 sandpaper; COF reported as range 0.085-0.1,pass,,
BIRYUKOV2023,PA6,,0,0,,0,MoS2,,,,,,steel,PoD,lubricated,,,injection,0.076,,,,,10.1051/e3sconf/202345802018,prose,high,Counterface treated with P180 sandpaper; COF reported as range 0.07-0.082; MoS2 wt% not explicitly specified,fail,pa6_pct is required; mos2_pct is required,
BIRYUKOV2023,PA6,,0,,0,0,graphite,,,,,,steel,PoD,lubricated,,,injection,0.065,,,,,10.1051/e3sconf/202345802018,prose,high,Counterface treated with P180 sandpaper; COF reported as range 0.06-0.07; graphite wt% not explicitly specified,fail,pa6_pct is required; graphite_pct is required,
BIRYUKOV2023,other,0,0,0,0,0,nitrile butadiene rubber,100,,,,,steel,PoD,lubricated,,,injection,0.145,,,,,10.1051/e3sconf/202345802018,prose,high,Counterface treated with P600 sandpaper; COF reported as range 0.13-0.16,pass,,material_base='other' is outside the preferred encoding
BIRYUKOV2023,PA6,100,0,0,0,0,,,,,,,steel,PoD,lubricated,,,injection,0.105,,,,,10.1051/e3sconf/202345802018,prose,high,Counterface treated with P600 sandpaper; COF reported as range 0.1-0.11,pass,,
BIRYUKOV2023,PA6,,0,0,,0,MoS2,,,,,,steel,PoD,lubricated,,,injection,0.085,,,,,10.1051/e3sconf/202345802018,prose,high,Counterface treated with P600 sandpaper; COF reported as range 0.08-0.09; MoS2 wt% not explicitly specified,fail,pa6_pct is required; mos2_pct is required,
BIRYUKOV2023,PA6,,0,,0,0,graphite,,,,,,steel,PoD,lubricated,,,injection,0.080,,,,,10.1051/e3sconf/202345802018,prose,high,Counterface treated with P600 sandpaper; COF reported as range 0.075-0.085; graphite wt% not explicitly specified,fail,pa6_pct is required; graphite_pct is required,
BIRYUKOV2023,other,0,0,0,0,0,nitrile butadiene rubber,100,,,,,steel,PoD,lubricated,,,injection,0.120,,,,,10.1051/e3sconf/202345802018,prose,high,Counterface treated with P1200 sandpaper; COF reported as range 0.11-0.13,pass,,material_base='other' is outside the preferred encoding
BIRYUKOV2023,PA6,100,0,0,0,0,,,,,,,steel,PoD,lubricated,,,injection,0.085,,,,,10.1051/e3sconf/202345802018,prose,high,Counterface treated with P1200 sandpaper; COF reported as range 0.08-0.09,pass,,
BIRYUKOV2023,PA6,,0,0,,0,MoS2,,,,,,steel,PoD,lubricated,,,injection,0.065,,,,,10.1051/e3sconf/202345802018,prose,high,Counterface treated with P1200 sandpaper; COF reported as range 0.06-0.07; MoS2 wt% not explicitly specified,fail,pa6_pct is required; mos2_pct is required,
BIRYUKOV2023,PA6,,0,,0,0,graphite,,,,,,steel,PoD,lubricated,,,injection,0.044,,,,,10.1051/e3sconf/202345802018,prose,high,Counterface treated with P1200 sandpaper; COF reported as range 0.04-0.048; graphite wt% not explicitly specified,fail,pa6_pct is required; graphite_pct is required,
