paper_id,material_base,pa6_pct,glass_fiber_pct,graphite_pct,mos2_pct,pa66_pct,other_ingredients,other_ingredients_wt_pct,load_N,speed_ms,distance_m,PV_factor,counterface,test_type,environment,humidity_pct,temperature_C,fabrication,COF,wear_rate_mm3Nm,wear_volume_mm3,mass_loss_mg,contact_temp_C,source_doi,extraction_method,confidence,notes,validation_status,validation_notes,validation_warnings
CFPA6FFF2021,PA6,54.3,0,0,0,0,carbon fiber,45.7,8,0.5,36000,0.25,steel,PoD,dry,,23,AM,0.37,4.20e-07,,,,10.1016/j.compositesb.2021.109332,table,high,As-printed FFF continuous CF/PA6 (35 vol% / ~45.7 wt% CF); Parallel (P) orientation; 0.5 MPa (8 N); SKF steel washer disc counterface; Table 1,pass,,
CFPA6FFF2021,PA6,54.3,0,0,0,0,carbon fiber,45.7,16,0.5,36000,0.50,steel,PoD,dry,,23,AM,0.49,2.08e-06,,,,10.1016/j.compositesb.2021.109332,table,high,As-printed FFF continuous CF/PA6 (35 vol% / ~45.7 wt% CF); Parallel (P) orientation; 1.0 MPa (16 N); SKF steel washer disc counterface; Table 1,pass,,
CFPA6FFF2021,PA6,54.3,0,0,0,0,carbon fiber,45.7,32,0.5,36000,1.00,steel,PoD,dry,,23,AM,0.53,2.31e-06,,,,10.1016/j.compositesb.2021.109332,table,high,As-printed FFF continuous CF/PA6 (35 vol% / ~45.7 wt% CF); Parallel (P) orientation; 2.0 MPa (32 N); SKF steel washer disc counterface; Table 1,pass,,
CFPA6FFF2021,PA6,54.3,0,0,0,0,carbon fiber,45.7,8,0.5,36000,0.25,steel,PoD,dry,,23,AM,0.31,6.60e-07,,,,10.1016/j.compositesb.2021.109332,table,high,As-printed FFF continuous CF/PA6 (35 vol% / ~45.7 wt% CF); Anti-parallel (AP) orientation; 0.5 MPa (8 N); SKF steel washer disc counterface; Table 1,pass,,
CFPA6FFF2021,PA6,54.3,0,0,0,0,carbon fiber,45.7,16,0.5,36000,0.50,steel,PoD,dry,,23,AM,0.40,2.34e-06,,,,10.1016/j.compositesb.2021.109332,table,high,As-printed FFF continuous CF/PA6 (35 vol% / ~45.7 wt% CF); Anti-parallel (AP) orientation; 1.0 MPa (16 N); SKF steel washer disc counterface; Table 1,pass,,
CFPA6FFF2021,PA6,54.3,0,0,0,0,carbon fiber,45.7,32,0.5,36000,1.00,steel,PoD,dry,,23,AM,0.43,2.45e-06,,,,10.1016/j.compositesb.2021.109332,table,high,As-printed FFF continuous CF/PA6 (35 vol% / ~45.7 wt% CF); Anti-parallel (AP) orientation; 2.0 MPa (32 N); SKF steel washer disc counterface; Table 1,pass,,
CFPA6FFF2021,PA6,54.3,0,0,0,0,carbon fiber,45.7,8,0.5,36000,0.25,steel,PoD,dry,,23,AM,0.36,3.26e-06,,,,10.1016/j.compositesb.2021.109332,table,high,As-printed FFF continuous CF/PA6 (35 vol% / ~45.7 wt% CF); Normal (N) orientation; 0.5 MPa (8 N); SKF steel washer disc counterface; Table 1,pass,,
CFPA6FFF2021,PA6,54.3,0,0,0,0,carbon fiber,45.7,16,0.5,36000,0.50,steel,PoD,dry,,23,AM,0.40,5.54e-06,,,,10.1016/j.compositesb.2021.109332,table,high,As-printed FFF continuous CF/PA6 (35 vol% / ~45.7 wt% CF); Normal (N) orientation; 1.0 MPa (16 N); SKF steel washer disc counterface; Table 1,pass,,
CFPA6FFF2021,PA6,54.3,0,0,0,0,carbon fiber,45.7,32,0.5,36000,1.00,steel,PoD,dry,,23,AM,0.45,1.256e-05,,,,10.1016/j.compositesb.2021.109332,table,high,As-printed FFF continuous CF/PA6 (35 vol% / ~45.7 wt% CF); Normal (N) orientation; 2.0 MPa (32 N); SKF steel washer disc counterface; Table 1,pass,,
CFPA6FFF2021,PA6,54.3,0,0,0,0,carbon fiber,45.7,8,0.5,36000,0.25,steel,PoD,dry,,23,AM,0.38,3.45e-06,,,,10.1016/j.compositesb.2021.109332,table,high,As-printed FFF continuous CF/PA6 (35 vol% / ~45.7 wt% CF); N-perpendicular layer orientation; 0.5 MPa (8 N); SKF steel washer disc counterface; Table 1,pass,,
