paper_id,material_base,pa6_pct,glass_fiber_pct,graphite_pct,mos2_pct,pa66_pct,other_ingredients,other_ingredients_wt_pct,load_N,speed_ms,distance_m,PV_factor,counterface,test_type,environment,humidity_pct,temperature_C,fabrication,COF,wear_rate_mm3Nm,wear_volume_mm3,mass_loss_mg,contact_temp_C,source_doi,extraction_method,confidence,notes,validation_status,validation_notes,validation_warnings
CHERNETSSWIC,PA6,100,0,0,0,0,,,14.14,0.4,10800,0.80,steel,PoD,dry,50,20,extrusion,0.41,5.22e-09,,,,10.12913/22998624/161591,table,high,"Unfilled PA6 (Sustamid 6, Rochling) vs normalized C45 steel disc (Rz = 0.8-0.9 um); pressure 2 MPa (load 14.14 N); Table 1 & Table 3",pass,,
CHERNETSSWIC,PA6,100,0,0,0,0,,,28.27,0.4,10800,1.60,steel,PoD,dry,50,20,extrusion,0.41,4.80e-09,,,,10.12913/22998624/161591,table,high,"Unfilled PA6 (Sustamid 6, Rochling) vs normalized C45 steel disc (Rz = 0.8-0.9 um); pressure 4 MPa (load 28.27 N); Table 1 & Table 3",pass,,
CHERNETSSWIC,PA6,100,0,0,0,0,,,42.41,0.4,10800,2.40,steel,PoD,dry,50,20,extrusion,0.41,4.76e-09,,,,10.12913/22998624/161591,table,high,"Unfilled PA6 (Sustamid 6, Rochling) vs normalized C45 steel disc (Rz = 0.8-0.9 um); pressure 6 MPa (load 42.41 N); Table 1 & Table 3",pass,,
CHERNETSSWIC,PA66,0,0,0,0,100,,,14.14,0.4,10800,0.80,steel,PoD,dry,50,20,extrusion,0.40,3.85e-09,,,,10.12913/22998624/161591,table,high,"Unfilled PA66 (Sustamid 66, Rochling) vs normalized C45 steel disc (Rz = 0.8-0.9 um); pressure 2 MPa (load 14.14 N); Table 1 & Table 3",pass,,
CHERNETSSWIC,PA66,0,0,0,0,100,,,28.27,0.4,10800,1.60,steel,PoD,dry,50,20,extrusion,0.40,3.20e-09,,,,10.12913/22998624/161591,table,high,"Unfilled PA66 (Sustamid 66, Rochling) vs normalized C45 steel disc (Rz = 0.8-0.9 um); pressure 4 MPa (load 28.27 N); Table 1 & Table 3",pass,,
CHERNETSSWIC,PA66,0,0,0,0,100,,,42.41,0.4,10800,2.40,steel,PoD,dry,50,20,extrusion,0.40,2.78e-09,,,,10.12913/22998624/161591,table,high,"Unfilled PA66 (Sustamid 66, Rochling) vs normalized C45 steel disc (Rz = 0.8-0.9 um); pressure 6 MPa (load 42.41 N); Table 1 & Table 3",pass,,
CHERNETSSWIC,PA6,70,30,0,0,0,,,14.14,0.4,10800,0.80,steel,PoD,dry,50,20,extrusion,0.62,4.67e-09,,,,10.12913/22998624/161591,table,high,"PA6 + 30 wt% GF (Sustamid 6 GF30, Rochling) vs normalized C45 steel disc (Rz = 0.8-0.9 um); pressure 2 MPa (load 14.14 N); Table 1 & Table 3",pass,,
CHERNETSSWIC,PA6,70,30,0,0,0,,,28.27,0.4,10800,1.60,steel,PoD,dry,50,20,extrusion,0.62,3.90e-09,,,,10.12913/22998624/161591,table,high,"PA6 + 30 wt% GF (Sustamid 6 GF30, Rochling) vs normalized C45 steel disc (Rz = 0.8-0.9 um); pressure 4 MPa (load 28.27 N); Table 1 & Table 3",pass,,
CHERNETSSWIC,PA6,70,30,0,0,0,,,42.41,0.4,10800,2.40,steel,PoD,dry,50,20,extrusion,0.62,3.47e-09,,,,10.12913/22998624/161591,table,high,"PA6 + 30 wt% GF (Sustamid 6 GF30, Rochling) vs normalized C45 steel disc (Rz = 0.8-0.9 um); pressure 6 MPa (load 42.41 N); Table 1 & Table 3",pass,,
CHERNETSSWIC,PA6,70,0,0,0,0,CF,30,14.14,0.4,10800,0.80,steel,PoD,dry,50,20,extrusion,0.48,2.45e-09,,,,10.12913/22998624/161591,table,high,"PA6 + 30 wt% CF (Sustamid 6 ESD 60, Rochling) vs normalized C45 steel disc (Rz = 0.8-0.9 um); pressure 2 MPa (load 14.14 N); Table 1 & Table 3",pass,,
CHERNETSSWIC,PA6,70,0,0,0,0,CF,30,28.27,0.4,10800,1.60,steel,PoD,dry,50,20,extrusion,0.48,1.94e-09,,,,10.12913/22998624/161591,table,high,"PA6 + 30 wt% CF (Sustamid 6 ESD 60, Rochling) vs normalized C45 steel disc (Rz = 0.8-0.9 um); pressure 4 MPa (load 28.27 N); Table 1 & Table 3",pass,,
CHERNETSSWIC,PA6,70,0,0,0,0,CF,30,42.41,0.4,10800,2.40,steel,PoD,dry,50,20,extrusion,0.48,1.92e-09,,,,10.12913/22998624/161591,table,high,"PA6 + 30 wt% CF (Sustamid 6 ESD 60, Rochling) vs normalized C45 steel disc (Rz = 0.8-0.9 um); pressure 6 MPa (load 42.41 N); Table 1 & Table 3",pass,,
