paper_id,material_base,pa6_pct,glass_fiber_pct,graphite_pct,mos2_pct,pa66_pct,other_ingredients,other_ingredients_wt_pct,load_N,speed_ms,distance_m,PV_factor,counterface,test_type,environment,humidity_pct,temperature_C,fabrication,COF,wear_rate_mm3Nm,wear_volume_mm3,mass_loss_mg,contact_temp_C,source_doi,extraction_method,confidence,notes,validation_status,validation_notes,validation_warnings
GRAF2026,PA66,0,30,0,0,70,,,20,0.07,800,,steel,PoD,dry,10,20,injection,0.155,,,,,10.1016/j.triboint.2026.112221,bar_chart,high,GF30-A; F10 dry state (<10% r.H.); 100Cr6 ball; 20 N; 0.07 m/s; 800 m run-in state (600-800 m); Fig. 7,pass,,
GRAF2026,PA66,0,30,0,0,70,,,20,0.07,800,,steel,PoD,humid,50,20,injection,0.168,,,,,10.1016/j.triboint.2026.112221,bar_chart,high,GF30-A; F50 lab state (50% r.H.); 100Cr6 ball; 20 N; 0.07 m/s; 800 m run-in state (600-800 m); Fig. 7,pass,,
GRAF2026,PA66,0,30,0,0,70,,,20,0.07,800,,steel,PoD,humid,75,20,injection,0.176,,,,,10.1016/j.triboint.2026.112221,bar_chart,high,GF30-A; F75 humid state (75% r.H.); 100Cr6 ball; 20 N; 0.07 m/s; 800 m run-in state (600-800 m); Fig. 7,pass,,
GRAF2026,PA66,0,30,0,0,70,,,20,0.07,800,,steel,PoD,humid,50,20,injection,0.152,,,,,10.1016/j.triboint.2026.112221,bar_chart,high,GF30-A; F50T tempered state (150 °C for 2 h + 50% r.H.); 100Cr6 ball; 20 N; 0.07 m/s; 800 m run-in state (600-800 m); Fig. 7,pass,,
GRAF2026,PA66,0,30,0,0,55,PTFE,15,20,0.07,800,,steel,PoD,dry,10,20,injection,0.067,,,,,10.1016/j.triboint.2026.112221,bar_chart,high,GF30-PTFE15-A; F10 dry state (<10% r.H.); 100Cr6 ball; 20 N; 0.07 m/s; 800 m run-in state (600-800 m); Fig. 7,pass,,
GRAF2026,PA66,0,30,0,0,55,PTFE,15,20,0.07,800,,steel,PoD,humid,50,20,injection,0.071,,,,,10.1016/j.triboint.2026.112221,bar_chart,high,GF30-PTFE15-A; F50 lab state (50% r.H.); 100Cr6 ball; 20 N; 0.07 m/s; 800 m run-in state (600-800 m); Fig. 7,pass,,
GRAF2026,PA66,0,30,0,0,55,PTFE,15,20,0.07,800,,steel,PoD,humid,75,20,injection,0.071,,,,,10.1016/j.triboint.2026.112221,bar_chart,high,GF30-PTFE15-A; F75 humid state (75% r.H.); 100Cr6 ball; 20 N; 0.07 m/s; 800 m run-in state (600-800 m); Fig. 7,pass,,
GRAF2026,PA66,0,30,0,0,55,PTFE,15,20,0.07,800,,steel,PoD,humid,50,20,injection,0.066,,,,,10.1016/j.triboint.2026.112221,bar_chart,high,GF30-PTFE15-A; F50T tempered state (150 °C for 2 h + 50% r.H.); 100Cr6 ball; 20 N; 0.07 m/s; 800 m run-in state (600-800 m); Fig. 7,pass,,
GRAF2026,PA66,0,30,0,2,68,,,20,0.07,800,,steel,PoD,dry,10,20,injection,0.166,,,,,10.1016/j.triboint.2026.112221,bar_chart,high,GF30-Mo2-A; F10 dry state (<10% r.H.); 100Cr6 ball; 20 N; 0.07 m/s; 800 m run-in state (600-800 m); Fig. 7,pass,,
GRAF2026,PA66,0,30,0,2,68,,,20,0.07,800,,steel,PoD,humid,50,20,injection,0.171,,,,,10.1016/j.triboint.2026.112221,bar_chart,high,GF30-Mo2-A; F50 lab state (50% r.H.); 100Cr6 ball; 20 N; 0.07 m/s; 800 m run-in state (600-800 m); Fig. 7,pass,,
GRAF2026,PA66,0,30,0,2,68,,,20,0.07,800,,steel,PoD,humid,75,20,injection,0.174,,,,,10.1016/j.triboint.2026.112221,bar_chart,high,GF30-Mo2-A; F75 humid state (75% r.H.); 100Cr6 ball; 20 N; 0.07 m/s; 800 m run-in state (600-800 m); Fig. 7,pass,,
GRAF2026,PA66,0,30,0,2,68,,,20,0.07,800,,steel,PoD,humid,50,20,injection,0.165,,,,,10.1016/j.triboint.2026.112221,bar_chart,high,GF30-Mo2-A; F50T tempered state (150 °C for 2 h + 50% r.H.); 100Cr6 ball; 20 N; 0.07 m/s; 800 m run-in state (600-800 m); Fig. 7,pass,,
GRAF2026,PA66,0,30,5,0,65,,,20,0.07,800,,steel,PoD,dry,10,20,injection,0.150,,,,,10.1016/j.triboint.2026.112221,bar_chart,high,GF30-G5-S; F10 dry state (<10% r.H.); 100Cr6 ball; 20 N; 0.07 m/s; 800 m run-in state (600-800 m); Fig. 7,pass,,
GRAF2026,PA66,0,30,5,0,65,,,20,0.07,800,,steel,PoD,humid,50,20,injection,0.173,,,,,10.1016/j.triboint.2026.112221,bar_chart,high,GF30-G5-S; F50 lab state (50% r.H.); 100Cr6 ball; 20 N; 0.07 m/s; 800 m run-in state (600-800 m); Fig. 7,pass,,
GRAF2026,PA66,0,30,5,0,65,,,20,0.07,800,,steel,PoD,humid,75,20,injection,0.175,,,,,10.1016/j.triboint.2026.112221,bar_chart,high,GF30-G5-S; F75 humid state (75% r.H.); 100Cr6 ball; 20 N; 0.07 m/s; 800 m run-in state (600-800 m); Fig. 7,pass,,
GRAF2026,PA66,0,30,5,0,65,,,20,0.07,800,,steel,PoD,humid,50,20,injection,0.150,,,,,10.1016/j.triboint.2026.112221,bar_chart,high,GF30-G5-S; F50T tempered state (150 °C for 2 h + 50% r.H.); 100Cr6 ball; 20 N; 0.07 m/s; 800 m run-in state (600-800 m); Fig. 7,pass,,
GRAF2026,PA66,0,30,0,0,65,polymer lubricant,5,20,0.07,800,,steel,PoD,dry,10,20,injection,0.077,,,,,10.1016/j.triboint.2026.112221,bar_chart,high,GF30-PO-S (Lubriloy RF206); F10 dry state (<10% r.H.); 100Cr6 ball; 20 N; 0.07 m/s; 800 m run-in state (600-800 m); Fig. 7,pass,,
GRAF2026,PA66,0,30,0,0,65,polymer lubricant,5,20,0.07,800,,steel,PoD,humid,50,20,injection,0.082,,,,,10.1016/j.triboint.2026.112221,bar_chart,high,GF30-PO-S (Lubriloy RF206); F50 lab state (50% r.H.); 100Cr6 ball; 20 N; 0.07 m/s; 800 m run-in state (600-800 m); Fig. 7,pass,,
GRAF2026,PA66,0,30,0,0,65,polymer lubricant,5,20,0.07,800,,steel,PoD,humid,75,20,injection,0.086,,,,,10.1016/j.triboint.2026.112221,bar_chart,high,GF30-PO-S (Lubriloy RF206); F75 humid state (75% r.H.); 100Cr6 ball; 20 N; 0.07 m/s; 800 m run-in state (600-800 m); Fig. 7,pass,,
GRAF2026,PA66,0,30,0,0,65,polymer lubricant,5,20,0.07,800,,steel,PoD,humid,50,20,injection,0.078,,,,,10.1016/j.triboint.2026.112221,bar_chart,high,GF30-PO-S (Lubriloy RF206); F50T tempered state (150 °C for 2 h + 50% r.H.); 100Cr6 ball; 20 N; 0.07 m/s; 800 m run-in state (600-800 m); Fig. 7,pass,,
