paper_id,material_base,pa6_pct,glass_fiber_pct,graphite_pct,mos2_pct,pa66_pct,other_ingredients,other_ingredients_wt_pct,load_N,speed_ms,distance_m,PV_factor,counterface,test_type,environment,humidity_pct,temperature_C,fabrication,COF,wear_rate_mm3Nm,wear_volume_mm3,mass_loss_mg,contact_temp_C,source_doi,extraction_method,confidence,notes,validation_status,validation_notes,validation_warnings
KULKARNI2014,other,0,0,0,0,0,ZnO,5,15,0.209,62.8,,steel,BoR,dry,,25,extrusion,0.3944,0.002682,,,,10.1016/j.mspro.2014.07.050,table,high,L27 run 1; ABS + 5 wt% ZnO vs EN8 steel roller (dia 50 mm); 15 N; 80 rpm (0.209 m/s); 300 s (62.8 m); Table 3,pass,,material_base='other' is outside the preferred encoding
KULKARNI2014,other,0,0,0,0,0,ZnO,5,15,0.262,78.5,,steel,BoR,dry,,25,extrusion,0.3508,0.002685,,,,10.1016/j.mspro.2014.07.050,table,high,L27 run 2; ABS + 5 wt% ZnO vs EN8 steel roller (dia 50 mm); 15 N; 100 rpm (0.262 m/s); 300 s (78.5 m); Table 3,pass,,material_base='other' is outside the preferred encoding
KULKARNI2014,other,0,0,0,0,0,ZnO,5,15,0.314,94.2,,steel,BoR,dry,,25,extrusion,0.3466,0.001953,,,,10.1016/j.mspro.2014.07.050,table,high,L27 run 3; ABS + 5 wt% ZnO vs EN8 steel roller (dia 50 mm); 15 N; 120 rpm (0.314 m/s); 300 s (94.2 m); Table 3,pass,,material_base='other' is outside the preferred encoding
KULKARNI2014,other,0,0,0,0,0,ZnO,5,25,0.209,62.8,,steel,BoR,dry,,25,extrusion,0.2695,0.001961,,,,10.1016/j.mspro.2014.07.050,table,high,L27 run 4; ABS + 5 wt% ZnO vs EN8 steel roller (dia 50 mm); 25 N; 80 rpm (0.209 m/s); 300 s (62.8 m); Table 3,pass,,material_base='other' is outside the preferred encoding
KULKARNI2014,other,0,0,0,0,0,ZnO,5,25,0.262,78.5,,steel,BoR,dry,,25,extrusion,0.2483,0.003141,,,,10.1016/j.mspro.2014.07.050,table,high,L27 run 5; ABS + 5 wt% ZnO vs EN8 steel roller (dia 50 mm); 25 N; 100 rpm (0.262 m/s); 300 s (78.5 m); Table 3,pass,,material_base='other' is outside the preferred encoding
KULKARNI2014,other,0,0,0,0,0,ZnO,5,25,0.314,94.2,,steel,BoR,dry,,25,extrusion,0.2152,0.001205,,,,10.1016/j.mspro.2014.07.050,table,high,L27 run 6; ABS + 5 wt% ZnO vs EN8 steel roller (dia 50 mm); 25 N; 120 rpm (0.314 m/s); 300 s (94.2 m); Table 3,pass,,material_base='other' is outside the preferred encoding
KULKARNI2014,other,0,0,0,0,0,ZnO,5,35,0.209,62.8,,steel,BoR,dry,,25,extrusion,0.2056,0.001365,,,,10.1016/j.mspro.2014.07.050,table,high,L27 run 7; ABS + 5 wt% ZnO vs EN8 steel roller (dia 50 mm); 35 N; 80 rpm (0.209 m/s); 300 s (62.8 m); Table 3,pass,,material_base='other' is outside the preferred encoding
KULKARNI2014,other,0,0,0,0,0,ZnO,5,35,0.262,78.5,,steel,BoR,dry,,25,extrusion,0.1976,0.001410,,,,10.1016/j.mspro.2014.07.050,table,high,L27 run 8; ABS + 5 wt% ZnO vs EN8 steel roller (dia 50 mm); 35 N; 100 rpm (0.262 m/s); 300 s (78.5 m); Table 3,pass,,material_base='other' is outside the preferred encoding
KULKARNI2014,other,0,0,0,0,0,ZnO,5,35,0.314,94.2,,steel,BoR,dry,,25,extrusion,0.2097,0.000909,,,,10.1016/j.mspro.2014.07.050,table,high,L27 run 9; ABS + 5 wt% ZnO vs EN8 steel roller (dia 50 mm); 35 N; 120 rpm (0.314 m/s); 300 s (94.2 m); Table 3,pass,,material_base='other' is outside the preferred encoding
KULKARNI2014,other,0,0,0,0,0,ZnO,10,15,0.209,62.8,,steel,BoR,dry,,25,extrusion,0.4379,0.002912,,,,10.1016/j.mspro.2014.07.050,table,high,L27 run 10; ABS + 10 wt% ZnO vs EN8 steel roller (dia 50 mm); 15 N; 80 rpm (0.209 m/s); 300 s (62.8 m); Table 3,pass,,material_base='other' is outside the preferred encoding
KULKARNI2014,other,0,0,0,0,0,ZnO,10,15,0.262,78.5,,steel,BoR,dry,,25,extrusion,0.4017,0.002048,,,,10.1016/j.mspro.2014.07.050,table,high,L27 run 11; ABS + 10 wt% ZnO vs EN8 steel roller (dia 50 mm); 15 N; 100 rpm (0.262 m/s); 300 s (78.5 m); Table 3,pass,,material_base='other' is outside the preferred encoding
KULKARNI2014,other,0,0,0,0,0,ZnO,10,15,0.314,94.2,,steel,BoR,dry,,25,extrusion,0.4787,0.002742,,,,10.1016/j.mspro.2014.07.050,table,high,L27 run 12; ABS + 10 wt% ZnO vs EN8 steel roller (dia 50 mm); 15 N; 120 rpm (0.314 m/s); 300 s (94.2 m); Table 3,pass,,material_base='other' is outside the preferred encoding
KULKARNI2014,other,0,0,0,0,0,ZnO,10,25,0.209,62.8,,steel,BoR,dry,,25,extrusion,0.2267,0.001577,,,,10.1016/j.mspro.2014.07.050,table,high,L27 run 13; ABS + 10 wt% ZnO vs EN8 steel roller (dia 50 mm); 25 N; 80 rpm (0.209 m/s); 300 s (62.8 m); Table 3,pass,,material_base='other' is outside the preferred encoding
KULKARNI2014,other,0,0,0,0,0,ZnO,10,25,0.262,78.5,,steel,BoR,dry,,25,extrusion,0.2804,0.002048,,,,10.1016/j.mspro.2014.07.050,table,high,L27 run 14; ABS + 10 wt% ZnO vs EN8 steel roller (dia 50 mm); 25 N; 100 rpm (0.262 m/s); 300 s (78.5 m); Table 3,pass,,material_base='other' is outside the preferred encoding
KULKARNI2014,other,0,0,0,0,0,ZnO,10,25,0.314,94.2,,steel,BoR,dry,,25,extrusion,0.2102,0.001163,,,,10.1016/j.mspro.2014.07.050,table,high,L27 run 15; ABS + 10 wt% ZnO vs EN8 steel roller (dia 50 mm); 25 N; 120 rpm (0.314 m/s); 300 s (94.2 m); Table 3,pass,,material_base='other' is outside the preferred encoding
KULKARNI2014,other,0,0,0,0,0,ZnO,10,35,0.209,62.8,,steel,BoR,dry,,25,extrusion,0.2075,0.001096,,,,10.1016/j.mspro.2014.07.050,table,high,L27 run 16; ABS + 10 wt% ZnO vs EN8 steel roller (dia 50 mm); 35 N; 80 rpm (0.209 m/s); 300 s (62.8 m); Table 3,pass,,material_base='other' is outside the preferred encoding
