paper_id,material_base,pa6_pct,glass_fiber_pct,graphite_pct,mos2_pct,pa66_pct,other_ingredients,other_ingredients_wt_pct,load_N,speed_ms,distance_m,PV_factor,counterface,test_type,environment,humidity_pct,temperature_C,fabrication,COF,wear_rate_mm3Nm,wear_volume_mm3,mass_loss_mg,contact_temp_C,source_doi,extraction_method,confidence,notes,validation_status,validation_notes,validation_warnings
LI2010,PA6,90,0,0,0,0,polyurethane,10,78.5,0.333,1200,,steel,BoP,dry,50,20,cast,0.102,0.0000354,,,,10.1016/j.wear.2010.04.004,table,high,PA6-PU block copolymer (10% PU); 1000 r/min (0.333 m/s); 78.5 N; 60 min (1200 m); Table 1,pass,,
LI2010,PA6,89.1,1,0,0,0,polyurethane,9.9,78.5,0.333,1200,,steel,BoP,dry,50,20,cast,0.096,0.0000324,,,,10.1016/j.wear.2010.04.004,table,high,PA6-PU + 1 wt% GF; 1000 r/min (0.333 m/s); 78.5 N; 60 min (1200 m); Table 1,pass,,
LI2010,PA6,88.2,2,0,0,0,polyurethane,9.8,78.5,0.333,1200,,steel,BoP,dry,50,20,cast,0.094,0.0000148,,,,10.1016/j.wear.2010.04.004,table,high,PA6-PU + 2 wt% GF; 1000 r/min (0.333 m/s); 78.5 N; 60 min (1200 m); Table 1,pass,,
LI2010,PA6,87.3,3,0,0,0,polyurethane,9.7,78.5,0.333,1200,,steel,BoP,dry,50,20,cast,0.090,0.0000147,,,,10.1016/j.wear.2010.04.004,table,high,PA6-PU + 3 wt% GF; 1000 r/min (0.333 m/s); 78.5 N; 60 min (1200 m); Table 1,pass,,
LI2010,PA6,85.5,5,0,0,0,polyurethane,9.5,78.5,0.333,1200,,steel,BoP,dry,50,20,cast,0.071,0.0000110,,,,10.1016/j.wear.2010.04.004,table,high,PA6-PU + 5 wt% GF; 1000 r/min (0.333 m/s); 78.5 N; 60 min (1200 m); Table 1,pass,,
LI2010,PA6,90,0,0,0,0,polyurethane,10,157,0.333,1200,,steel,BoP,dry,50,20,cast,0.171,0.000177,,,,10.1016/j.wear.2010.04.004,table,high,PA6-PU block copolymer (10% PU); 1000 r/min (0.333 m/s); 157 N; 60 min (1200 m); Table 1,pass,,
LI2010,PA6,89.1,1,0,0,0,polyurethane,9.9,157,0.333,1200,,steel,BoP,dry,50,20,cast,0.109,0.0000702,,,,10.1016/j.wear.2010.04.004,table,high,PA6-PU + 1 wt% GF; 1000 r/min (0.333 m/s); 157 N; 60 min (1200 m); Table 1,pass,,
LI2010,PA6,88.2,2,0,0,0,polyurethane,9.8,157,0.333,1200,,steel,BoP,dry,50,20,cast,0.108,0.0000754,,,,10.1016/j.wear.2010.04.004,table,high,PA6-PU + 2 wt% GF; 1000 r/min (0.333 m/s); 157 N; 60 min (1200 m); Table 1,pass,,
LI2010,PA6,87.3,3,0,0,0,polyurethane,9.7,157,0.333,1200,,steel,BoP,dry,50,20,cast,0.089,0.0000487,,,,10.1016/j.wear.2010.04.004,table,high,PA6-PU + 3 wt% GF; 1000 r/min (0.333 m/s); 157 N; 60 min (1200 m); Table 1,pass,,
LI2010,PA6,85.5,5,0,0,0,polyurethane,9.5,157,0.333,1200,,steel,BoP,dry,50,20,cast,0.077,0.0000408,,,,10.1016/j.wear.2010.04.004,table,high,PA6-PU + 5 wt% GF; 1000 r/min (0.333 m/s); 157 N; 60 min (1200 m); Table 1,pass,,
LI2010,PA6,90,0,0,0,0,polyurethane,10,78.5,0.167,600,,steel,BoP,dry,50,20,cast,0.175,0.0000205,,,,10.1016/j.wear.2010.04.004,line_graph,high,PA6-PU block copolymer (10% PU); 500 r/min (0.167 m/s); 78.5 N; 60 min (600 m); Fig. 7 & 8,pass,,
LI2010,PA6,89.1,1,0,0,0,polyurethane,9.9,78.5,0.167,600,,steel,BoP,dry,50,20,cast,0.173,0.0000145,,,,10.1016/j.wear.2010.04.004,line_graph,high,PA6-PU + 1 wt% GF; 500 r/min (0.167 m/s); 78.5 N; 60 min (600 m); Fig. 7 & 8,pass,,
LI2010,PA6,88.2,2,0,0,0,polyurethane,9.8,78.5,0.167,600,,steel,BoP,dry,50,20,cast,0.160,0.0000120,,,,10.1016/j.wear.2010.04.004,line_graph,high,PA6-PU + 2 wt% GF; 500 r/min (0.167 m/s); 78.5 N; 60 min (600 m); Fig. 7 & 8,pass,,
