paper_id,material_base,pa6_pct,glass_fiber_pct,graphite_pct,mos2_pct,pa66_pct,other_ingredients,other_ingredients_wt_pct,load_N,speed_ms,distance_m,PV_factor,counterface,test_type,environment,humidity_pct,temperature_C,fabrication,COF,wear_rate_mm3Nm,wear_volume_mm3,mass_loss_mg,contact_temp_C,source_doi,extraction_method,confidence,notes,validation_status,validation_notes,validation_warnings
NEIS2017b,PA6,100,0,0,0,0,,,300,1.4,4620,,steel,PoD,dry,,30,cast,0.511,0.0000312,,49.8,,10.1016/j.wear.2017.01.090,table,high,Cast natural PA6 (TECAST T); pin-on-disc vs SAE 1020 steel disc; 300 N (1.18 MPa); 1.4 m/s; 11 runs of 300s (4620 m); Table 4 & Fig. 6,pass,,
NEIS2017b,PA6,97,0,0,0,0,solid lubricant,3,300,1.4,4620,,steel,PoD,dry,,30,cast,0.275,0.00000119,,1.9,,10.1016/j.wear.2017.01.090,table,high,Cast PA6 + 3 wt% solid lubricant (TECAGLIDE Green); pin-on-disc vs SAE 1020 steel disc; 300 N (1.18 MPa); 1.4 m/s; 4620 m; Table 4 & Fig. 6,pass,,
NEIS2017b,PA6,98,0,0,2,0,,,300,1.4,4620,,steel,PoD,dry,,30,cast,0.628,0.0000464,,74.0,,10.1016/j.wear.2017.01.090,table,high,Cast PA6 + 2 wt% MoS2 (TECAST T MO Black); pin-on-disc vs SAE 1020 steel disc; 300 N (1.18 MPa); 1.4 m/s; 4620 m; Table 4 & Fig. 6,pass,,
NEIS2017b,PA6,97,0,0,0,0,solid lubricant,3,600,0.0042,0.504,,steel,PoD,dry,,30,cast,0.22,,,,,10.1016/j.wear.2017.01.090,table,high,TECAGLIDE Green (~3 wt% solid lubricant); stick-slip test vs SAE 1020 disc; 600 N (2.36 MPa); 4.2 mm/s; static COF=0.26; Table 6,pass,,
NEIS2017b,PA6,97,0,0,0,0,solid lubricant,3,500,0.0042,0.504,,steel,PoD,dry,,30,cast,0.22,,,,,10.1016/j.wear.2017.01.090,table,high,TECAGLIDE Green (~3 wt% solid lubricant); stick-slip test vs SAE 1020 disc; 500 N (1.70 MPa); 4.2 mm/s; static COF=0.25; Table 6,pass,,
NEIS2017b,PA6,97,0,0,0,0,solid lubricant,3,400,0.0042,0.504,,steel,PoD,dry,,30,cast,0.23,,,,,10.1016/j.wear.2017.01.090,table,high,TECAGLIDE Green (~3 wt% solid lubricant); stick-slip test vs SAE 1020 disc; 400 N (1.58 MPa); 4.2 mm/s; static COF=0.26; Table 6,pass,,
NEIS2017b,PA6,97,0,0,0,0,solid lubricant,3,300,0.0042,0.504,,steel,PoD,dry,,30,cast,0.24,,,,,10.1016/j.wear.2017.01.090,table,high,TECAGLIDE Green (~3 wt% solid lubricant); stick-slip test vs SAE 1020 disc; 300 N (1.18 MPa); 4.2 mm/s; smooth sliding (no stick-slip); Table 6,pass,,
NEIS2017b,PA6,97,0,0,0,0,solid lubricant,3,200,0.0042,0.504,,steel,PoD,dry,,30,cast,0.23,,,,,10.1016/j.wear.2017.01.090,table,high,TECAGLIDE Green (~3 wt% solid lubricant); stick-slip test vs SAE 1020 disc; 200 N (0.79 MPa); 4.2 mm/s; smooth sliding (no stick-slip); Table 6,pass,,
NEIS2017b,PA6,98,0,0,2,0,,,600,0.0042,0.504,,steel,PoD,dry,,30,cast,0.38,,,,,10.1016/j.wear.2017.01.090,table,high,TECAST T MO Black (~2 wt% MoS2); stick-slip test vs SAE 1020 disc; 600 N (2.36 MPa); 4.2 mm/s; static COF=0.44; Table 6,pass,,
NEIS2017b,PA6,98,0,0,2,0,,,500,0.0042,0.504,,steel,PoD,dry,,30,cast,0.34,,,,,10.1016/j.wear.2017.01.090,table,high,TECAST T MO Black (~2 wt% MoS2); stick-slip test vs SAE 1020 disc; 500 N (1.70 MPa); 4.2 mm/s; static COF=0.40; Table 6,pass,,
NEIS2017b,PA6,98,0,0,2,0,,,400,0.0042,0.504,,steel,PoD,dry,,30,cast,0.32,,,,,10.1016/j.wear.2017.01.090,table,high,TECAST T MO Black (~2 wt% MoS2); stick-slip test vs SAE 1020 disc; 400 N (1.58 MPa); 4.2 mm/s; static COF=0.36; Table 6,pass,,
NEIS2017b,PA6,98,0,0,2,0,,,300,0.0042,0.504,,steel,PoD,dry,,30,cast,0.32,,,,,10.1016/j.wear.2017.01.090,table,high,TECAST T MO Black (~2 wt% MoS2); stick-slip test vs SAE 1020 disc; 300 N (1.18 MPa); 4.2 mm/s; static COF=0.35; Table 6,pass,,
NEIS2017b,PA6,98,0,0,2,0,,,200,0.0042,0.504,,steel,PoD,dry,,30,cast,0.35,,,,,10.1016/j.wear.2017.01.090,table,high,TECAST T MO Black (~2 wt% MoS2); stick-slip test vs SAE 1020 disc; 200 N (0.79 MPa); 4.2 mm/s; static COF=0.37; Table 6,pass,,
