paper_id,material_base,pa6_pct,glass_fiber_pct,graphite_pct,mos2_pct,pa66_pct,other_ingredients,other_ingredients_wt_pct,load_N,speed_ms,distance_m,PV_factor,counterface,test_type,environment,humidity_pct,temperature_C,fabrication,COF,wear_rate_mm3Nm,wear_volume_mm3,mass_loss_mg,contact_temp_C,source_doi,extraction_method,confidence,notes,validation_status,validation_notes,validation_warnings
PA66BLEND2017,PA6-PA66,20,0,0,0,80,,,25,0.5,1000,,steel,PoD,dry,,23,injection,,0.0000063,0.16,,,10.13140/RG.2.2.35515.64801,line_graph,high,PA66/PA6 (80/20 wt%) blend; pin-on-disc vs hardened steel disc; 25 N; 0.5 m/s; 1000 m; Fig. 2,fail,COF is required,
PA66BLEND2017,PA6-PA66,20,0,0,0,80,,,50,0.5,1000,,steel,PoD,dry,,23,injection,,0.0000038,0.19,,,10.13140/RG.2.2.35515.64801,line_graph,high,PA66/PA6 (80/20 wt%) blend; pin-on-disc vs hardened steel disc; 50 N; 0.5 m/s; 1000 m; Fig. 2,fail,COF is required,
PA66BLEND2017,PA6-PA66,20,0,0,0,80,,,75,0.5,1000,,steel,PoD,dry,,23,injection,,0.0000030,0.225,,,10.13140/RG.2.2.35515.64801,line_graph,high,PA66/PA6 (80/20 wt%) blend; pin-on-disc vs hardened steel disc; 75 N; 0.5 m/s; 1000 m; Fig. 2,fail,COF is required,
PA66BLEND2017,PA6-PA66,20,0,0,0,80,,,100,0.5,1000,,steel,PoD,dry,,23,injection,,0.0000027,0.27,,,10.13140/RG.2.2.35515.64801,line_graph,high,PA66/PA6 (80/20 wt%) blend; pin-on-disc vs hardened steel disc; 100 N; 0.5 m/s; 1000 m; Fig. 2,fail,COF is required,
PA66BLEND2017,PA6-PA66,17,0,0,5,68,PTFE,10,25,0.5,1000,,steel,PoD,dry,,23,injection,,0.0000067,0.17,,,10.13140/RG.2.2.35515.64801,line_graph,high,PA66/PA6 (80/20) + 10 wt% PTFE + 5 wt% MoS2; pin-on-disc vs hardened steel disc; 25 N; 0.5 m/s; 1000 m; Fig. 2,fail,COF is required,
PA66BLEND2017,PA6-PA66,17,0,0,5,68,PTFE,10,50,0.5,1000,,steel,PoD,dry,,23,injection,,0.0000046,0.23,,,10.13140/RG.2.2.35515.64801,line_graph,high,PA66/PA6 (80/20) + 10 wt% PTFE + 5 wt% MoS2; pin-on-disc vs hardened steel disc; 50 N; 0.5 m/s; 1000 m; Fig. 2,fail,COF is required,
PA66BLEND2017,PA6-PA66,17,0,0,5,68,PTFE,10,75,0.5,1000,,steel,PoD,dry,,23,injection,,0.0000040,0.30,,,10.13140/RG.2.2.35515.64801,line_graph,high,PA66/PA6 (80/20) + 10 wt% PTFE + 5 wt% MoS2; pin-on-disc vs hardened steel disc; 75 N; 0.5 m/s; 1000 m; Fig. 2,fail,COF is required,
PA66BLEND2017,PA6-PA66,17,0,0,5,68,PTFE,10,100,0.5,1000,,steel,PoD,dry,,23,injection,,0.0000036,0.36,,,10.13140/RG.2.2.35515.64801,line_graph,high,PA66/PA6 (80/20) + 10 wt% PTFE + 5 wt% MoS2; pin-on-disc vs hardened steel disc; 100 N; 0.5 m/s; 1000 m; Fig. 2,fail,COF is required,
PA66BLEND2017,PA6-PA66,16,0,0,5,64,PTFE; TiO2; nanographene,10; 2.5; 2.5,25,0.5,1000,,steel,PoD,dry,,23,injection,,0.0000050,0.12,,,10.13140/RG.2.2.35515.64801,line_graph,high,PA66/PA6 (80/20) + 10% PTFE + 5% MoS2 + 2.5% TiO2 + 2.5% GnP; pin-on-disc vs hardened steel disc; 25 N; 0.5 m/s; 1000 m; Fig. 2,fail,COF is required,
PA66BLEND2017,PA6-PA66,16,0,0,5,64,PTFE; TiO2; nanographene,10; 2.5; 2.5,50,0.5,1000,,steel,PoD,dry,,23,injection,,0.0000028,0.14,,,10.13140/RG.2.2.35515.64801,line_graph,high,PA66/PA6 (80/20) + 10% PTFE + 5% MoS2 + 2.5% TiO2 + 2.5% GnP; pin-on-disc vs hardened steel disc; 50 N; 0.5 m/s; 1000 m; Fig. 2,fail,COF is required,
PA66BLEND2017,PA6-PA66,16,0,0,5,64,PTFE; TiO2; nanographene,10; 2.5; 2.5,75,0.5,1000,,steel,PoD,dry,,23,injection,,0.0000021,0.16,,,10.13140/RG.2.2.35515.64801,line_graph,high,PA66/PA6 (80/20) + 10% PTFE + 5% MoS2 + 2.5% TiO2 + 2.5% GnP; pin-on-disc vs hardened steel disc; 75 N; 0.5 m/s; 1000 m; Fig. 2,fail,COF is required,
PA66BLEND2017,PA6-PA66,16,0,0,5,64,PTFE; TiO2; nanographene,10; 2.5; 2.5,100,0.5,1000,,steel,PoD,dry,,23,injection,,0.0000018,0.18,,,10.13140/RG.2.2.35515.64801,line_graph,high,PA66/PA6 (80/20) + 10% PTFE + 5% MoS2 + 2.5% TiO2 + 2.5% GnP; pin-on-disc vs hardened steel disc; 100 N; 0.5 m/s; 1000 m; Fig. 2,fail,COF is required,
