paper_id,material_base,pa6_pct,glass_fiber_pct,graphite_pct,mos2_pct,pa66_pct,other_ingredients,other_ingredients_wt_pct,load_N,speed_ms,distance_m,PV_factor,counterface,test_type,environment,humidity_pct,temperature_C,fabrication,COF,wear_rate_mm3Nm,wear_volume_mm3,mass_loss_mg,contact_temp_C,source_doi,extraction_method,confidence,notes,validation_status,validation_notes,validation_warnings
PA66TEMP2019,PA66,0,0,0,0,100,,,50,1.25,4500,,steel,PoD,lubricated,42,20,injection,0.055,,,,,10.3390/ma12203452,line_graph,high,PA66 unreinforced; pin-on-disc vs 416 stainless steel pin; 50 N; 1.25 m/s; 4500 m; lubricated; Fig. 3a,pass,,
PA66TEMP2019,PA66,0,0,0,0,100,,,45,0.2,,,steel,PoD,lubricated,42,20,injection,0.062,,,,,10.3390/ma12203452,line_graph,high,PA66 unreinforced; pin-on-disc vs 416 SS pin; 45 N (1.59 MPa); 0.2 m/s; 20°C; mineral oil lubricated; Fig. 4b,pass,,
PA66TEMP2019,PA66,0,0,0,0,100,,,45,0.5,,,steel,PoD,lubricated,42,20,injection,0.058,,,,,10.3390/ma12203452,line_graph,high,PA66 unreinforced; pin-on-disc vs 416 SS pin; 45 N (1.59 MPa); 0.5 m/s; 20°C; mineral oil lubricated; Fig. 4c,pass,,
PA66TEMP2019,PA66,0,0,0,0,100,,,45,1.0,,,steel,PoD,lubricated,42,20,injection,0.054,,,,,10.3390/ma12203452,line_graph,high,PA66 unreinforced; pin-on-disc vs 416 SS pin; 45 N (1.59 MPa); 1.0 m/s; 20°C; mineral oil lubricated; Fig. 4d,pass,,
PA66TEMP2019,PA66,0,0,0,0,100,,,45,2.0,,,steel,PoD,lubricated,42,20,injection,0.051,,,,,10.3390/ma12203452,line_graph,high,PA66 unreinforced; pin-on-disc vs 416 SS pin; 45 N (1.59 MPa); 2.0 m/s; 20°C; mineral oil lubricated; Fig. 4e,pass,,
PA66TEMP2019,PA66,0,0,0,0,100,,,70,1.0,,,steel,PoD,lubricated,42,20,injection,0.050,,,,,10.3390/ma12203452,line_graph,high,PA66 unreinforced; pin-on-disc vs 416 SS pin; 70 N (2.48 MPa); 1.0 m/s; 20°C; mineral oil lubricated; Fig. 7,pass,,
PA66TEMP2019,PA66,0,0,0,0,100,,,90,1.0,,,steel,PoD,lubricated,42,20,injection,0.048,,,,,10.3390/ma12203452,line_graph,high,PA66 unreinforced; pin-on-disc vs 416 SS pin; 90 N (3.18 MPa); 1.0 m/s; 20°C; mineral oil lubricated; Fig. 7,pass,,
PA66TEMP2019,PA66,0,0,0,0,100,,,45,0.2,,,steel,PoD,lubricated,42,60,injection,0.088,,,,,10.3390/ma12203452,line_graph,high,PA66 unreinforced; pin-on-disc vs 416 SS pin; 45 N (1.59 MPa); 0.2 m/s; 60°C; mineral oil lubricated; Fig. 4b,pass,,
PA66TEMP2019,PA66,0,0,0,0,100,,,45,0.5,,,steel,PoD,lubricated,42,60,injection,0.082,,,,,10.3390/ma12203452,line_graph,high,PA66 unreinforced; pin-on-disc vs 416 SS pin; 45 N (1.59 MPa); 0.5 m/s; 60°C; mineral oil lubricated; Fig. 4c,pass,,
PA66TEMP2019,PA66,0,0,0,0,100,,,45,1.0,,,steel,PoD,lubricated,42,60,injection,0.076,,,,,10.3390/ma12203452,line_graph,high,PA66 unreinforced; pin-on-disc vs 416 SS pin; 45 N (1.59 MPa); 1.0 m/s; 60°C; mineral oil lubricated; Fig. 4d,pass,,
PA66TEMP2019,PA66,0,0,0,0,100,,,45,2.0,,,steel,PoD,lubricated,42,60,injection,0.071,,,,,10.3390/ma12203452,line_graph,high,PA66 unreinforced; pin-on-disc vs 416 SS pin; 45 N (1.59 MPa); 2.0 m/s; 60°C; mineral oil lubricated; Fig. 4e,pass,,
PA66TEMP2019,PA66,0,0,0,0,100,,,70,1.0,,,steel,PoD,lubricated,42,60,injection,0.070,,,,,10.3390/ma12203452,line_graph,high,PA66 unreinforced; pin-on-disc vs 416 SS pin; 70 N (2.48 MPa); 1.0 m/s; 60°C; mineral oil lubricated; Fig. 7,pass,,
