paper_id,material_base,pa6_pct,glass_fiber_pct,graphite_pct,mos2_pct,pa66_pct,other_ingredients,other_ingredients_wt_pct,load_N,speed_ms,distance_m,PV_factor,counterface,test_type,environment,humidity_pct,temperature_C,fabrication,COF,wear_rate_mm3Nm,wear_volume_mm3,mass_loss_mg,contact_temp_C,source_doi,extraction_method,confidence,notes,validation_status,validation_notes,validation_warnings
PA6PPS2015,PA6,100,0,0,0,0,,,10,0.52,1256,,steel,PoD,dry,,23,injection,0.38,0.000023,,,,10.1177/0892705712461516,line_graph,high,Pure PA6; ball-on-disk vs 6 mm chrome steel ball; 10 N; 1000 rpm (0.52 m/s); 40 min (1256 m); Figs. 7 & 8,pass,,
PA6PPS2015,PA6,100,0,0,0,0,,,15,0.52,1256,,steel,PoD,dry,,23,injection,0.42,0.0000385,,,,10.1177/0892705712461516,line_graph,high,Pure PA6; ball-on-disk vs 6 mm chrome steel ball; 15 N; 1000 rpm (0.52 m/s); 40 min (1256 m); Fig. 6,pass,,
PA6PPS2015,PA6,100,0,0,0,0,,,20,0.52,1256,,steel,PoD,dry,,23,injection,0.46,0.000052,,,,10.1177/0892705712461516,line_graph,high,Pure PA6; ball-on-disk vs 6 mm chrome steel ball; 20 N; 1000 rpm (0.52 m/s); 40 min (1256 m); Figs. 7 & 8,pass,,
PA6PPS2015,PA6,90,0,0,0,0,PPS,10,10,0.52,1256,,steel,PoD,dry,,23,injection,0.36,0.000009,,,,10.1177/0892705712461516,line_graph,high,PA6 + 10 wt% PPS; ball-on-disk vs 6 mm chrome steel ball; 10 N; 1000 rpm (0.52 m/s); 40 min (1256 m); Figs. 7 & 8,pass,,
PA6PPS2015,PA6,90,0,0,0,0,PPS,10,15,0.52,1256,,steel,PoD,dry,,23,injection,0.40,0.0000148,,,,10.1177/0892705712461516,line_graph,high,PA6 + 10 wt% PPS; ball-on-disk vs 6 mm chrome steel ball; 15 N; 1000 rpm (0.52 m/s); 40 min (1256 m); Fig. 6,pass,,
PA6PPS2015,PA6,90,0,0,0,0,PPS,10,20,0.52,1256,,steel,PoD,dry,,23,injection,0.44,0.000028,,,,10.1177/0892705712461516,line_graph,high,PA6 + 10 wt% PPS; ball-on-disk vs 6 mm chrome steel ball; 20 N; 1000 rpm (0.52 m/s); 40 min (1256 m); Figs. 7 & 8,pass,,
PA6PPS2015,PA6,80,0,0,0,0,PPS,20,10,0.52,1256,,steel,PoD,dry,,23,injection,0.37,0.000035,,,,10.1177/0892705712461516,line_graph,high,PA6 + 20 wt% PPS; ball-on-disk vs 6 mm chrome steel ball; 10 N; 1000 rpm (0.52 m/s); 40 min (1256 m); Figs. 7 & 8,pass,,
PA6PPS2015,PA6,80,0,0,0,0,PPS,20,15,0.52,1256,,steel,PoD,dry,,23,injection,0.41,0.0000572,,,,10.1177/0892705712461516,line_graph,high,PA6 + 20 wt% PPS; ball-on-disk vs 6 mm chrome steel ball; 15 N; 1000 rpm (0.52 m/s); 40 min (1256 m); Fig. 6,pass,,
PA6PPS2015,PA6,80,0,0,0,0,PPS,20,20,0.52,1256,,steel,PoD,dry,,23,injection,0.47,0.000081,,,,10.1177/0892705712461516,line_graph,high,PA6 + 20 wt% PPS; ball-on-disk vs 6 mm chrome steel ball; 20 N; 1000 rpm (0.52 m/s); 40 min (1256 m); Figs. 7 & 8,pass,,
PA6PPS2015,PA6,70,0,0,0,0,PPS,30,10,0.52,1256,,steel,PoD,dry,,23,injection,0.32,0.000085,,,,10.1177/0892705712461516,line_graph,high,PA6 + 30 wt% PPS; ball-on-disk vs 6 mm chrome steel ball; 10 N; 1000 rpm (0.52 m/s); 40 min (1256 m); Figs. 7 & 8,pass,,
PA6PPS2015,PA6,70,0,0,0,0,PPS,30,15,0.52,1256,,steel,PoD,dry,,23,injection,0.35,0.0001318,,,,10.1177/0892705712461516,line_graph,high,PA6 + 30 wt% PPS; ball-on-disk vs 6 mm chrome steel ball; 15 N; 1000 rpm (0.52 m/s); 40 min (1256 m); Fig. 6,pass,,
PA6PPS2015,PA6,70,0,0,0,0,PPS,30,20,0.52,1256,,steel,PoD,dry,,23,injection,0.42,0.000190,,,,10.1177/0892705712461516,line_graph,high,PA6 + 30 wt% PPS; ball-on-disk vs 6 mm chrome steel ball; 20 N; 1000 rpm (0.52 m/s); 40 min (1256 m); Figs. 7 & 8,pass,,
PA6PPS2015,PA6,100,0,0,0,0,,,15,0.26,628,,steel,PoD,dry,,23,injection,0.51,0.000020,,,,10.1177/0892705712461516,line_graph,high,Pure PA6; ball-on-disk vs 6 mm chrome steel ball; 15 N; 500 rpm (0.26 m/s); 40 min (628 m); Figs. 9 & 10,pass,,
PA6PPS2015,PA6,90,0,0,0,0,PPS,10,15,0.26,628,,steel,PoD,dry,,23,injection,0.48,0.000008,,,,10.1177/0892705712461516,line_graph,high,PA6 + 10 wt% PPS; ball-on-disk vs 6 mm chrome steel ball; 15 N; 500 rpm (0.26 m/s); 40 min (628 m); Figs. 9 & 10,pass,,
PA6PPS2015,PA6,80,0,0,0,0,PPS,20,15,0.26,628,,steel,PoD,dry,,23,injection,0.49,0.000032,,,,10.1177/0892705712461516,line_graph,high,PA6 + 20 wt% PPS; ball-on-disk vs 6 mm chrome steel ball; 15 N; 500 rpm (0.26 m/s); 40 min (628 m); Figs. 9 & 10,pass,,
PA6PPS2015,PA6,70,0,0,0,0,PPS,30,15,0.26,628,,steel,PoD,dry,,23,injection,0.44,0.000075,,,,10.1177/0892705712461516,line_graph,high,PA6 + 30 wt% PPS; ball-on-disk vs 6 mm chrome steel ball; 15 N; 500 rpm (0.26 m/s); 40 min (628 m); Figs. 9 & 10,pass,,
PA6PPS2015,PA6,100,0,0,0,0,,,15,0.78,1884,,steel,PoD,dry,,23,injection,0.34,0.000062,,,,10.1177/0892705712461516,line_graph,high,Pure PA6; ball-on-disk vs 6 mm chrome steel ball; 15 N; 1500 rpm (0.78 m/s); 40 min (1884 m); Figs. 9 & 10,pass,,
PA6PPS2015,PA6,90,0,0,0,0,PPS,10,15,0.78,1884,,steel,PoD,dry,,23,injection,0.33,0.000026,,,,10.1177/0892705712461516,line_graph,high,PA6 + 10 wt% PPS; ball-on-disk vs 6 mm chrome steel ball; 15 N; 1500 rpm (0.78 m/s); 40 min (1884 m); Figs. 9 & 10,pass,,
PA6PPS2015,PA6,80,0,0,0,0,PPS,20,15,0.78,1884,,steel,PoD,dry,,23,injection,0.32,0.000090,,,,10.1177/0892705712461516,line_graph,high,PA6 + 20 wt% PPS; ball-on-disk vs 6 mm chrome steel ball; 15 N; 1500 rpm (0.78 m/s); 40 min (1884 m); Figs. 9 & 10,pass,,
PA6PPS2015,PA6,70,0,0,0,0,PPS,30,15,0.78,1884,,steel,PoD,dry,,23,injection,0.28,0.000210,,,,10.1177/0892705712461516,line_graph,high,PA6 + 30 wt% PPS; ball-on-disk vs 6 mm chrome steel ball; 15 N; 1500 rpm (0.78 m/s); 40 min (1884 m); Figs. 9 & 10,pass,,
