paper_id,material_base,pa6_pct,glass_fiber_pct,graphite_pct,mos2_pct,pa66_pct,other_ingredients,other_ingredients_wt_pct,load_N,speed_ms,distance_m,PV_factor,counterface,test_type,environment,humidity_pct,temperature_C,fabrication,COF,wear_rate_mm3Nm,wear_volume_mm3,mass_loss_mg,contact_temp_C,source_doi,extraction_method,confidence,notes,validation_status,validation_notes,validation_warnings
PA6SiC2020,PA6,100,0,0,0,,,,5,,1000,,steel,PoD,dry,44,28,injection,0.32,0.0072,,,,10.1016/j.dib.2020.105662,bar_chart,high,Wear rate reported in axis as x10^3 mm3/Nm,pass,,
PA6SiC2020,PA6,100,0,0,0,,,,10,,1000,,steel,PoD,dry,44,28,injection,0.35,0.0074,,,,10.1016/j.dib.2020.105662,bar_chart,high,Wear rate reported in axis as x10^3 mm3/Nm,pass,,
PA6SiC2020,PA6,100,0,0,0,,,,20,,1000,,steel,PoD,dry,44,28,injection,0.37,0.0076,,,,10.1016/j.dib.2020.105662,bar_chart,high,Wear rate reported in axis as x10^3 mm3/Nm,pass,,
PA6SiC2020,PA6,100,0,0,0,,,,30,,1000,,steel,PoD,dry,44,28,injection,0.39,0.0078,,,,10.1016/j.dib.2020.105662,bar_chart,high,Wear rate reported in axis as x10^3 mm3/Nm,pass,,
PA6SiC2020,PA6,95,0,0,0,,SiC,5,5,,1000,,steel,PoD,dry,44,28,injection,0.32,0.0064,,,,10.1016/j.dib.2020.105662,bar_chart,high,Wear rate reported in axis as x10^3 mm3/Nm,pass,,
PA6SiC2020,PA6,95,0,0,0,,SiC,5,10,,1000,,steel,PoD,dry,44,28,injection,0.33,0.0066,,,,10.1016/j.dib.2020.105662,bar_chart,high,Wear rate reported in axis as x10^3 mm3/Nm,pass,,
PA6SiC2020,PA6,95,0,0,0,,SiC,5,20,,1000,,steel,PoD,dry,44,28,injection,0.31,0.0062,,,,10.1016/j.dib.2020.105662,bar_chart,high,Wear rate reported in axis as x10^3 mm3/Nm,pass,,
PA6SiC2020,PA6,95,0,0,0,,SiC,5,30,,1000,,steel,PoD,dry,44,28,injection,0.34,0.007,,,,10.1016/j.dib.2020.105662,bar_chart,high,Wear rate reported in axis as x10^3 mm3/Nm,pass,,
PA6SiC2020,PA6,90,0,0,0,,SiC,10,5,,1000,,steel,PoD,dry,44,28,injection,0.31,0.0065,,,,10.1016/j.dib.2020.105662,bar_chart,high,Wear rate reported in axis as x10^3 mm3/Nm,pass,,
PA6SiC2020,PA6,90,0,0,0,,SiC,10,10,,1000,,steel,PoD,dry,44,28,injection,0.33,0.0067,,,,10.1016/j.dib.2020.105662,bar_chart,high,Wear rate reported in axis as x10^3 mm3/Nm,pass,,
PA6SiC2020,PA6,90,0,0,0,,SiC,10,20,,1000,,steel,PoD,dry,44,28,injection,0.3,0.0064,,,,10.1016/j.dib.2020.105662,bar_chart,high,Wear rate reported in axis as x10^3 mm3/Nm,pass,,
PA6SiC2020,PA6,90,0,0,0,,SiC,10,30,,1000,,steel,PoD,dry,44,28,injection,0.32,0.0069,,,,10.1016/j.dib.2020.105662,bar_chart,high,Wear rate reported in axis as x10^3 mm3/Nm,pass,,
PA6SiC2020,PA6,80,0,0,0,,SiC,20,5,,1000,,steel,PoD,dry,44,28,injection,0.3,0.0063,,,,10.1016/j.dib.2020,,,,pass,,
