paper_id,material_base,pa6_pct,glass_fiber_pct,graphite_pct,mos2_pct,pa66_pct,other_ingredients,other_ingredients_wt_pct,load_N,speed_ms,distance_m,PV_factor,counterface,test_type,environment,humidity_pct,temperature_C,fabrication,COF,wear_rate_mm3Nm,wear_volume_mm3,mass_loss_mg,contact_temp_C,source_doi,extraction_method,confidence,notes,validation_status,validation_notes,validation_warnings
PA6TPU2015,PA6,100,0,0,0,0,,,5,0.33,785,,steel,PoD,dry,,23,injection,0.43,0.00092,,,,10.1177/0892705712439565,line_graph,high,Pure PA6; ball-on-disk vs 6 mm chrome steel ball; 5 N; 500 rpm (0.33 m/s); 40 min (785 m); Fig. 8,pass,,
PA6TPU2015,PA6,95,0,0,0,0,TPU,5,5,0.33,785,,steel,PoD,dry,,23,injection,0.39,0.00176,,,,10.1177/0892705712439565,line_graph,high,PA6 + 5 wt% TPU; ball-on-disk vs 6 mm chrome steel ball; 5 N; 500 rpm (0.33 m/s); 40 min (785 m); Fig. 8,pass,,
PA6TPU2015,PA6,90,0,0,0,0,TPU,10,5,0.33,785,,steel,PoD,dry,,23,injection,0.33,0.00210,,,,10.1177/0892705712439565,line_graph,high,PA6 + 10 wt% TPU; ball-on-disk vs 6 mm chrome steel ball; 5 N; 500 rpm (0.33 m/s); 40 min (785 m); Fig. 8,pass,,
PA6TPU2015,PA6,85,0,0,0,0,TPU,15,5,0.33,785,,steel,PoD,dry,,23,injection,0.35,0.00175,,,,10.1177/0892705712439565,line_graph,high,PA6 + 15 wt% TPU; ball-on-disk vs 6 mm chrome steel ball; 5 N; 500 rpm (0.33 m/s); 40 min (785 m); Fig. 8,pass,,
PA6TPU2015,PA6,100,0,0,0,0,,,10,0.33,785,,steel,PoD,dry,,23,injection,0.35,0.00056,,,,10.1177/0892705712439565,line_graph,high,Pure PA6; ball-on-disk vs 6 mm chrome steel ball; 10 N; 500 rpm (0.33 m/s); 40 min (785 m); Figs. 9 & 10,pass,,
PA6TPU2015,PA6,95,0,0,0,0,TPU,5,10,0.33,785,,steel,PoD,dry,,23,injection,0.59,0.00125,,,,10.1177/0892705712439565,line_graph,high,PA6 + 5 wt% TPU; ball-on-disk vs 6 mm chrome steel ball; 10 N; 500 rpm (0.33 m/s); 40 min (785 m); Figs. 9 & 10,pass,,
PA6TPU2015,PA6,90,0,0,0,0,TPU,10,10,0.33,785,,steel,PoD,dry,,23,injection,0.56,0.00165,,,,10.1177/0892705712439565,line_graph,high,PA6 + 10 wt% TPU; ball-on-disk vs 6 mm chrome steel ball; 10 N; 500 rpm (0.33 m/s); 40 min (785 m); Figs. 9 & 10,pass,,
PA6TPU2015,PA6,85,0,0,0,0,TPU,15,10,0.33,785,,steel,PoD,dry,,23,injection,0.59,0.00135,,,,10.1177/0892705712439565,line_graph,high,PA6 + 15 wt% TPU; ball-on-disk vs 6 mm chrome steel ball; 10 N; 500 rpm (0.33 m/s); 40 min (785 m); Figs. 9 & 10,pass,,
PA6TPU2015,PA6,100,0,0,0,0,,,5,0.65,1570,,steel,PoD,dry,,23,injection,0.38,0.00106,,,,10.1177/0892705712439565,line_graph,high,Pure PA6; ball-on-disk vs 6 mm chrome steel ball; 5 N; 1000 rpm (0.65 m/s); 40 min (1570 m); Figs. 11 & 12,pass,,
PA6TPU2015,PA6,95,0,0,0,0,TPU,5,5,0.65,1570,,steel,PoD,dry,,23,injection,0.315,0.00138,,,,10.1177/0892705712439565,line_graph,high,PA6 + 5 wt% TPU; ball-on-disk vs 6 mm chrome steel ball; 5 N; 1000 rpm (0.65 m/s); 40 min (1570 m); Figs. 11 & 12,pass,,
PA6TPU2015,PA6,90,0,0,0,0,TPU,10,5,0.65,1570,,steel,PoD,dry,,23,injection,0.326,0.00188,,,,10.1177/0892705712439565,line_graph,high,PA6 + 10 wt% TPU; ball-on-disk vs 6 mm chrome steel ball; 5 N; 1000 rpm (0.65 m/s); 40 min (1570 m); Figs. 11 & 12,pass,,
PA6TPU2015,PA6,85,0,0,0,0,TPU,15,5,0.65,1570,,steel,PoD,dry,,23,injection,0.325,0.00160,,,,10.1177/0892705712439565,line_graph,high,PA6 + 15 wt% TPU; ball-on-disk vs 6 mm chrome steel ball; 5 N; 1000 rpm (0.65 m/s); 40 min (1570 m); Figs. 11 & 12,pass,,
