paper_id,material_base,pa6_pct,glass_fiber_pct,graphite_pct,mos2_pct,pa66_pct,other_ingredients,other_ingredients_wt_pct,load_N,speed_ms,distance_m,PV_factor,counterface,test_type,environment,humidity_pct,temperature_C,fabrication,COF,wear_rate_mm3Nm,wear_volume_mm3,mass_loss_mg,contact_temp_C,source_doi,extraction_method,confidence,notes,validation_status,validation_notes,validation_warnings
RSMPA662022,PA66,0,30,0,0,70,,,60,0.16,2500,,steel,PoD,dry,,23,injection,0.28,0.0160,,,,10.3390/ma15196520,line_graph,high,PA66 + 30 wt% GF; DUCOM pin-on-disc vs EN31 steel disc; 60 N; 0.16 m/s; 2500 m; Figs. 3 and 4,pass,,
RSMPA662022,PA66,0,30,0,0,70,,,60,0.19,3000,,steel,PoD,dry,,23,injection,0.26,0.0164,,,,10.3390/ma15196520,line_graph,high,PA66 + 30 wt% GF; DUCOM pin-on-disc vs EN31 steel disc; 60 N; 0.19 m/s; 3000 m; Figs. 3 and 4,pass,,
RSMPA662022,PA66,0,30,0,0,70,,,60,0.22,3500,,steel,PoD,dry,,23,injection,0.28,0.0143,,,,10.3390/ma15196520,line_graph,high,PA66 + 30 wt% GF; DUCOM pin-on-disc vs EN31 steel disc; 60 N; 0.22 m/s; 3500 m; Figs. 3 and 4,pass,,
RSMPA662022,PA66,0,30,0,0,70,,,70,0.16,2500,,steel,PoD,dry,,23,injection,0.28,0.0140,,,,10.3390/ma15196520,line_graph,high,PA66 + 30 wt% GF; DUCOM pin-on-disc vs EN31 steel disc; 70 N; 0.16 m/s; 2500 m; Figs. 3 and 4,pass,,
RSMPA662022,PA66,0,30,0,0,70,,,70,0.19,3000,,steel,PoD,dry,,23,injection,0.35,0.0150,,,,10.3390/ma15196520,line_graph,high,PA66 + 30 wt% GF; DUCOM pin-on-disc vs EN31 steel disc; 70 N; 0.19 m/s; 3000 m; Figs. 3 and 4,pass,,
RSMPA662022,PA66,0,30,0,0,70,,,70,0.22,3500,,steel,PoD,dry,,23,injection,0.35,0.0148,,,,10.3390/ma15196520,line_graph,high,PA66 + 30 wt% GF; DUCOM pin-on-disc vs EN31 steel disc; 70 N; 0.22 m/s; 3500 m; Figs. 3 and 4,pass,,
RSMPA662022,PA66,0,30,0,0,70,,,80,0.16,2500,,steel,PoD,dry,,23,injection,0.25,0.0120,,,,10.3390/ma15196520,line_graph,high,PA66 + 30 wt% GF; DUCOM pin-on-disc vs EN31 steel disc; 80 N; 0.16 m/s; 2500 m; Figs. 3 and 4,pass,,
RSMPA662022,PA66,0,30,0,0,70,,,80,0.19,3000,,steel,PoD,dry,,23,injection,0.34,0.0120,,,,10.3390/ma15196520,line_graph,high,PA66 + 30 wt% GF; DUCOM pin-on-disc vs EN31 steel disc; 80 N; 0.19 m/s; 3000 m; Figs. 3 and 4,pass,,
RSMPA662022,PA66,0,30,0,0,70,,,80,0.22,3500,,steel,PoD,dry,,23,injection,0.37,0.0121,,,,10.3390/ma15196520,line_graph,high,PA66 + 30 wt% GF; DUCOM pin-on-disc vs EN31 steel disc; 80 N; 0.22 m/s; 3500 m; Figs. 3 and 4,pass,,
RSMPA662022,PA66,0,35,0,0,65,,,60,0.16,2500,,steel,PoD,dry,,23,injection,0.15,0.0161,,,,10.3390/ma15196520,line_graph,high,PA66 + 35 wt% GF; DUCOM pin-on-disc vs EN31 steel disc; 60 N; 0.16 m/s; 2500 m; Figs. 3 and 4,pass,,
RSMPA662022,PA66,0,35,0,0,65,,,60,0.19,3000,,steel,PoD,dry,,23,injection,0.13,0.0142,,,,10.3390/ma15196520,line_graph,high,PA66 + 35 wt% GF; DUCOM pin-on-disc vs EN31 steel disc; 60 N; 0.19 m/s; 3000 m; Figs. 3 and 4,pass,,
RSMPA662022,PA66,0,35,0,0,65,,,60,0.22,3500,,steel,PoD,dry,,23,injection,0.28,0.0141,,,,10.3390/ma15196520,line_graph,high,PA66 + 35 wt% GF; DUCOM pin-on-disc vs EN31 steel disc; 60 N; 0.22 m/s; 3500 m; Figs. 3 and 4,pass,,
RSMPA662022,PA66,0,35,0,0,65,,,70,0.16,2500,,steel,PoD,dry,,23,injection,0.18,0.0112,,,,10.3390/ma15196520,line_graph,high,PA66 + 35 wt% GF; DUCOM pin-on-disc vs EN31 steel disc; 70 N; 0.16 m/s; 2500 m; Figs. 3 and 4,pass,,
RSMPA662022,PA66,0,35,0,0,65,,,70,0.19,3000,,steel,PoD,dry,,23,injection,0.3409,0.0128,,,,10.3390/ma15196520,line_graph,high,PA66 + 35 wt% GF; DUCOM pin-on-disc vs EN31 steel disc; 70 N; 0.19 m/s; 3000 m; Table 4,pass,,
RSMPA662022,PA66,0,35,0,0,65,,,70,0.22,3500,,steel,PoD,dry,,23,injection,0.31,0.0140,,,,10.3390/ma15196520,line_graph,high,PA66 + 35 wt% GF; DUCOM pin-on-disc vs EN31 steel disc; 70 N; 0.22 m/s; 3500 m; Figs. 3 and 4,pass,,
RSMPA662022,PA66,0,35,0,0,65,,,80,0.16,2500,,steel,PoD,dry,,23,injection,0.13,0.0101,,,,10.3390/ma15196520,line_graph,high,PA66 + 35 wt% GF; DUCOM pin-on-disc vs EN31 steel disc; 80 N; 0.16 m/s; 2500 m; Figs. 3 and 4,pass,,
RSMPA662022,PA66,0,35,0,0,65,,,80,0.19,3000,,steel,PoD,dry,,23,injection,0.31,0.0109,,,,10.3390/ma15196520,line_graph,high,PA66 + 35 wt% GF; DUCOM pin-on-disc vs EN31 steel disc; 80 N; 0.19 m/s; 3000 m; Figs. 3 and 4,pass,,
RSMPA662022,PA66,0,35,0,0,65,,,80,0.22,3500,,steel,PoD,dry,,23,injection,0.25,0.0102,,,,10.3390/ma15196520,line_graph,high,PA66 + 35 wt% GF; DUCOM pin-on-disc vs EN31 steel disc; 80 N; 0.22 m/s; 3500 m; Figs. 3 and 4,pass,,
