paper_id,material_base,pa6_pct,glass_fiber_pct,graphite_pct,mos2_pct,pa66_pct,other_ingredients,other_ingredients_wt_pct,load_N,speed_ms,distance_m,PV_factor,counterface,test_type,environment,humidity_pct,temperature_C,fabrication,COF,wear_rate_mm3Nm,wear_volume_mm3,mass_loss_mg,contact_temp_C,source_doi,extraction_method,confidence,notes,validation_status,validation_notes,validation_warnings
SOUNDARARAJAN2019,PA6,100,0,0,0,0,,,5,1.256,377,,steel,PoD,dry,,23,AM,,1.75,,,,10.1016/j.matpr.2019.07.084,table,high,Virgin PA6; FDM 3D printed; DUCOM PoD vs steel; 5 N; 1.256 m/s; 5 min (377 m); Table 2; COF not measured in paper,fail,COF is required,
SOUNDARARAJAN2019,PA6,100,0,0,0,0,,,5,1.256,754,,steel,PoD,dry,,23,AM,,1.65,,,,10.1016/j.matpr.2019.07.084,table,high,Virgin PA6; FDM 3D printed; DUCOM PoD vs steel; 5 N; 1.256 m/s; 10 min (754 m); Table 2; COF not measured in paper,fail,COF is required,
SOUNDARARAJAN2019,PA6,100,0,0,0,0,,,10,1.256,377,,steel,PoD,dry,,23,AM,,3.20,,,,10.1016/j.matpr.2019.07.084,table,high,Virgin PA6; FDM 3D printed; DUCOM PoD vs steel; 10 N; 1.256 m/s; 5 min (377 m); Table 2; COF not measured in paper,fail,COF is required,
SOUNDARARAJAN2019,PA6,100,0,0,0,0,,,10,1.256,754,,steel,PoD,dry,,23,AM,,3.10,,,,10.1016/j.matpr.2019.07.084,table,high,Virgin PA6; FDM 3D printed; DUCOM PoD vs steel; 10 N; 1.256 m/s; 10 min (754 m); Table 2; COF not measured in paper,fail,COF is required,
SOUNDARARAJAN2019,PA6,100,0,0,0,0,,,15,1.256,377,,steel,PoD,dry,,23,AM,,4.50,,,,10.1016/j.matpr.2019.07.084,table,high,Virgin PA6; FDM 3D printed; DUCOM PoD vs steel; 15 N; 1.256 m/s; 5 min (377 m); Table 2; COF not measured in paper,fail,COF is required,
SOUNDARARAJAN2019,PA6,100,0,0,0,0,,,15,1.256,754,,steel,PoD,dry,,23,AM,,4.20,,,,10.1016/j.matpr.2019.07.084,table,high,Virgin PA6; FDM 3D printed; DUCOM PoD vs steel; 15 N; 1.256 m/s; 10 min (754 m); Table 2; COF not measured in paper,fail,COF is required,
SOUNDARARAJAN2019,PA6,100,0,0,0,0,,,20,1.256,377,,steel,PoD,dry,,23,AM,,5.20,,,,10.1016/j.matpr.2019.07.084,table,high,Virgin PA6; FDM 3D printed; DUCOM PoD vs steel; 20 N; 1.256 m/s; 5 min (377 m); Table 2; COF not measured in paper,fail,COF is required,
SOUNDARARAJAN2019,PA6,100,0,0,0,0,,,20,1.256,754,,steel,PoD,dry,,23,AM,,4.82,,,,10.1016/j.matpr.2019.07.084,table,high,Virgin PA6; FDM 3D printed; DUCOM PoD vs steel; 20 N; 1.256 m/s; 10 min (754 m); Table 2; COF not measured in paper,fail,COF is required,
SOUNDARARAJAN2019,PA6,90,0,0,0,0,TiO2,10,5,1.256,377,,steel,PoD,dry,,23,AM,,1.35,,,,10.1016/j.matpr.2019.07.084,table,high,PA6 + 10 wt% TiO2; FDM 3D printed; DUCOM PoD vs steel; 5 N; 1.256 m/s; 5 min (377 m); Table 2; COF not measured,fail,COF is required,
SOUNDARARAJAN2019,PA6,90,0,0,0,0,TiO2,10,5,1.256,754,,steel,PoD,dry,,23,AM,,1.25,,,,10.1016/j.matpr.2019.07.084,table,high,PA6 + 10 wt% TiO2; FDM 3D printed; DUCOM PoD vs steel; 5 N; 1.256 m/s; 10 min (754 m); Table 2; COF not measured,fail,COF is required,
SOUNDARARAJAN2019,PA6,90,0,0,0,0,TiO2,10,10,1.256,377,,steel,PoD,dry,,23,AM,,2.40,,,,10.1016/j.matpr.2019.07.084,table,high,PA6 + 10 wt% TiO2; FDM 3D printed; DUCOM PoD vs steel; 10 N; 1.256 m/s; 5 min (377 m); Table 2; COF not measured,fail,COF is required,
SOUNDARARAJAN2019,PA6,90,0,0,0,0,TiO2,10,10,1.256,754,,steel,PoD,dry,,23,AM,,2.10,,,,10.1016/j.matpr.2019.07.084,table,high,PA6 + 10 wt% TiO2; FDM 3D printed; DUCOM PoD vs steel; 10 N; 1.256 m/s; 10 min (754 m); Table 2; COF not measured,fail,COF is required,
SOUNDARARAJAN2019,PA6,90,0,0,0,0,TiO2,10,15,1.256,377,,steel,PoD,dry,,23,AM,,2.85,,,,10.1016/j.matpr.2019.07.084,table,high,PA6 + 10 wt% TiO2; FDM 3D printed; DUCOM PoD vs steel; 15 N; 1.256 m/s; 5 min (377 m); Table 2; COF not measured,fail,COF is required,
SOUNDARARAJAN2019,PA6,90,0,0,0,0,TiO2,10,15,1.256,754,,steel,PoD,dry,,23,AM,,2.55,,,,10.1016/j.matpr.2019.07.084,table,high,PA6 + 10 wt% TiO2; FDM 3D printed; DUCOM PoD vs steel; 15 N; 1.256 m/s; 10 min (754 m); Table 2; COF not measured,fail,COF is required,
SOUNDARARAJAN2019,PA6,90,0,0,0,0,TiO2,10,20,1.256,377,,steel,PoD,dry,,23,AM,,3.64,,,,10.1016/j.matpr.2019.07.084,table,high,PA6 + 10 wt% TiO2; FDM 3D printed; DUCOM PoD vs steel; 20 N; 1.256 m/s; 5 min (377 m); Table 2; COF not measured,fail,COF is required,
