paper_id,material_base,pa6_pct,glass_fiber_pct,graphite_pct,mos2_pct,pa66_pct,other_ingredients,other_ingredients_wt_pct,load_N,speed_ms,distance_m,PV_factor,counterface,test_type,environment,humidity_pct,temperature_C,fabrication,COF,wear_rate_mm3Nm,wear_volume_mm3,mass_loss_mg,contact_temp_C,source_doi,extraction_method,confidence,notes,validation_status,validation_notes,validation_warnings
UNAL2023,PA6,100,0,0,0,0,,,10,0.5,1000,,PA6,PoD,dry,,23,injection,0.98,0.00022,,,,10.1002/mawe.202200057,line_graph,high,Pure PA6; self-mating polymer-polymer PoD; 10 N; 0.5 m/s; 1000 m; Figs. 5 and 6,pass,,
UNAL2023,PA6,100,0,0,0,0,,,20,0.5,1000,,PA6,PoD,dry,,23,injection,0.65,0.00030,,,,10.1002/mawe.202200057,line_graph,high,Pure PA6; self-mating polymer-polymer PoD; 20 N; 0.5 m/s; 1000 m; Figs. 5 and 6,pass,,
UNAL2023,PA6,100,0,0,0,0,,,30,0.5,1000,,PA6,PoD,dry,,23,injection,0.60,0.00040,,,,10.1002/mawe.202200057,line_graph,high,Pure PA6; self-mating polymer-polymer PoD; 30 N; 0.5 m/s; 1000 m; Figs. 5 and 6,pass,,
UNAL2023,PA6,95,0,5,0,0,,,10,0.5,1000,,PA6,PoD,dry,,23,injection,0.83,0.00018,,,,10.1002/mawe.202200057,line_graph,high,PA6 + 5 wt% graphite; self-mating polymer-polymer PoD; 10 N; 0.5 m/s; 1000 m; Figs. 5 and 6,pass,,
UNAL2023,PA6,95,0,5,0,0,,,20,0.5,1000,,PA6,PoD,dry,,23,injection,0.55,0.00022,,,,10.1002/mawe.202200057,line_graph,high,PA6 + 5 wt% graphite; self-mating polymer-polymer PoD; 20 N; 0.5 m/s; 1000 m; Figs. 5 and 6,pass,,
UNAL2023,PA6,95,0,5,0,0,,,30,0.5,1000,,PA6,PoD,dry,,23,injection,0.50,0.00027,,,,10.1002/mawe.202200057,line_graph,high,PA6 + 5 wt% graphite; self-mating polymer-polymer PoD; 30 N; 0.5 m/s; 1000 m; Figs. 5 and 6,pass,,
UNAL2023,PA6,90,0,10,0,0,,,10,0.5,1000,,PA6,PoD,dry,,23,injection,0.72,0.00015,,,,10.1002/mawe.202200057,line_graph,high,PA6 + 10 wt% graphite; self-mating polymer-polymer PoD; 10 N; 0.5 m/s; 1000 m; Figs. 5 and 6,pass,,
UNAL2023,PA6,90,0,10,0,0,,,20,0.5,1000,,PA6,PoD,dry,,23,injection,0.50,0.00017,,,,10.1002/mawe.202200057,line_graph,high,PA6 + 10 wt% graphite; self-mating polymer-polymer PoD; 20 N; 0.5 m/s; 1000 m; Figs. 5 and 6,pass,,
UNAL2023,PA6,90,0,10,0,0,,,30,0.5,1000,,PA6,PoD,dry,,23,injection,0.40,0.00019,,,,10.1002/mawe.202200057,line_graph,high,PA6 + 10 wt% graphite; self-mating polymer-polymer PoD; 30 N; 0.5 m/s; 1000 m; Figs. 5 and 6,pass,,
UNAL2023,PA6,85,0,15,0,0,,,10,0.5,1000,,PA6,PoD,dry,,23,injection,0.63,0.00013,,,,10.1002/mawe.202200057,line_graph,high,PA6 + 15 wt% graphite; self-mating polymer-polymer PoD; 10 N; 0.5 m/s; 1000 m; Figs. 5 and 6,pass,,
UNAL2023,PA6,85,0,15,0,0,,,20,0.5,1000,,PA6,PoD,dry,,23,injection,0.45,0.00014,,,,10.1002/mawe.202200057,line_graph,high,PA6 + 15 wt% graphite; self-mating polymer-polymer PoD; 20 N; 0.5 m/s; 1000 m; Figs. 5 and 6,pass,,
