paper_id,material_base,pa6_pct,glass_fiber_pct,graphite_pct,mos2_pct,pa66_pct,other_ingredients,other_ingredients_wt_pct,load_N,speed_ms,distance_m,PV_factor,counterface,test_type,environment,humidity_pct,temperature_C,fabrication,COF,wear_rate_mm3Nm,wear_volume_mm3,mass_loss_mg,contact_temp_C,source_doi,extraction_method,confidence,notes,validation_status,validation_notes,validation_warnings
WANG2018,PA6,80,0,0,0,0,basalt fiber,20,70,0.167,300.6,,steel,BoP,dry,,,injection,0.141,0.00123,,,,10.1039/c8ra00106e,line_graph,high,BF/PA6; CFT-I ball-on-plate vs steel ball; 70 N; 0.167 m/s; 30 min; Fig. 9,pass,,
WANG2018,PA6,80,0,0,0,0,basalt fiber; polydopamine,20,70,0.167,300.6,,steel,BoP,dry,,,injection,0.161,0.00098,,,,10.1039/c8ra00106e,line_graph,high,PDA-BF/PA6; CFT-I ball-on-plate vs steel ball; 70 N; 0.167 m/s; 30 min; Fig. 9,pass,,
WANG2018,PA6,80,0,0,0,0,basalt fiber; polydopamine; graphene oxide,20,70,0.167,300.6,,steel,BoP,dry,,,injection,0.088,0.00060,,,,10.1039/c8ra00106e,line_graph,high,GO-PDA-BF/PA6; CFT-I ball-on-plate vs steel ball; 70 N; 0.167 m/s; 30 min; Fig. 9,pass,,
WANG2018,PA6,80,0,0,0,0,basalt fiber,20,80,0.167,300.6,,steel,BoP,dry,,,injection,0.148,0.00144,,,,10.1039/c8ra00106e,line_graph,high,BF/PA6; CFT-I ball-on-plate vs steel ball; 80 N; 0.167 m/s; 30 min; Fig. 9,pass,,
WANG2018,PA6,80,0,0,0,0,basalt fiber; polydopamine,20,80,0.167,300.6,,steel,BoP,dry,,,injection,0.185,0.00119,,,,10.1039/c8ra00106e,line_graph,high,PDA-BF/PA6; CFT-I ball-on-plate vs steel ball; 80 N; 0.167 m/s; 30 min; Fig. 9,pass,,
WANG2018,PA6,80,0,0,0,0,basalt fiber; polydopamine; graphene oxide,20,80,0.167,300.6,,steel,BoP,dry,,,injection,0.100,0.00069,,,,10.1039/c8ra00106e,line_graph,high,GO-PDA-BF/PA6; CFT-I ball-on-plate vs steel ball; 80 N; 0.167 m/s; 30 min; Fig. 9,pass,,
WANG2018,PA6,80,0,0,0,0,basalt fiber,20,90,0.167,300.6,,steel,BoP,dry,,,injection,0.165,0.00156,,,,10.1039/c8ra00106e,line_graph,high,BF/PA6; CFT-I ball-on-plate vs steel ball; 90 N; 0.167 m/s; 30 min; Fig. 9,pass,,
WANG2018,PA6,80,0,0,0,0,basalt fiber; polydopamine,20,90,0.167,300.6,,steel,BoP,dry,,,injection,0.224,0.00127,,,,10.1039/c8ra00106e,line_graph,high,PDA-BF/PA6; CFT-I ball-on-plate vs steel ball; 90 N; 0.167 m/s; 30 min; Fig. 9,pass,,
WANG2018,PA6,80,0,0,0,0,basalt fiber; polydopamine; graphene oxide,20,90,0.167,300.6,,steel,BoP,dry,,,injection,0.118,0.00078,,,,10.1039/c8ra00106e,line_graph,high,GO-PDA-BF/PA6; CFT-I ball-on-plate vs steel ball; 90 N; 0.167 m/s; 30 min; Fig. 9,pass,,
WANG2018,PA6,80,0,0,0,0,basalt fiber,20,100,0.167,300.6,,steel,BoP,dry,,,injection,0.174,0.00175,,,,10.1039/c8ra00106e,line_graph,high,BF/PA6; CFT-I ball-on-plate vs steel ball; 100 N; 0.167 m/s; 30 min; Fig. 9,pass,,
