paper_id,material_base,pa6_pct,glass_fiber_pct,graphite_pct,mos2_pct,pa66_pct,other_ingredients,other_ingredients_wt_pct,load_N,speed_ms,distance_m,PV_factor,counterface,test_type,environment,humidity_pct,temperature_C,fabrication,COF,wear_rate_mm3Nm,wear_volume_mm3,mass_loss_mg,contact_temp_C,source_doi,extraction_method,confidence,notes,validation_status,validation_notes,validation_warnings
ZAVRAZHIN2025,PA6,100,0,0,0,,,,,,,,steel,PoD,dry,50,23,injection,0.196,,,,,10.3390/sci7040178,table,high,neat PA6,pass,,
ZAVRAZHIN2025,PA6,99.75,0,0,0.25,,,,,,,,steel,PoD,dry,50,23,injection,0.168,,,,,10.3390/sci7040178,table,high,mixing mode MA (mechanical activation in planetary mills),pass,,
ZAVRAZHIN2025,PA6,99.75,0,0,0.25,,,,,,,,steel,PoD,dry,50,23,injection,0.151,,,,,10.3390/sci7040178,table,high,mixing mode DT (turbulent mixer drum tumblers),pass,,
ZAVRAZHIN2025,PA6,99.5,0,0,0.5,,,,,,,,steel,PoD,dry,50,23,injection,0.161,,,,,10.3390/sci7040178,table,high,mixing mode MA (mechanical activation in planetary mills),pass,,
ZAVRAZHIN2025,PA6,99.5,0,0,0.5,,,,,,,,steel,PoD,dry,50,23,injection,0.157,,,,,10.3390/sci7040178,table,high,mixing mode DT (turbulent mixer drum tumblers),pass,,
ZAVRAZHIN2025,PA6,99,0,0,1,,,,,,,,steel,PoD,dry,50,23,injection,0.174,,,,,10.3390/sci7040178,table,high,mixing mode MA (mechanical activation in planetary mills),pass,,
ZAVRAZHIN2025,PA6,99,0,0,1,,,,,,,,steel,PoD,dry,50,23,injection,0.157,,,,,10.3390/sci7040178,table,high,mixing mode DT (turbulent mixer drum tumblers),pass,,
ZAVRAZHIN2025,PA6,97,0,0,3,,,,,,,,steel,PoD,dry,50,23,injection,0.174,,,,,10.3390/sci7040178,table,high,mixing mode MA (mechanical activation in planetary mills),pass,,
ZAVRAZHIN2025,PA6,97,0,0,3,,,,,,,,steel,PoD,dry,50,23,injection,0.169,,,,,10.3390/sci7040178,table,high,mixing mode DT (turbulent mixer drum tumblers),pass,,
ZAVRAZHIN2025,PA6,95,0,0,5,,,,,,,,steel,PoD,dry,50,23,injection,0.186,,,,,10.3390/sci7040178,table,high,mixing mode MA (mechanical activation in planetary mills),pass,,
ZAVRAZHIN2025,PA6,95,0,0,5,,,,,,,,steel,PoD,dry,50,23,injection,0.156,,,,,10.3390/sci7040178,table,high,mixing mode DT (turbulent mixer drum tumblers),pass,,
