paper_id,material_base,filler_1_type,filler_1_wt_pct,filler_2_type,filler_2_wt_pct,filler_3_type,filler_3_wt_pct,load_N,speed_ms,distance_m,PV_factor,counterface,test_type,environment,humidity_pct,temperature_C,fabrication,COF,wear_rate_mm3Nm,wear_volume_mm3,mass_loss_mg,contact_temp_C,source_doi,extraction_method,confidence,notes
ABRASIVEGFPA6,PA6,unfilled,0,,,,,10,0.31,257.48,,other,PoD,dry,50,25,injection,,0.0723707,186.34,210.2,,10.1007/s11249-023-01774-9,table,high,Counterface SiC paper grit 220
ABRASIVEGFPA6,PA6,unfilled,0,,,,,10,0.31,257.48,,other,PoD,dry,50,25,injection,,0.0065403,16.84,19.0,,10.1007/s11249-023-01774-9,table,high,Counterface SiC paper grit 500
ABRASIVEGFPA6,PA6,unfilled,0,,,,,10,0.31,257.48,,other,PoD,dry,50,25,injection,,0.0014448,3.72,4.2,,10.1007/s11249-023-01774-9,table,high,Counterface SiC paper grit 1000
ABRASIVEGFPA6,PA6,GF,33,,,,,10,0.31,257.48,,other,PoD,dry,50,25,injection,,0.0370980,95.52,126.0,,10.1007/s11249-023-01774-9,table,high,Counterface SiC paper grit 220; 33 vol% GF
ABRASIVEGFPA6,PA6,GF,33,,,,,10,0.31,257.48,,other,PoD,dry,50,25,injection,,0.0074569,19.20,25.33,,10.1007/s11249-023-01774-9,table,high,Counterface SiC paper grit 500; 33 vol% GF
ABRASIVEGFPA6,PA6,GF,33,,,,,10,0.31,257.48,,other,PoD,dry,50,25,injection,,0.0015885,4.09,5.40,,10.1007/s11249-023-01774-9,table,high,Counterface SiC paper grit 1000; 33 vol% GF
ABRASIVEGFPA6,PA6,GF,25,MoS2,5,,,10,0.31,257.48,,other,PoD,dry,50,25,injection,,0.0554373,142.74,190.0,,10.1007/s11249-023-01774-9,table,high,Counterface SiC paper grit 220; 25 vol% GF and 5 wt% MoS2
ABRASIVEGFPA6,PA6,GF,25,MoS2,5,,,10,0.31,257.48,,other,PoD,dry,50,25,injection,,0.0097250,25.04,33.33,,10.1007/s11249-023-01774-9,table,high,Counterface SiC paper grit 500; 25 vol% GF and 5 wt% MoS2
ABRASIVEGFPA6,PA6,GF,25,MoS2,5,,,10,0.31,257.48,,other,PoD,dry,50,25,injection,,0.0018681,4.81,6.40,,10.1007/s11249-023-01774-9,table,high,Counterface SiC paper grit 1000; 25 vol% GF and 5 wt% MoS2
ABRASIVEGFPA6,PA6,GF,50,,,,,10,0.31,257.48,,other,PoD,dry,50,25,injection,,0.0508700,130.98,200.8,,10.1007/s11249-023-01774-9,table,high,Counterface SiC paper grit 220; 50 vol% GF
ABRASIVEGFPA6,PA6,GF,50,,,,,10,0.31,257.48,,other,PoD,dry,50,25,injection,,0.0105562,27.18,41.67,,10.1007/s11249-023-01774-9,table,high,Counterface SiC paper grit 500; 50 vol% GF
ABRASIVEGFPA6,PA6,GF,50,,,,,10,0.31,257.48,,other,PoD,dry,50,25,injection,,0.0021244,5.47,8.40,,10.1007/s11249-023-01774-9,table,high,Counterface SiC paper grit 1000; 50 vol% GF
ABRASIVEGFPA6,PA6,GF,25,,,,,10,0.31,257.48,,other,PoD,dry,50,25,injection,,0.0144943,37.32,48.0,,10.1007/s11249-023-01774-9,table,high,Counterface SiC paper grit 220; 25 vol% GF
ABRASIVEGFPA6,PA6,GF,25,,,,,10,0.31,257.48,,other,PoD,dry,50,25,injection,,0.0120786,31.10,40.0,,10.1007/s11249-023-01774-9,table,high,Counterface SiC paper grit 500; 25 vol% GF
ABRASIVEGFPA6,PA6,GF,25,,,,,10,0.31,2
