paper_id,material_base,pa6_pct,glass_fiber_pct,graphite_pct,mos2_pct,pa66_pct,other_ingredients,other_ingredients_wt_pct,load_N,speed_ms,distance_m,PV_factor,counterface,test_type,environment,humidity_pct,temperature_C,fabrication,COF,wear_rate_mm3Nm,wear_volume_mm3,mass_loss_mg,contact_temp_C,source_doi,extraction_method,confidence,notes
AVALLE2018,PA66,0,0,0,0,100,,,20,0.628,300,,other,PoD,dry,,,injection,0.375,,0.375,,,10.1016/j.prostr.2017.12.026,mixed,medium,Radipol A 45 D PA66 tested against tungsten carbide pin at 20 N load and 628 mm/s speed; wear volume from Table 6 at 300 m
AVALLE2018,PA66,0,0,2,0,96,LDPE,2,20,0.628,300,,other,PoD,dry,,,injection,0.36,,0.284,,,10.1016/j.prostr.2017.12.026,mixed,medium,Formulated with 4 wt% FerroLube GR4009 masterbatch (50% graphite / 50% LDPE carrier); wear volume from Table 6 at 300 m
AVALLE2018,PA66,0,0,4,0,92,LDPE,4,20,0.628,300,,other,PoD,dry,,,injection,0.30,,0.302,,,10.1016/j.prostr.2017.12.026,mixed,medium,Formulated with 8 wt% FerroLube GR4009 masterbatch (50% graphite / 50% LDPE carrier); wear volume from Table 6 at 300 m
AVALLE2018,PA66,0,0,8,0,84,LDPE,8,20,0.628,300,,other,PoD,dry,,,injection,0.27,,0.272,,,10.1016/j.prostr.2017.12.026,mixed,medium,Formulated with 16 wt% FerroLube GR4009 masterbatch (50% graphite / 50% LDPE carrier); wear volume from Table 6 at 300 m
AVALLE2018,PA66,0,0,0,0,96,silicone;EVA,2;2,20,0.628,300,,other,PoD,dry,,,injection,0.21,,0.213,,,10.1016/j.prostr.2017.12.026,mixed,medium,Formulated with 4 wt% SiliconLube MB EV-504 masterbatch (50% siloxane / 50% EVA resin carrier); wear volume from Table 6 at 300 m
AVALLE2018,PA66,0,0,0,0,92,silicone;EVA,4;4,20,0.628,300,,other,PoD,dry,,,injection,0.22,,0.216,,,10.1016/j.prostr.2017.12.026,mixed,medium,Formulated with 8 wt% SiliconLube MB EV-504 masterbatch (50% siloxane / 50% EVA resin carrier); wear volume from Table 6 at 300 m
AVALLE2018,PA66,0,0,0,0,84,silicone;EVA,8;8,20,0.628,300,,other,PoD,dry,,,injection,0.20,,0.205,,,10.1016/j.prostr.2017.12.026,mixed,medium,Formulated with 16 wt% SiliconLube MB EV-504 masterbatch (50% siloxane / 50% EVA resin carrier); wear volume from Table 6 at 300 m
AVALLE2018,PA66,0,0,0,2,96,EVA,2,20,0.628,300,,other,PoD,dry,,,injection,0.33,,0.355,,,10.1016/j.prostr.2017.12.026,mixed,medium,Formulated with 4 wt% MoS2 MB 50% EVA masterbatch; wear volume from Table 6 at 300 m
AVALLE2018,PA66,0,0,0,4,92,EVA,4,20,0.628,300,,other,PoD,dry,,,injection,0.30,,0.308,,,10.1016/j.prostr.2017.12.026,mixed,medium,Formulated with 8 wt% MoS2 MB 50% EVA masterbatch; wear volume from Table 6 at 300 m
AVALLE2018,PA66,0,0,0,8,84,EVA,8,20,0.628,300,,other,PoD,dry,,,injection,0.29,,0.298,,,10.1016/j.prostr.2017.12.026,mixed,medium,Formulated with 16 wt% MoS2 MB 50% EVA masterbatch; wear volume from Table 6 at 300 m
AVALLE2018,PA66,0,0,0,0,98.5,CNT,1.5,20,0.628,300,,other,PoD,dry,,,injection,0.39,,0.388,,,10.1016/j.prostr.2017.12.026,mixed,medium,Formulated with 10 wt% PLASTICYL PA1501 masterbatch (15% CNT / 85% PA66 carrier); wear volume from Table 6 at 300 m
AVALLE2018,PA66,0,0,0,0,97,CNT,3,20,0.628,300,,other,PoD,dry,,,injection,0.39,,0.390,,,10.1016/j.prostr.2017.12.026,mixed,medium,Formulated with 20 wt% PLASTICYL PA1501 masterbatch (15% CNT / 85% PA66 carrier); wear volume from Table 6 at 300 m
