paper_id,material_base,filler_1_type,filler_1_wt_pct,filler_2_type,filler_2_wt_pct,filler_3_type,filler_3_wt_pct,load_N,speed_ms,distance_m,PV_factor,counterface,test_type,environment,humidity_pct,temperature_C,fabrication,COF,wear_rate_mm3Nm,wear_volume_mm3,mass_loss_mg,contact_temp_C,source_doi,extraction_method,confidence,notes
IJEMS2018,PA6,unfilled,0,,,,5,0.5,1000,,steel,PoD,dry,67,23,injection,0.363,0.0000176,,,,,,table,high,
IJEMS2018,PA6,unfilled,0,,,,10,1.0,1000,,steel,PoD,dry,67,23,injection,0.266,0.0000176,,,,,,table,high,
IJEMS2018,PA6,unfilled,0,,,,15,1.5,1000,,steel,PoD,dry,67,23,injection,0.260,0.0000294,,,,,,table,high,
IJEMS2018,PA6,unfilled,0,,,,20,2.0,1000,,steel,PoD,dry,67,23,injection,0.231,0.0000442,,,,,,table,high,
IJEMS2018,PA6,GF,10,,,,5,1.0,1000,,steel,PoD,dry,67,23,injection,0.255,0.0000166,,,,,,table,high,
IJEMS2018,PA6,GF,10,,,,10,0.5,1000,,steel,PoD,dry,67,23,injection,0.248,0.0000166,,,,,,table,high,
IJEMS2018,PA6,GF,10,,,,15,2.0,1000,,steel,PoD,dry,67,23,injection,0.213,0.0000389,,,,,,table,high,
IJEMS2018,PA6,GF,10,,,,20,1.5,1000,,steel,PoD,dry,67,23,injection,0.195,0.0000333,,,,,,table,high,
IJEMS2018,PA6,GF,20,,,,5,1.5,1000,,steel,PoD,dry,67,23,injection,0.185,0.0000314,,,,,,table,high,
IJEMS2018,PA6,GF,20,,,,10,2.0,1000,,steel,PoD,dry,67,23,injection,0.191,0.0000315,,,,,,table,high,
IJEMS2018,PA6,GF,20,,,,15,0.5,1000,,steel,PoD,dry,67,23,injection,0.169,0.0000104,,,,,,table,high,
IJEMS2018,PA6,GF,20,,,,20,1.0,1000,,steel,PoD,dry,67,23,injection,0.165,0.0000157,,,,,,table,high,
IJEMS2018,PA6,GF,30,,,,5,2.0,1000,,steel,PoD,dry,67,23,injection,0.184,0.0000296,,,,,,table,high,
IJEMS2018,PA6,GF,30,,,,10,1.5,1000,,steel,PoD,dry,67,23,injection,0.151,0.0000222,,,,,,table,high,
IJEMS2018,PA6,GF,30,,,,15,1.0,1000,,steel,PoD,dry,67,23,injection,0.163,0.0000197,,,,,,table,high,
IJEMS2018,PA6,GF,30,,,,20,0.5,1000,,steel,PoD,dry,67,23,injection,0.146,0.0000111,,,,,,table,high,
