paper_id,material_base,pa6_pct,glass_fiber_pct,graphite_pct,mos2_pct,pa66_pct,other_ingredients,other_ingredients_wt_pct,load_N,speed_ms,distance_m,PV_factor,counterface,test_type,environment,humidity_pct,temperature_C,fabrication,COF,wear_rate_mm3Nm,wear_volume_mm3,mass_loss_mg,contact_temp_C,source_doi,extraction_method,confidence,notes
KARATAS2019,PA66,0,0,0,0,100,,,35,0.0419,70,,other,PoD,dry,,,injection,0.43,,0.73,,,10.1016/j.compositesb.2019.01.014,mixed,medium,Wear volume from Table 2; COF estimated from Fig 1 line graph at steady state
KARATAS2019,PA66,0,0,0,0,90,CF,10,35,0.0419,70,,other,PoD,dry,,,injection,0.08,,0.35,,,10.1016/j.compositesb.2019.01.014,mixed,medium,Wear volume from Table 2; COF estimated from Fig 2 line graph at steady state
KARATAS2019,PA66,0,0,0,0,99.9,GNP,0.1,35,0.0419,70,,other,PoD,dry,,,injection,0.17,,0.17,,,10.1016/j.compositesb.2019.01.014,mixed,medium,Wear volume from Table 2; COF estimated from Fig 1 line graph at steady state
KARATAS2019,PA66,0,0,0,0,99.7,GNP,0.3,35,0.0419,70,,other,PoD,dry,,,injection,0.25,,0.32,,,10.1016/j.compositesb.2019.01.014,mixed,medium,Wear volume from Table 2; COF estimated from Fig 1 line graph at steady state
KARATAS2019,PA66,0,0,0,0,99.5,GNP,0.5,35,0.0419,70,,other,PoD,dry,,,injection,0.19,,0.33,,,10.1016/j.compositesb.2019.01.014,mixed,medium,Wear volume from Table 2; COF estimated from Fig 1 line graph at steady state
KARATAS2019,PA66,0,0,0,0,89.9,CF; GNP,10; 0.1,35,0.0419,70,,other,PoD,dry,,,injection,0.065,,0.15,,,10.1016/j.compositesb.2019.01.014,mixed,medium,Wear volume from Table 2; COF estimated from Fig 3 line graph at steady state
KARATAS2019,PA66,0,0,0,0,89.7,CF; GNP,10; 0.3,35,0.0419,70,,other,PoD,dry,,,injection,0.06,,0.16,,,10.1016/j.compositesb.2019.01.014,mixed,medium,Wear volume from Table 2; COF estimated from Fig 3 line graph at steady state
KARATAS2019,PA66,0,0,0,0,89.5,CF; GNP,10; 0.5,35,0.0419,70,,other,PoD,dry,,,injection,0.085,,0.31,,,10.1016/j.compositesb.2019.01.014,mixed,medium,Wear volume from Table 2; COF estimated from Fig 3 line graph at steady state
KARATAS2019,PA66,0,0,0,0,88.9,CF; GNP; PBO,10; 0.1; 1,35,0.0419,70,,other,PoD,dry,,,injection,0.045,,0.10,,,10.1016/j.compositesb.2019.01.014,mixed,medium,Wear volume from Table 2; COF estimated from Fig 4 line graph at steady state
KARATAS2019,PA66,0,0,0,0,88.7,CF; GNP; PBO,10; 0.3; 1,35,0.0419,70,,other,PoD,dry,,,injection,0.035,,0.12,,,10.1016/j.compositesb.2019.01.014,mixed,medium,Wear volume from Table 2; COF estimated from Fig 4 line graph at steady state
KARATAS2019,PA66,0,0,0,0,88.5,CF; GNP; PBO,10; 0.5; 1,35,0.0419,70,,other,PoD,dry,,,injection,0.025,,0.09,,,10.1016/j.compositesb.2019.01.014,mixed,medium,Wear volume from Table 2; COF estimated from Fig 4 line graph at steady state
