```csv
paper_id,material_base,pa6_pct,glass_fiber_pct,graphite_pct,mos2_pct,pa66_pct,other_ingredients,other_ingredients_wt_pct,load_N,speed_ms,distance_m,PV_factor,counterface,test_type,environment,humidity_pct,temperature_C,fabrication,COF,wear_rate_mm3Nm,wear_volume_mm3,mass_loss_mg,contact_temp_C,source_doi,extraction_method,confidence,notes
LI2024,PA66,0,0,0,0,100,,,1.2,0.1,7200,4,PA6,PoD,dry,,25,injection,0.09,1.5e-7,,,,10.1007/s11249-024-01941-6,bar_chart,medium,Self-mated PA66 contact
LI2024,PA66,0,0,0,0,100,,,3.9,0.1,7200,6,PA6,PoD,dry,,25,injection,0.10,1.3e-7,,,,10.1007/s11249-024-01941-6,bar_chart,medium,Self-mated PA66 contact
LI2024,PA66,0,0,0,0,100,,,1.2,0.5,36000,20,PA6,PoD,dry,,25,injection,0.11,1.8e-7,,,,10.1007/s11249-024-01941-6,bar_chart,medium,Self-mated PA66 contact
LI2024,PA66,0,0,0,0,100,,,3.9,0.5,36000,30,PA6,PoD,dry,,25,injection,0.66,4.6e-6,,,,10.1007/s11249-024-01941-6,bar_chart,medium,Self-mated PA66 contact
LI2024,PA66,0,0,0,0,100,,,1.2,0.1,7200,4,PA6,PoD,lubricated,,25,injection,0.12,2.6e-6,,,,10.1007/s11249-024-01941-6,bar_chart,medium,Self-mated PA66 contact; MOLYKOTE EM-50L grease
LI2024,PA66,0,0,0,0,100,,,3.9,0.1,7200,6,PA6,PoD,lubricated,,25,injection,0.10,8.8e-7,,,,10.1007/s11249-024-01941-6,bar_chart,medium,Self-mated PA66 contact; MOLYKOTE EM-50L grease
LI2024,PA66,0,0,0,0,100,,,1.2,0.5,36000,20,PA6,PoD,lubricated,,25,injection,0.084,2.0e-8,,,,10.1007/s11249-024-01941-6,bar_chart,medium,Self-mated PA66 contact; MOLYKOTE EM-50L grease
LI2024,PA66,0,0,0,0,100,,,3.9,0.5,36000,30,PA6,PoD,lubricated,,25,injection,0.087,1.4e-7,,,,10.1007/s11249-024-01941-6,bar_chart,medium,Self-mated PA66 contact; MOLYKOTE EM-50L grease
LI2024,PA66,0,13,0,0,87,,,1.2,0.1,7200,4,PA6,PoD,dry,,25,injection,0.49,2.9e-6,,,,10.1007/s11249-024-01941-6,bar_chart,medium,Self-mated PA66+13%GF contact
LI2024,PA66,0,13,0,0,87,,,3.9,0.1,7200,6,PA6,PoD,dry,,25,injection,0.38,2.1e-6,,,,10.1007/s11249-024-01941-6,bar_chart,medium,Self-mated PA66+13%GF contact
LI2024,PA66,0,13,0,0,87,,,1.2,0.5,36000,20,PA6,PoD,dry,,25,injection,0.58,1.7e-6,,,,10.1007/s11249-024-01941-6,bar_chart,medium,Self-mated PA66+13%GF contact
LI2024,PA66,0,13,0,0,87,,,3.9,0.5,36000,30,PA6,PoD,dry,,25,injection,0.46,4.6e-6,,,,10.1007/s11249-024-01941-6,bar_chart,medium,Self-mated PA66+13%GF contact
LI2024,PA66,0,13,0,0,87,,,1.2,0.1,7200,4,PA6,PoD,lubricated,,25,injection,0.13,4.7e-6,,,,10.1007/s11249-024-01941-6,bar_chart,medium,Self-mated PA66+13%GF contact; MOLYKOTE EM-50L grease
LI2024,PA66,0,13,0,0,87,,,3.9,0.1,7200,6,PA6,PoD,lubricated,,25,injection,0.10,1.8e-6,,,,10.1007/s11249-024-01941-6,bar_chart,medium,Self-mated PA66+13%GF contact; MOLYKOTE EM-50L grease
LI2024,PA66,0,13,0,0,87,,,1.2,0.5,36000,20,PA6,PoD,lubricated,,25,injection,0.10,1.3e-6,,,,10.1007/s11249-024-01941-6,bar_chart,medium,Self-mated PA66+13%GF contact; MOLYKOTE EM-50L grease
LI2024,PA66,0,13,0,0,87,,,3.9,0.5,36000,30,PA6,PoD,lubricated,,25,injection,0.098,4.2e-7,,,,10.1007/s11249-024-01941-6,bar_chart,medium,Self-mated PA66+13%GF contact; MOLYKOTE EM-50L grease
LI2024,PA66,0,33,0,0,67,,,1.2,0.1,7200,4,PA6,PoD,dry,,25,injection,0.35,2.6e-6,,,,10.1007/s11249-024-01941-6,bar_chart,medium,Self-mated PA66+33%GF contact
LI2024,PA66,0,33,0,0,67,,,3.9,0.1,7200,6,PA6,PoD,dry,,25,injection,0.35,1.9e-6,,,,10.1007/s11249-024-01941-6,bar_chart,medium,Self-mated PA66+33%GF contact
