paper_id,material_base,filler_1_type,filler_1_wt_pct,filler_2_type,filler_2_wt_pct,filler_3_type,filler_3_wt_pct,load_N,speed_ms,distance_m,PV_factor,counterface,test_type,environment,humidity_pct,temperature_C,fabrication,COF,wear_rate_mm3Nm,wear_volume_mm3,mass_loss_mg,contact_temp_C,source_doi,extraction_method,confidence,notes
unfilled,0,,,,,,5,0.5,,,,steel,PoD,dry,,,injection,,,,,,10.12693/APhysPolA.125.478,line_graph,low,SAVE_FOR_MANUAL; wear rate unit mm3/m
unfilled,0,,,,,,5,1.0,,,,steel,PoD,dry,,,injection,,,,,,10.12693/APhysPolA.125.478,line_graph,low,SAVE_FOR_MANUAL; wear rate unit mm3/m
unfilled,0,,,,,,5,1.5,,,,steel,PoD,dry,,,injection,,,,,,10.12693/APhysPolA.125.478,line_graph,low,SAVE_FOR_MANUAL; wear rate unit mm3/m
unfilled,0,,,,,,10,0.5,,,,steel,PoD,dry,,,injection,,,,,,10.12693/APhysPolA.125.478,line_graph,low,SAVE_FOR_MANUAL; wear rate unit mm3/m
unfilled,0,,,,,,10,1.0,,,,steel,PoD,dry,,,injection,,,,,,10.12693/APhysPolA.125.478,line_graph,low,SAVE_FOR_MANUAL; wear rate unit mm3/m
unfilled,0,,,,,,10,1.5,,,,steel,PoD,dry,,,injection,,,,,,10.12693/APhysPolA.125.478,line_graph,low,SAVE_FOR_MANUAL; wear rate unit mm3/m
unfilled,0,,,,,,20,0.5,,,,steel,PoD,dry,,,injection,,,,,,10.12693/APhysPolA.125.478,line_graph,low,SAVE_FOR_MANUAL; wear rate unit mm3/m
unfilled,0,,,,,,20,1.0,,,,steel,PoD,dry,,,injection,,,,,,10.12693/APhysPolA.125.478,line_graph,low,SAVE_FOR_MANUAL; wear rate unit mm3/m
unfilled,0,,,,,,20,1.5,,,,steel,PoD,dry,,,injection,,,,,,10.12693/APhysPolA.125.478,line_graph,low,SAVE_FOR_MANUAL; wear rate unit mm3/m
SiO2,5,,,,,,5,0.5,,,,steel,PoD,dry,,,injection,,,,,,10.12693/APhysPolA.125.478,line_graph,low,SAVE_FOR_MANUAL; wear rate unit mm3/m
SiO2,5,,,,,,5,1.0,,,,steel,PoD,dry,,,injection,,,,,,10.12693/APhysPolA.125.478,line_graph,low,SAVE_FOR_MANUAL; wear rate unit mm3/m
SiO2,5,,,,,,5,1.5,,,,steel,PoD,dry,,,injection,,,,,,10.12693/APhysPolA.125.478,line_graph,low,SAVE_FOR_MANUAL; wear rate unit mm3/m
SiO2,5,,,,,,10,0.5,,,,steel,PoD,dry,,,injection,,,,,,10.12693/APhysPolA.125.478,line_graph,low,SAVE_FOR_MANUAL; wear rate unit mm3/m
SiO2,5,,,,,,10,1.0,,,,steel,PoD,dry,,,injection,,,,,,10.12693/APhysPolA.125.478,line_graph,low,SAVE_FOR_MANUAL; wear rate unit mm3/m
SiO2,5,,,,,,10,1.5,,,,steel,PoD,dry,,,injection,,,,,,10.12693/APhysPolA.125.478,line_graph,low,SAVE_FOR_MANUAL; wear rate unit mm3/m
SiO2,5,,,,,,20,0.5,,,,steel,PoD,dry,,,injection,,,,,,10.12693/APhysPolA.125.478,line_graph,low,SAVE_FOR_MANUAL; wear rate unit mm3/m
SiO2,5,,,,,,20,1.0,,,,steel,PoD,dry,,,injection,,,,,,10.12693/APhysPolA.125.478,line_graph,low,SAVE_FOR_MANUAL; wear rate unit mm3/m
SiO2,5,,,,,,20,1.5,,,,steel,PoD,dry,,,injection,,,,,,10.12693/APhysPolA.125.478,line_graph,low,SAVE_FOR_MANUAL; wear rate unit mm3/m
SiO2,10,,,,,,5,0.5,,,,steel,PoD,dry,,,injection,,,,,,10.12693/APhysPolA.125.478,line_graph,low,SAVE_FOR_MANUAL; wear rate unit mm3/m
SiO2,10,,,,,,5,1.0,,,,steel,PoD,dry,,,injection,,,,,,10.12693/APhysPolA.125.478,line_graph,low,SAVE_FOR_MANUAL; wear rate unit mm3/m
SiO2,10,,,,,,5,1.5,,,,steel,PoD,dry,,,injection,,,,,,10.12693/APhysPolA.125.478,line_graph,low,SAVE_FOR_MANUAL; wear rate unit mm3/m
SiO2,10,,,,,,10,0.5,,,,steel,PoD,dry,,,injection,,,,,,10.12693/APhysPolA.125.478,line_graph,low,SAVE_FOR_MANUAL; wear rate unit mm3/m
SiO2,10,,,,,,10,1.0,,,,steel,PoD,dry,,,injection,,,,,,10.12693/APhysPolA.125.478,line_graph,low,SAVE_FOR_MANUAL; wear rate unit mm3/m
SiO2,10,,,,,,10,1.5,,,,steel,PoD,dry,,,injection,,,,,,10.12693/APhysPolA.125.478,line_graph,low,SAVE_FOR_MANUAL; wear rate unit mm3/m
SiO2,10,,,,,,20,0.5,,,,steel,PoD,dry,,,injection,,,,,,10.12693/APhysPolA.125.478,line_graph,low,SAVE_FOR_MANUAL; wear rate unit mm3/m
SiO2,10,,,,,,20,1.0,,,,steel,PoD,dry,,,injection,,,,,,10.12693/APhysPolA.125.478,line_graph,low,SAVE_FOR_MANUAL; wear rate unit mm3/m
SiO2,10,,,,,,20,1.5,,,,steel,PoD,dry,,,injection,,,,,,10.12693/APhysPolA.125.478,line_graph,low,SAVE_FOR_MANUAL; wear rate unit mm3/m
SiO2,30,,,,,,5,0.5,,,,steel,PoD,dry,,,injection,,,,,,10.12693/APhysPolA.125.478,line_graph,low,SAVE_FOR_MANUAL; wear rate unit mm3/m
SiO2,30,,,,,,5,1.0,,,,steel,PoD,dry,,,injection,,,,,,10.12693/APhysPolA.125.478,line_graph,low,SAVE_FOR_MANUAL; wear rate unit mm3/m
SiO2,30,,,,,,5,1.5,,,,steel,PoD,dry,,,injection,,,,,,10.12693/APhysPolA.125.478,line_graph,low,SAVE_FOR_MANUAL; wear rate unit mm3/m
SiO2,30,,,,,,10,0.5,,,,steel,PoD,dry,,,injection,,,,,,10.12693/APhysPolA.125.478,line_graph,low,SAVE_FOR_MANUAL; wear rate unit mm3/m
SiO2,30,,,,,,10,1.0,,,,steel,PoD,dry,,,injection,,,,,,10.12693/APhysPolA.125.478,line_graph,low,SAVE_FOR_MANUAL; wear rate unit mm3/m
SiO2,30,,,,,,10,1.5,,,,steel,PoD,dry,,,injection,,,,,,10.12693/APhysPolA.125.478,line_graph,low,SAVE_FOR_MANUAL; wear rate unit mm3/m
SiO2,30,,,,,,20,0.5,,,,steel,PoD,dry,,,injection,,,,,,10.12693/APhysPolA.125.478,line_graph,low,SAVE_FOR_MANUAL; wear rate unit mm3/m
SiO2,30,,,,,,20,1.0,,,,steel,PoD,dry,,,injection,,,,,,10.12693/APhysPolA.125.478,line_graph,low,SAVE_FOR_MANUAL; wear rate unit mm3/m
SiO2,30,,,,,,20,1.5,,,,steel,PoD,dry,,,injection,,,,,,10.12693/APhysPolA.125.478,line_graph,low,SAVE_FOR_MANUAL; wear rate unit mm3/m
