paper_id,material_base,pa6_pct,glass_fiber_pct,graphite_pct,mos2_pct,pa66_pct,other_ingredients,other_ingredients_wt_pct,load_N,speed_ms,distance_m,PV_factor,counterface,test_type,environment,humidity_pct,temperature_C,fabrication,COF,wear_rate_mm3Nm,wear_volume_mm3,mass_loss_mg,contact_temp_C,source_doi,extraction_method,confidence,notes
SOUNDARARAJAN2019,PA6,100,0,0,0,,,,,5,1.256,,,,PoD,,,,AM,,1.75,,,,table,high,Run time 5 mins; COF not reported in paper; SAVE_FOR_MANUAL
SOUNDARARAJAN2019,PA6,100,0,0,0,,,,,5,1.256,,,,PoD,,,,AM,,1.65,,,,table,high,Run time 10 mins; COF not reported in paper; SAVE_FOR_MANUAL
SOUNDARARAJAN2019,PA6,100,0,0,0,,,,,10,1.256,,,,PoD,,,,AM,,3.2,,,,table,high,Run time 5 mins; COF not reported in paper; SAVE_FOR_MANUAL
SOUNDARARAJAN2019,PA6,100,0,0,0,,,,,10,1.256,,,,PoD,,,,AM,,3.1,,,,table,high,Run time 10 mins; COF not reported in paper; SAVE_FOR_MANUAL
SOUNDARARAJAN2019,PA6,100,0,0,0,,,,,15,1.256,,,,PoD,,,,AM,,4.5,,,,table,high,Run time 5 mins; COF not reported in paper; SAVE_FOR_MANUAL
SOUNDARARAJAN2019,PA6,100,0,0,0,,,,,15,1.256,,,,PoD,,,,AM,,4.2,,,,table,high,Run time 10 mins; COF not reported in paper; SAVE_FOR_MANUAL
SOUNDARARAJAN2019,PA6,100,0,0,0,,,,,20,1.256,,,,PoD,,,,AM,,5.2,,,,table,high,Run time 5 mins; COF not reported in paper; SAVE_FOR_MANUAL
SOUNDARARAJAN2019,PA6,100,0,0,0,,,,,20,1.256,,,,PoD,,,,AM,,4.82,,,,table,high,Run time 10 mins; COF not reported in paper; SAVE_FOR_MANUAL
SOUNDARARAJAN2019,PA6,90,0,0,0,,TiO2,10,5,1.256,,,,PoD,,,,AM,,1.35,,,,table,high,Run time 5 mins; COF not reported in paper; SAVE_FOR_MANUAL
SOUNDARARAJAN2019,PA6,90,0,0,0,,TiO2,10,5,1.256,,,,PoD,,,,AM,,1.25,,,,table,high,Run time 10 mins; COF not reported in paper; SAVE_FOR_MANUAL
SOUNDARARAJAN2019,PA6,90,0,0,0,,TiO2,10,10,1.256,,,,PoD,,,,AM,,2.4,,,,table,high,Run time 5 mins; COF not reported in paper; SAVE_FOR_MANUAL
SOUNDARARAJAN2019,PA6,90,0,0,0,,TiO2,10,10,1.256,,,,PoD,,,,AM,,2.1,,,,table,high,Run time 10 mins; COF not reported in paper; SAVE_FOR_MANUAL
SOUNDARARAJAN2019,PA6,90,0,0,0,,TiO2,10,15,1.256,,,,PoD,,,,AM,,2.85,,,,table,high,Run time 5 mins; COF not reported in paper; SAVE_FOR_MANUAL
SOUNDARARAJAN2019,PA6,90,0,0,0,,TiO2,10,15,1.256,,,,PoD,,,,AM,,2.55,,,,table,high,Run time 10 mins; COF not reported in paper; SAVE_FOR_MANUAL
SOUNDARARAJAN2019,PA6,90,0,0,0,,TiO2,10,20,1.256,,,,PoD,,,,AM,,3.64,,,,table,high,Run time 5 mins; COF not reported in paper; SAVE_FOR_MANUAL
